Freq (Hz)	micro/hp_Mod	micro/hp_Phase(rad)
49.000000000000007E+0	309.326077594221370E-3	-18.442512975607940E+0
50.000000000000007E+0	394.195372059011400E-3	-18.919468301045566E+0
51.000000000000007E+0	357.030843171197380E-3	-16.791474014239231E+0
52.000000000000007E+0	171.027164193657520E-3	-19.780283707466719E+0
53.000000000000007E+0	102.594197301211100E-3	-21.691212096174759E+0
54.000000000000007E+0	122.596966183968220E-3	-23.488047888674696E+0
55.000000000000007E+0	56.289337738375071E-3	-25.801494565307244E+0
56.000000000000007E+0	36.900456731225342E-3	-28.771541970881220E+0
57.000000000000007E+0	94.899671020937895E-3	-30.167192272472391E+0
58.000000000000007E+0	167.760229830007320E-3	-31.989179575439806E+0
59.000000000000007E+0	149.401350851667140E-3	-33.903904082182251E+0
60.000000000000007E+0	73.278221455616535E-3	-35.540446896678659E+0
61.000000000000007E+0	53.842109097311304E-3	-36.454633883464936E+0
62.000000000000007E+0	54.360886601330781E-3	-38.476426471943434E+0
63.000000000000007E+0	35.456605547862508E-3	-35.458191789692890E+0
64.000000000000014E+0	53.027797728839421E-3	-33.119193019633073E+0
65.000000000000014E+0	58.536112402824809E-3	-36.017744940393499E+0
66.000000000000014E+0	71.840970217539990E-3	-38.950291324760123E+0
67.000000000000014E+0	55.754998372244055E-3	-41.382383648636143E+0
68.000000000000014E+0	20.238247927012534E-3	-42.203106739482642E+0
69.000000000000014E+0	14.555835722276018E-3	-44.398578542628272E+0
70.000000000000014E+0	35.445074069573645E-3	-42.717246966668171E+0
71.000000000000014E+0	31.606485446062933E-3	-45.382859930481302E+0
72.000000000000014E+0	11.805104206631958E-3	-42.408086329408547E+0
73.000000000000014E+0	11.852396481831907E-3	-44.741439734150965E+0
74.000000000000014E+0	9.737027875604438E-3	-46.399043393043335E+0
75.000000000000014E+0	14.687132392284219E-3	-45.287989080272546E+0
76.000000000000014E+0	21.126361683210793E-3	-47.610221289710424E+0
77.000000000000014E+0	14.249325412431074E-3	-47.765350001026881E+0
78.000000000000014E+0	29.836514735372813E-3	-49.832382978084091E+0
79.000000000000014E+0	26.085869045210000E-3	-51.839632976064472E+0
80.000000000000014E+0	23.590559475182661E-3	-54.077653011173915E+0
81.000000000000014E+0	10.263837263110132E-3	-56.853250374253889E+0
82.000000000000014E+0	3.183521039137596E-3	-57.404781054963607E+0
83.000000000000014E+0	12.209852792494869E-3	-59.843427323652321E+0
84.000000000000014E+0	10.585427184829110E-3	-62.379435000794309E+0
85.000000000000014E+0	4.233995032165788E-3	-62.674011678683662E+0
86.000000000000014E+0	11.517133139748521E-3	-64.443659376804888E+0
87.000000000000014E+0	4.774635286771724E-3	-66.126197394049697E+0
88.000000000000014E+0	8.008227200523238E-3	-67.818706320559869E+0
89.000000000000014E+0	11.849119140872163E-3	-70.260384005546498E+0
90.000000000000014E+0	11.361486815459246E-3	-72.351249591148104E+0
91.000000000000014E+0	11.315449759203748E-3	-74.488684799058404E+0
92.000000000000014E+0	9.724472428101880E-3	-76.056102016958022E+0
93.000000000000014E+0	10.134992821564603E-3	-77.309789762996360E+0
94.000000000000014E+0	7.748468504111845E-3	-78.853838870784813E+0
95.000000000000014E+0	3.546574872128047E-3	-81.935208375448681E+0
96.000000000000014E+0	4.309739194547375E-3	-84.762837947928986E+0
97.000000000000014E+0	3.294218729259678E-3	-84.217725908005278E+0
98.000000000000014E+0	5.492103560220500E-3	-86.908722029873047E+0
99.000000000000014E+0	8.182075133128684E-3	-85.690903299555117E+0
100.000000000000010E+0	21.211644360505055E-3	-88.155388568036585E+0
101.000000000000010E+0	8.277341308275709E-3	-90.258729259830574E+0
102.000000000000010E+0	3.003847058252496E-3	-90.204207498590421E+0
103.000000000000010E+0	4.043918723938608E-3	-87.215518569750756E+0
104.000000000000010E+0	3.168743916314235E-3	-89.977997335743055E+0
105.000000000000010E+0	4.130803511327430E-3	-92.436643059366744E+0
106.000000000000010E+0	4.720861780323972E-3	-94.319612688700644E+0
107.000000000000010E+0	3.457946704675039E-3	-96.641255820454035E+0
108.000000000000010E+0	2.899284725064071E-3	-99.009135897377334E+0
109.000000000000010E+0	3.798992871752058E-3	-101.206131284254550E+0
110.000000000000010E+0	4.372382737472820E-3	-103.561589511828690E+0
111.000000000000010E+0	4.407453334160088E-3	-106.621164149450150E+0
112.000000000000010E+0	6.278899918005518E-3	-108.770724666710420E+0
113.000000000000010E+0	14.290029159243713E-3	-109.984481964065860E+0
114.000000000000010E+0	18.275532760472030E-3	-111.709737025839360E+0
115.000000000000010E+0	8.104566423047814E-3	-113.434498418809430E+0
116.000000000000010E+0	3.037424724193688E-3	-114.817410002577400E+0
117.000000000000010E+0	2.386046177724389E-3	-116.534383464882840E+0
118.000000000000010E+0	1.301366760545265E-3	-119.574919457113610E+0
119.000000000000010E+0	1.322147395101417E-3	-121.130815108119780E+0
120.000000000000010E+0	2.897078730676629E-3	-121.396305952521870E+0
121.000000000000010E+0	1.928656640711451E-3	-122.751455485093930E+0
122.000000000000010E+0	2.417762438550378E-3	-123.084151970479570E+0
123.000000000000010E+0	3.122752050479352E-3	-124.782071864974550E+0
124.000000000000010E+0	2.128129824347575E-3	-126.170922452335530E+0
125.000000000000010E+0	2.028917194889791E-3	-127.359768274622250E+0
126.000000000000010E+0	937.351272829966410E-6	-128.128693712224300E+0
127.000000000000010E+0	1.466644865695622E-3	-128.614294428838600E+0
128.000000000000030E+0	350.174173078104880E-6	-127.483443675830490E+0
129.000000000000030E+0	1.055994139489520E-3	-128.700222384337420E+0
130.000000000000030E+0	669.714753850727140E-6	-130.097101393758810E+0
131.000000000000030E+0	1.494035299187166E-3	-131.840925283853520E+0
132.000000000000030E+0	1.419931732670617E-3	-133.428195254602510E+0
133.000000000000030E+0	722.579119456949640E-6	-135.636898695482500E+0
134.000000000000030E+0	1.151269755110473E-3	-137.048079313991050E+0
135.000000000000030E+0	1.184949693547220E-3	-138.971193960251210E+0
136.000000000000030E+0	1.265188891681912E-3	-141.287731626811280E+0
137.000000000000030E+0	636.279684554706990E-6	-142.377759294367140E+0
138.000000000000030E+0	843.775866697318790E-6	-142.468775088899830E+0
139.000000000000030E+0	240.056484164725040E-6	-145.165466332308880E+0
140.000000000000030E+0	1.099787293453060E-3	-147.895875874986420E+0
141.000000000000030E+0	1.292785279632805E-3	-149.215956364589260E+0
142.000000000000030E+0	1.014614047574669E-3	-151.532058443940490E+0
143.000000000000030E+0	957.442600351028090E-6	-154.260158053443090E+0
144.000000000000030E+0	713.680777715163390E-6	-156.904095984508700E+0
145.000000000000030E+0	258.876754663628520E-6	-159.529475377806020E+0
146.000000000000030E+0	87.244607273147249E-6	-160.601703880935840E+0
147.000000000000030E+0	835.221858885959560E-6	-161.319156481313650E+0
148.000000000000030E+0	977.514868489257150E-6	-162.961498569337440E+0
149.000000000000030E+0	657.653869640073620E-6	-160.162305940293120E+0
150.000000000000030E+0	1.542943085017594E-3	-162.107274631624310E+0
151.000000000000030E+0	868.219852220394340E-6	-163.375190035614080E+0
152.000000000000030E+0	442.634074700071130E-6	-164.311784221289310E+0
153.000000000000030E+0	610.680539318520130E-6	-166.213750892215190E+0
154.000000000000030E+0	758.653473775502200E-6	-167.654474093015180E+0
155.000000000000030E+0	607.583086125707560E-6	-168.760229500076010E+0
156.000000000000030E+0	627.382898183395720E-6	-169.426078596999080E+0
157.000000000000030E+0	844.254876205583580E-6	-171.115520113755480E+0
158.000000000000030E+0	1.064300165550830E-3	-173.139952197420630E+0
159.000000000000030E+0	761.250035532205320E-6	-174.841967057155670E+0
160.000000000000030E+0	459.142678845290200E-6	-176.334473422283050E+0
161.000000000000030E+0	980.848509248907030E-6	-177.221820408892910E+0
162.000000000000030E+0	1.230545142705900E-3	-178.460321792282680E+0
163.000000000000030E+0	546.361212355929810E-6	-179.699159264646880E+0
164.000000000000030E+0	225.151580133250720E-6	-179.803093188319620E+0
165.000000000000030E+0	228.510596567649680E-6	-180.542828528472630E+0
166.000000000000030E+0	105.529240618153140E-6	-179.808413431323120E+0
167.000000000000030E+0	337.546353526557300E-6	-180.239765710672230E+0
168.000000000000030E+0	436.714324256797570E-6	-181.778088742360920E+0
