Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
56.000000000000007E+0	1.429628711217549E-6	1.289367280087129E-6	909.352119340939640E-9	1.369218755531246E-6
57.000000000000007E+0	5.670239359515078E-6	5.115901549082773E-6	3.604100127105674E-6	5.388268054210493E-6
58.000000000000007E+0	3.396260026916655E-6	3.038802579849005E-6	2.103473168492165E-6	3.165109619148045E-6
59.000000000000007E+0	753.867415846319490E-9	691.135591545263780E-9	468.614910904302150E-9	736.668159717195060E-9
60.000000000000007E+0	440.501719089827950E-9	394.195728426413730E-9	263.249912640665100E-9	416.626843488585150E-9
61.000000000000007E+0	533.181201625156400E-9	475.228217631959200E-9	327.375269364900000E-9	490.851062567493190E-9
62.000000000000007E+0	573.267488995899090E-9	510.774681888322730E-9	340.421691182597030E-9	513.758108924429240E-9
63.000000000000007E+0	382.420105932284500E-9	328.456134665042120E-9	227.850456653752050E-9	327.970457152843820E-9
64.000000000000014E+0	141.129560610366260E-9	131.898336611865270E-9	95.312485963004886E-9	129.927102214357490E-9
65.000000000000014E+0	142.362709580288290E-9	131.869011331499460E-9	89.041251931876340E-9	132.366725292726660E-9
66.000000000000014E+0	139.428081463200470E-9	118.468519471834740E-9	86.577875702737621E-9	127.532381165249360E-9
67.000000000000014E+0	93.353480451303055E-9	84.256780027096485E-9	62.585821659414568E-9	91.925575245169735E-9
68.000000000000014E+0	147.225587406543210E-9	128.904678726823270E-9	89.156694214699900E-9	138.061200031132130E-9
69.000000000000014E+0	139.821603271918650E-9	119.861923084498160E-9	86.330139102995693E-9	136.999307049519950E-9
70.000000000000014E+0	64.843545591473272E-9	59.696364889628346E-9	44.707246360333384E-9	62.083382770923540E-9
71.000000000000014E+0	54.455987120559636E-9	58.140028264948702E-9	43.204714008783411E-9	55.800111914510367E-9
72.000000000000014E+0	83.271067913371002E-9	83.815191087515091E-9	61.689573957765688E-9	91.527078972161340E-9
73.000000000000014E+0	76.753140192829516E-9	79.623765126616199E-9	61.853717700950070E-9	89.088928104953564E-9
74.000000000000014E+0	46.867015886925479E-9	51.366725485343679E-9	35.395132714795946E-9	54.051043896096691E-9
75.000000000000014E+0	33.896976657466101E-9	32.491925157036054E-9	21.798728119627010E-9	35.989511196052982E-9
76.000000000000014E+0	45.316349656410282E-9	44.236085664517488E-9	33.991058278034133E-9	49.308350862833982E-9
77.000000000000014E+0	56.344394347986484E-9	55.794758691176946E-9	47.519195495311247E-9	65.761227321778504E-9
78.000000000000014E+0	93.310639279282176E-9	90.927228590736564E-9	73.860554747380843E-9	111.921497455565970E-9
