Freq (Hz)	Gxymicro/hp_Real	Gxymicro/hp_Imag
49.000000000000007E+0	213.487697669184680E-12	9.963736370592035E-12
50.000000000000007E+0	174.514605313936050E-12	675.131268074649230E-12
51.000000000000007E+0	263.920913810725410E-12	-181.316002403141470E-12
52.000000000000007E+0	-55.344948891388032E-12	152.788199815081700E-12
53.000000000000007E+0	29.833699441925034E-12	24.476633763763386E-12
54.000000000000007E+0	-11.065521824274790E-12	229.906045626900040E-12
55.000000000000007E+0	282.918969138053040E-12	-225.042754352188980E-12
56.000000000000007E+0	-48.438228734628667E-12	-352.108018875136430E-12
57.000000000000007E+0	-275.141831917476810E-12	456.964446372538350E-12
58.000000000000007E+0	-219.818716061573110E-12	140.987500626037950E-12
59.000000000000007E+0	806.027406736552970E-12	-103.712455093429790E-12
60.000000000000007E+0	-14.813518550640059E-12	337.147890886633730E-12
61.000000000000007E+0	79.461538485628779E-12	-1.184796105493912E-9
62.000000000000007E+0	-1.013257018107055E-9	306.844897766078360E-12
63.000000000000007E+0	177.913627786687110E-12	-710.278594124568080E-12
64.000000000000014E+0	-627.023832548485640E-12	1.837022980097674E-9
65.000000000000014E+0	424.020546605674970E-12	-675.686385375073460E-12
66.000000000000014E+0	-383.000221743699950E-12	1.320798387375720E-9
67.000000000000014E+0	2.329370402453341E-9	-336.933174275591070E-12
68.000000000000014E+0	145.711492697801070E-12	-1.433679179831857E-9
69.000000000000014E+0	-1.738533653564052E-9	-58.019704294276948E-12
70.000000000000014E+0	606.618733754880040E-12	-1.118306585442464E-9
71.000000000000014E+0	-1.332835200823525E-9	2.032027355470502E-9
72.000000000000014E+0	161.393838432320520E-12	-626.683806239702140E-12
73.000000000000014E+0	-836.785437567714300E-12	1.645730358311158E-9
74.000000000000014E+0	4.836676295850301E-9	-646.726926330513970E-12
75.000000000000014E+0	-4.315836124477381E-9	-2.667764394022689E-9
76.000000000000014E+0	735.567505078375180E-12	1.961693036729973E-9
77.000000000000014E+0	565.363048174295730E-15	-98.826908163257892E-12
78.000000000000014E+0	-1.898579531733758E-9	-2.130406958989281E-9
79.000000000000014E+0	-330.427634810867090E-12	4.119061835540163E-9
80.000000000000014E+0	3.051894739187554E-9	-2.553066165901769E-9
81.000000000000014E+0	-4.207411405989988E-9	-2.051044746145780E-9
82.000000000000014E+0	-3.426169377155054E-9	2.691861477223308E-9
83.000000000000014E+0	3.360233943392170E-9	3.495326230859506E-9
84.000000000000014E+0	217.506112105117040E-12	636.095960105541320E-12
85.000000000000014E+0	-2.281999142734167E-9	-3.927919765455410E-9
86.000000000000014E+0	1.992518736626011E-9	9.385979965419450E-9
87.000000000000014E+0	2.129240000443972E-9	-2.714725289372352E-9
88.000000000000014E+0	-2.442972611782065E-9	2.794142213572722E-9
89.000000000000014E+0	6.877762637053129E-9	-958.545024819832030E-12
90.000000000000014E+0	-3.665602750171763E-9	5.858938000227850E-9
91.000000000000014E+0	6.182012117670451E-9	-3.578262220423980E-9
92.000000000000014E+0	1.294552023852325E-9	-1.667255474576671E-9
93.000000000000014E+0	-2.575075463752209E-9	-3.163391355020981E-9
94.000000000000014E+0	149.197422207162690E-12	-140.165989647597190E-12
95.000000000000014E+0	-8.020390773329327E-9	-6.074336095110475E-9
96.000000000000014E+0	-1.821240219822148E-9	12.507762120485360E-9
97.000000000000014E+0	1.421368264866107E-9	-2.500829512047398E-9
98.000000000000014E+0	1.512204463348279E-9	3.864866755052772E-9
99.000000000000014E+0	-11.664315665698454E-9	11.764559904391896E-9
100.000000000000010E+0	36.725796324276520E-9	13.371536105207735E-9
101.000000000000010E+0	-1.669131993071897E-9	-26.996495554827178E-9
102.000000000000010E+0	-9.910842545131602E-9	359.348306269378240E-12
103.000000000000010E+0	-3.001371478905643E-9	6.681642398926331E-9
104.000000000000010E+0	-4.939266333323553E-9	5.283809521537027E-9
105.000000000000010E+0	19.299413768813282E-9	12.612068694570935E-9
106.000000000000010E+0	87.396986281333246E-12	-21.461842649126620E-9
107.000000000000010E+0	-2.346715735117027E-9	1.725898704063933E-9
108.000000000000010E+0	-444.437020331995580E-12	2.593115294733175E-9
109.000000000000010E+0	6.858692124543360E-9	-11.060549275812282E-9
110.000000000000010E+0	-5.631638231006189E-9	-6.924731680013367E-9
111.000000000000010E+0	-20.028315232283503E-9	-2.857994923005436E-9
112.000000000000010E+0	-1.392143367199664E-9	10.696292244786170E-9
113.000000000000010E+0	-39.886843064964593E-9	28.962241881422841E-9
114.000000000000010E+0	56.079630231556941E-9	41.971893011115556E-9
115.000000000000010E+0	-3.668199441850285E-9	-7.297056314269543E-9
116.000000000000010E+0	34.096336095181096E-9	14.925139572615588E-9
117.000000000000010E+0	3.100265339768905E-9	-25.480277819985894E-9
118.000000000000010E+0	7.675907953091013E-9	-6.477159671153927E-9
119.000000000000010E+0	-21.476269964017647E-9	-15.984421277572119E-9
120.000000000000010E+0	11.082906511031690E-9	11.264439296628662E-9
121.000000000000010E+0	-6.500320957133223E-9	-30.306463097509128E-9
122.000000000000010E+0	-17.211626270367810E-9	19.878970944621111E-9
123.000000000000010E+0	22.457473426865793E-9	1.944938600227559E-9
124.000000000000010E+0	-5.459770437977528E-9	-22.835468286688514E-9
125.000000000000010E+0	-10.182302185464083E-9	34.683454367444169E-9
126.000000000000010E+0	51.504081967362863E-9	8.356181585375320E-9
127.000000000000010E+0	24.374326380855823E-9	-25.201040586308941E-9
128.000000000000030E+0	3.471929414886015E-9	-2.293385676496665E-9
129.000000000000030E+0	40.098344978204479E-9	9.417054829477471E-9
130.000000000000030E+0	28.495410102037830E-9	-50.721819157770508E-9
131.000000000000030E+0	-28.754483575268556E-9	-7.422070231643772E-9
132.000000000000030E+0	11.290350998856097E-9	10.642711117763492E-9
133.000000000000030E+0	43.745408301469551E-9	-11.368565833070919E-9
134.000000000000030E+0	-29.219550274596307E-9	-45.792702901641263E-9
135.000000000000030E+0	22.606850501037965E-9	49.052148956112317E-9
136.000000000000030E+0	40.510110106807849E-9	-42.760819585604817E-9
137.000000000000030E+0	-9.062424800457828E-9	34.985037082579307E-9
138.000000000000030E+0	77.715311747743369E-9	-7.018933220665419E-9
139.000000000000030E+0	16.491539500091321E-9	-15.155146433573639E-9
140.000000000000030E+0	9.610462288918046E-9	-39.168686952224590E-9
141.000000000000030E+0	-31.896031664324172E-9	-3.349276063290703E-9
142.000000000000030E+0	19.209612478457787E-9	19.541554149548240E-9
143.000000000000030E+0	29.183800400295225E-9	-102.523669414632120E-9
144.000000000000030E+0	-24.513438877436549E-9	-46.322739391079218E-9
145.000000000000030E+0	-12.719255975167163E-9	-152.462852272549470E-9
146.000000000000030E+0	-135.810616590121510E-9	-44.990841702428086E-9
147.000000000000030E+0	-51.676283303039331E-9	84.659424234979374E-9
148.000000000000030E+0	128.969778910689070E-9	-32.314215716042306E-9
149.000000000000030E+0	-22.739338768833676E-9	8.823702993070210E-9
150.000000000000030E+0	205.099227176025100E-9	-53.583547366293068E-9
151.000000000000030E+0	11.487567812217270E-9	-67.768080492163849E-9
152.000000000000030E+0	44.983934152041011E-9	-26.298908803494272E-9
153.000000000000030E+0	38.224475609464519E-9	-19.436253897010820E-9
154.000000000000030E+0	-10.988567846970999E-9	-7.960303364135557E-9
155.000000000000030E+0	52.509147416751659E-9	27.380673042004960E-9
156.000000000000030E+0	96.237737023341796E-9	-1.709865894840205E-9
