Freq (Hz)	micro(Pa^2 )	hp(V^2 )
49.000000000000007E+0	111.478194916227350E-12	1.298026990700907E-9
50.000000000000007E+0	57.201513445239717E-12	22.583051051902534E-9
51.000000000000007E+0	4.529684655534701E-12	1.972590917750027E-9
52.000000000000007E+0	64.348105701220445E-12	1.535903434792358E-9
53.000000000000007E+0	161.701343473155320E-12	6.107670329359092E-9
54.000000000000007E+0	70.975284174281463E-12	6.407411520316464E-9
55.000000000000007E+0	12.978756845525437E-12	7.239538538716696E-9
56.000000000000007E+0	176.983269901868110E-12	10.040073804282735E-9
57.000000000000007E+0	184.645573312422600E-12	15.277685150238156E-9
58.000000000000007E+0	74.178295035165141E-12	16.851015737148506E-9
59.000000000000007E+0	30.908138759832011E-12	25.826514074325120E-9
60.000000000000007E+0	35.492064562803563E-12	32.797067070549676E-9
61.000000000000007E+0	2.150215996793706E-12	50.021091166293969E-9
62.000000000000007E+0	167.521810411045980E-12	54.027861641576058E-9
63.000000000000007E+0	178.827061294804790E-12	60.399592492540355E-9
64.000000000000014E+0	130.143729123229800E-12	103.298927832892330E-9
65.000000000000014E+0	153.672086815664370E-12	106.699180398978150E-9
66.000000000000014E+0	107.997421409461030E-12	125.265891469216770E-9
67.000000000000014E+0	4.664744464306068E-12	179.215628417784160E-9
68.000000000000014E+0	2.454977195185393E-12	211.319461984680660E-9
69.000000000000014E+0	48.892932689413111E-12	231.305583605191240E-9
70.000000000000014E+0	72.413077541157904E-12	282.265525415970220E-9
71.000000000000014E+0	109.701866399564560E-12	327.875122472552730E-9
72.000000000000014E+0	196.926056123184060E-12	360.335470046423530E-9
73.000000000000014E+0	80.172241980114754E-12	432.688934264229850E-9
74.000000000000014E+0	2.313543041819433E-12	517.598937956684310E-9
75.000000000000014E+0	3.291675893774518E-12	504.171237569665900E-9
76.000000000000014E+0	11.068491940603415E-12	565.955161433245960E-9
77.000000000000014E+0	144.288431122011500E-12	629.728527335359100E-9
78.000000000000014E+0	472.464342982039710E-12	700.049712890369470E-9
79.000000000000014E+0	132.879915586722120E-12	802.448573516927640E-9
80.000000000000014E+0	230.488366993663140E-12	891.925486602866070E-9
81.000000000000014E+0	306.889246301736470E-12	966.828504926970050E-9
82.000000000000014E+0	95.606016714000378E-12	1.132354190283092E-6
83.000000000000014E+0	27.235960638786718E-12	1.305797963189274E-6
84.000000000000014E+0	32.375695887219164E-12	1.504590801273286E-6
85.000000000000014E+0	26.730182183612201E-12	1.691229874205269E-6
86.000000000000014E+0	82.302638389559314E-12	1.787258377507435E-6
87.000000000000014E+0	53.487476875885296E-12	2.069855371612555E-6
88.000000000000014E+0	92.117937874930588E-12	2.309082610505922E-6
89.000000000000014E+0	88.602532217638067E-12	2.351548752316533E-6
90.000000000000014E+0	57.614963863125459E-12	2.328848066615049E-6
91.000000000000014E+0	46.971729826533748E-12	2.477126396174182E-6
92.000000000000014E+0	172.965404876948430E-12	2.585707618404631E-6
93.000000000000014E+0	382.544196422482980E-12	2.629035798552280E-6
94.000000000000014E+0	159.937666005529910E-12	2.836550557653579E-6
95.000000000000014E+0	17.909886612669821E-12	3.043981831015554E-6
96.000000000000014E+0	49.398356424874587E-12	3.406460015498428E-6
97.000000000000014E+0	30.500696461708261E-12	3.702378333188752E-6
98.000000000000014E+0	128.553339071469520E-12	4.057200314193269E-6
99.000000000000014E+0	906.161803774717910E-12	4.309897859616590E-6
100.000000000000010E+0	1.850243038250954E-9	4.399686091520047E-6
101.000000000000010E+0	72.446872191167601E-12	4.184684451828794E-6
102.000000000000010E+0	52.374973993834652E-12	4.128121066270926E-6
103.000000000000010E+0	49.205047268072358E-12	4.140180555639919E-6
104.000000000000010E+0	40.173321777753979E-12	4.447407635311527E-6
105.000000000000010E+0	28.478749023954630E-12	4.841035898370133E-6
106.000000000000010E+0	68.480616267370571E-12	5.429566236638624E-6
107.000000000000010E+0	15.713332479227864E-12	5.990141728590944E-6
108.000000000000010E+0	33.818863668366590E-12	6.393223485961689E-6
109.000000000000010E+0	56.222988210175614E-12	6.317393365090324E-6
110.000000000000010E+0	50.318336714889361E-12	6.150795368321089E-6
111.000000000000010E+0	9.789673481803078E-12	6.267212471836054E-6
112.000000000000010E+0	32.967308001895957E-12	6.814941992102112E-6
113.000000000000010E+0	863.307741627146720E-12	8.029865849673342E-6
114.000000000000010E+0	2.280040450482229E-9	9.377547882906905E-6
115.000000000000010E+0	297.448609278143570E-12	10.496091289077510E-6
116.000000000000010E+0	91.547911387053317E-12	11.363271857236260E-6
117.000000000000010E+0	25.815482260246786E-12	11.851553098373881E-6
118.000000000000010E+0	43.719318274587722E-12	12.325548968617112E-6
119.000000000000010E+0	32.968675098454140E-12	13.499267126228591E-6
120.000000000000010E+0	2.456776179079479E-12	16.176461680412449E-6
121.000000000000010E+0	1.330584958679845E-12	19.791244354891885E-6
122.000000000000010E+0	77.812606339275397E-12	23.110656362184927E-6
123.000000000000010E+0	178.279724118952030E-12	25.127748195135115E-6
124.000000000000010E+0	2.460068054104239E-12	26.707952569076241E-6
125.000000000000010E+0	292.927527234755060E-12	29.675666267584513E-6
126.000000000000010E+0	410.005384570660310E-12	34.281107201505762E-6
127.000000000000010E+0	62.969464698939678E-12	40.261729686765064E-6
128.000000000000030E+0	14.370477448255712E-12	47.357828982348086E-6
129.000000000000030E+0	3.357041115923414E-12	54.435096903574029E-6
130.000000000000030E+0	11.372592103050121E-12	59.596827219187718E-6
131.000000000000030E+0	69.230887174946907E-12	65.129762749593838E-6
132.000000000000030E+0	144.185396594949160E-12	73.654136754536755E-6
133.000000000000030E+0	17.963313873180286E-12	84.812000397081403E-6
134.000000000000030E+0	25.534055623253727E-12	96.636764964313954E-6
135.000000000000030E+0	8.660877543945860E-12	108.642475428041030E-6
136.000000000000030E+0	38.339806940961753E-12	120.584760983627820E-6
137.000000000000030E+0	40.359394370937858E-12	133.520643476686710E-6
138.000000000000030E+0	438.619118593791710E-12	149.131072000722870E-6
139.000000000000030E+0	104.033402568579130E-12	169.759863775110210E-6
140.000000000000030E+0	43.290074624670065E-12	190.340035041949970E-6
141.000000000000030E+0	8.161826174466434E-12	205.029594161208070E-6
142.000000000000030E+0	59.818223944329429E-12	219.267257570720270E-6
143.000000000000030E+0	20.359773182574561E-12	242.855518742429650E-6
144.000000000000030E+0	24.072965166330052E-12	275.557407867780840E-6
145.000000000000030E+0	55.482595138741418E-12	308.446795885294390E-6
146.000000000000030E+0	21.230594905839615E-12	336.619679058020720E-6
147.000000000000030E+0	63.826112493026185E-12	359.560596870690760E-6
148.000000000000030E+0	176.923698810363300E-12	383.015125400273720E-6
149.000000000000030E+0	42.947964215684170E-12	419.536264170856930E-6
150.000000000000030E+0	194.577254903057990E-12	464.562112414485610E-6
151.000000000000030E+0	43.793410014434763E-12	512.904077595558780E-6
152.000000000000030E+0	427.051688565427920E-12	545.741478662914840E-6
153.000000000000030E+0	306.230259880465480E-12	582.619286796936070E-6
154.000000000000030E+0	188.438519760241950E-12	630.700077069739140E-6
155.000000000000030E+0	80.618096419752777E-12	680.014666620217950E-6
156.000000000000030E+0	26.237557975232239E-12	728.265278440148510E-6
157.000000000000030E+0	54.963597863345478E-12	777.649657670310730E-6
158.000000000000030E+0	34.165461040545247E-12	834.226807651848370E-6
159.000000000000030E+0	11.923305459584331E-12	903.102293601548050E-6
160.000000000000030E+0	16.563377172923399E-12	966.393744542436350E-6
161.000000000000030E+0	48.836367943987962E-12	1.006149274606823E-3
162.000000000000030E+0	72.025944680196634E-12	1.048505468753033E-3
163.000000000000030E+0	23.244667261235536E-12	1.124119873818467E-3
164.000000000000030E+0	1.325414938038236E-12	1.214086667840922E-3
165.000000000000030E+0	27.515680998363155E-12	1.290270430648877E-3
166.000000000000030E+0	66.316839826120000E-12	1.346596197369151E-3
167.000000000000030E+0	183.049212328089830E-12	1.393301602998910E-3
168.000000000000030E+0	188.923172255803100E-12	1.461121263939032E-3
169.000000000000030E+0	55.909340046591850E-12	1.551006432971197E-3
170.000000000000030E+0	156.394182377574640E-12	1.628693434845839E-3
171.000000000000030E+0	217.985660519970970E-12	1.709240535844748E-3
172.000000000000030E+0	54.835278734791061E-12	1.798724800333630E-3
173.000000000000030E+0	14.327223152298002E-12	1.852720352948520E-3
174.000000000000030E+0	904.727307398199270E-15	1.895699274703456E-3
175.000000000000030E+0	46.993679937004466E-12	1.979476131740127E-3
176.000000000000030E+0	65.578076041828218E-12	2.094004038847058E-3
177.000000000000030E+0	116.327206883540450E-12	2.201165152205050E-3
178.000000000000030E+0	149.620562584090920E-12	2.255956776363191E-3
179.000000000000030E+0	94.828600312032951E-12	2.284167705677837E-3
180.000000000000030E+0	46.246506045600051E-12	2.363209590738078E-3
181.000000000000030E+0	2.574085607010738E-12	2.458957770378284E-3
182.000000000000030E+0	44.311093592350671E-12	2.540563958573447E-3
183.000000000000030E+0	9.013949644375090E-12	2.644190537734002E-3
184.000000000000030E+0	44.046282753091627E-12	2.710325702305169E-3
185.000000000000030E+0	65.347409420305303E-12	2.720565281593718E-3
186.000000000000030E+0	196.381002061993020E-12	2.758972744007698E-3
187.000000000000030E+0	101.401502286234780E-12	2.868498010157040E-3
188.000000000000030E+0	183.506439470267390E-12	3.004350918573937E-3
189.000000000000030E+0	576.237792483672800E-12	3.043468251275651E-3
190.000000000000030E+0	237.717775566894730E-12	3.017433471186881E-3
191.000000000000030E+0	97.217562049164154E-12	3.076101722137029E-3
192.000000000000030E+0	229.538844166649360E-12	3.166412926553908E-3
193.000000000000030E+0	378.372175582945330E-12	3.238821456100394E-3
194.000000000000030E+0	490.704207427399960E-12	3.312560461659870E-3
195.000000000000030E+0	269.745248769610520E-12	3.333863984564818E-3
196.000000000000030E+0	58.907220536947367E-12	3.312189813800837E-3
197.000000000000030E+0	16.025662277349810E-12	3.318521022775149E-3
198.000000000000030E+0	33.865589200794308E-12	3.430353675202927E-3
199.000000000000030E+0	190.854147158691800E-12	3.536536075588425E-3
200.000000000000030E+0	468.718690068394880E-12	3.485827603702303E-3
201.000000000000030E+0	60.114358257615768E-12	3.432630723270225E-3
202.000000000000030E+0	27.028218070714276E-12	3.461007402940908E-3
203.000000000000030E+0	11.983824947859846E-12	3.537404281070324E-3
204.000000000000030E+0	16.559270889300659E-12	3.608040978053713E-3
