Freq (Hz)	micro(Pa^2 )
49.000000000000007E+0	699.170587874503910E-12
50.000000000000007E+0	2.589193807964023E-9
51.000000000000007E+0	1.466148743773250E-9
52.000000000000007E+0	1.506514797845298E-9
53.000000000000007E+0	921.954610587730810E-12
54.000000000000007E+0	9.193903623638827E-12
55.000000000000007E+0	1.001552636167185E-9
56.000000000000007E+0	1.208073364119074E-9
57.000000000000007E+0	342.530790410546500E-12
58.000000000000007E+0	97.686667824563577E-12
59.000000000000007E+0	108.211009160069840E-12
60.000000000000007E+0	412.430302291359350E-12
61.000000000000007E+0	757.645702890868480E-12
62.000000000000007E+0	1.381834541627492E-9
63.000000000000007E+0	681.784806862652850E-12
64.000000000000014E+0	230.910283139777000E-12
65.000000000000014E+0	260.520849949975120E-12
66.000000000000014E+0	380.373436269243510E-12
67.000000000000014E+0	563.035732901124090E-12
68.000000000000014E+0	721.778289095458760E-12
69.000000000000014E+0	715.893517647552580E-12
70.000000000000014E+0	266.786439898313320E-12
71.000000000000014E+0	275.076506893387770E-12
72.000000000000014E+0	178.230458934944680E-12
73.000000000000014E+0	212.481851750614880E-12
74.000000000000014E+0	66.804558184039375E-12
75.000000000000014E+0	737.346506167389230E-12
76.000000000000014E+0	687.001855397840270E-12
77.000000000000014E+0	1.738612364071815E-9
78.000000000000014E+0	1.350948240482226E-9
79.000000000000014E+0	226.981138809697760E-12
80.000000000000014E+0	266.062915121094350E-12
81.000000000000014E+0	100.879298186695390E-12
82.000000000000014E+0	49.603834385434505E-12
83.000000000000014E+0	412.211561334987340E-12
84.000000000000014E+0	863.200409070257100E-12
85.000000000000014E+0	779.483813509986650E-12
86.000000000000014E+0	1.354257013638869E-9
87.000000000000014E+0	1.258556683733880E-9
88.000000000000014E+0	162.936706591558760E-12
89.000000000000014E+0	202.680932456968160E-12
90.000000000000014E+0	21.659759957902190E-12
91.000000000000014E+0	15.686480758927543E-12
92.000000000000014E+0	232.332119479074060E-12
93.000000000000014E+0	265.567391365839390E-12
94.000000000000014E+0	31.030716840915328E-12
95.000000000000014E+0	251.786396603913170E-12
96.000000000000014E+0	427.485136723816560E-12
97.000000000000014E+0	52.467725852141963E-12
98.000000000000014E+0	6.982239900197712E-12
99.000000000000014E+0	13.560331512727300E-9
100.000000000000010E+0	61.333871851834413E-9
101.000000000000010E+0	21.734637150941681E-9
102.000000000000010E+0	1.409847004022913E-9
103.000000000000010E+0	826.712949858586480E-12
104.000000000000010E+0	315.665502741094180E-12
105.000000000000010E+0	8.031840074561850E-12
106.000000000000010E+0	324.036561023828820E-12
107.000000000000010E+0	206.817860437546430E-12
108.000000000000010E+0	369.162622291314940E-12
109.000000000000010E+0	60.083820697419765E-12
110.000000000000010E+0	82.103953134836650E-12
111.000000000000010E+0	23.119878240738278E-12
112.000000000000010E+0	68.939049975923038E-12
113.000000000000010E+0	13.033621349101421E-9
114.000000000000010E+0	20.178652940571646E-9
115.000000000000010E+0	2.546904329376969E-9
116.000000000000010E+0	888.810110425019180E-12
117.000000000000010E+0	120.641847123987520E-12
118.000000000000010E+0	180.591556459800610E-12
119.000000000000010E+0	273.933430685003700E-12
120.000000000000010E+0	528.818238614134210E-12
121.000000000000010E+0	152.846634899361040E-12
122.000000000000010E+0	230.044298549935260E-12
123.000000000000010E+0	749.204679876111420E-12
124.000000000000010E+0	226.488548313987990E-12
125.000000000000010E+0	30.933156165331319E-12
126.000000000000010E+0	145.206856363377680E-12
127.000000000000010E+0	213.350034501605400E-12
128.000000000000030E+0	112.594079812439220E-12
129.000000000000030E+0	44.445669069457012E-12
130.000000000000030E+0	88.913187106245460E-12
131.000000000000030E+0	440.354431960165010E-12
132.000000000000030E+0	72.411041985777695E-12
133.000000000000030E+0	131.256268440329090E-12
134.000000000000030E+0	366.347061519215130E-12
135.000000000000030E+0	147.952217602655230E-12
136.000000000000030E+0	132.186999871897060E-12
137.000000000000030E+0	74.772464993077350E-12
138.000000000000030E+0	388.286122426304160E-12
139.000000000000030E+0	1.556918757008467E-12
140.000000000000030E+0	349.515543750568870E-12
141.000000000000030E+0	160.956291651682290E-12
142.000000000000030E+0	15.401088576303503E-12
143.000000000000030E+0	173.581089616045590E-12
144.000000000000030E+0	911.338720760688280E-12
145.000000000000030E+0	322.607352239707900E-12
146.000000000000030E+0	12.342302710370430E-12
147.000000000000030E+0	96.452910730727967E-12
148.000000000000030E+0	191.458047516318090E-12
149.000000000000030E+0	3.692760872454688E-9
150.000000000000030E+0	10.692502215150354E-9
151.000000000000030E+0	2.322462907554764E-9
152.000000000000030E+0	741.279718698404800E-15
153.000000000000030E+0	167.690166141866770E-12
154.000000000000030E+0	194.068772921553050E-12
155.000000000000030E+0	92.603609220452568E-12
156.000000000000030E+0	195.000986302565980E-12
157.000000000000030E+0	366.808153223161660E-12
158.000000000000030E+0	61.021098948487425E-12
159.000000000000030E+0	61.271989205476087E-12
160.000000000000030E+0	50.218965049584339E-12
161.000000000000030E+0	174.620518823219930E-12
162.000000000000030E+0	726.226711067648430E-12
163.000000000000030E+0	1.048017379510781E-9
164.000000000000030E+0	1.101900333900636E-9
165.000000000000030E+0	712.157745304248330E-12
166.000000000000030E+0	544.557766587699050E-12
167.000000000000030E+0	604.150965319377110E-12
168.000000000000030E+0	484.395042592793730E-12
169.000000000000030E+0	533.219713828914100E-12
170.000000000000030E+0	38.537125667386054E-12
171.000000000000030E+0	66.263619431067289E-12
172.000000000000030E+0	25.343971641664191E-12
173.000000000000030E+0	82.453784717388138E-12
174.000000000000030E+0	44.022819248431372E-12
175.000000000000030E+0	66.327142547367251E-12
176.000000000000030E+0	163.307679081270280E-12
177.000000000000030E+0	1.954474724009821E-9
178.000000000000030E+0	1.387793161044500E-9
179.000000000000030E+0	255.194495027190300E-12
180.000000000000030E+0	71.526562148112043E-12
181.000000000000030E+0	68.725699667581758E-12
182.000000000000030E+0	169.320934171552890E-12
183.000000000000030E+0	261.136017897114810E-12
184.000000000000030E+0	281.929729152980200E-12
185.000000000000030E+0	329.925564488293210E-12
186.000000000000030E+0	1.395596026814387E-9
187.000000000000030E+0	462.478944624617110E-12
188.000000000000030E+0	339.001080985856830E-12
189.000000000000030E+0	117.913667327431780E-12
190.000000000000030E+0	121.513950748868370E-12
191.000000000000030E+0	348.024032384567590E-12
192.000000000000030E+0	71.687932760189512E-12
