Freq (Hz)	micro(Pa^2 )
386.000000000000060E+0	254.266011488406460E-12
387.000000000000060E+0	360.950403333700720E-12
388.000000000000060E+0	237.144543077358100E-12
389.000000000000060E+0	312.639596126758830E-12
390.000000000000060E+0	140.844984379064210E-12
391.000000000000060E+0	18.657424042992993E-12
392.000000000000060E+0	104.723483496020520E-12
393.000000000000060E+0	195.048068155599220E-12
394.000000000000060E+0	224.172101969934670E-12
395.000000000000060E+0	209.633391297995540E-12
396.000000000000060E+0	13.950210528669039E-12
397.000000000000060E+0	25.905101075341491E-12
398.000000000000060E+0	175.802207876362360E-12
399.000000000000060E+0	38.583641292516112E-12
400.000000000000060E+0	114.685068471369460E-12
401.000000000000060E+0	135.840846102931950E-12
402.000000000000060E+0	11.588330301068725E-12
403.000000000000060E+0	193.306397882232260E-12
404.000000000000060E+0	677.074391827142430E-12
405.000000000000060E+0	278.635532274194310E-12
406.000000000000060E+0	279.562704136808720E-12
407.000000000000060E+0	596.853953256245990E-12
408.000000000000060E+0	507.649696603409570E-12
409.000000000000060E+0	240.819931397447970E-12
410.000000000000060E+0	136.831024958492720E-12
411.000000000000060E+0	29.223003039570406E-12
412.000000000000060E+0	260.257395983922620E-12
413.000000000000060E+0	197.264383946030290E-12
414.000000000000060E+0	115.750325196340060E-12
415.000000000000060E+0	279.891483381127980E-12
416.000000000000060E+0	47.977327927007160E-12
417.000000000000060E+0	282.284862242924390E-12
418.000000000000060E+0	137.559226060031850E-12
419.000000000000060E+0	178.547067113852920E-12
420.000000000000060E+0	156.239647188953230E-12
421.000000000000060E+0	94.839259694958930E-12
422.000000000000060E+0	204.097378257289330E-12
423.000000000000060E+0	63.799739394307072E-12
424.000000000000060E+0	38.570172795005611E-12
425.000000000000060E+0	47.274305397168644E-12
426.000000000000060E+0	111.000332298110930E-12
427.000000000000060E+0	140.349572572712970E-12
428.000000000000060E+0	79.556297374012398E-12
429.000000000000060E+0	177.765261272623960E-12
430.000000000000060E+0	197.870008232565880E-12
431.000000000000060E+0	36.669355823109937E-12
432.000000000000060E+0	45.564370720973496E-12
433.000000000000060E+0	268.014725340945490E-12
