Freq (Hz)	Coh_micro/hp
64.000000000000014E+0	501.931182034601190E-3
65.000000000000014E+0	454.002434895229350E-3
66.000000000000014E+0	40.180141126889550E-3
67.000000000000014E+0	7.628450602845354E-3
68.000000000000014E+0	53.022832918707546E-3
69.000000000000014E+0	448.069398823914280E-3
70.000000000000014E+0	60.242867298135008E-3
71.000000000000014E+0	195.050148706601620E-3
72.000000000000014E+0	87.844834173785205E-3
73.000000000000014E+0	119.313076120256020E-3
74.000000000000014E+0	463.462042254928320E-3
75.000000000000014E+0	111.697777893581900E-3
76.000000000000014E+0	163.003016077028050E-3
77.000000000000014E+0	66.816678798592780E-3
78.000000000000014E+0	430.034623071837100E-3
79.000000000000014E+0	376.790649192906220E-3
80.000000000000014E+0	230.342868914809710E-3
81.000000000000014E+0	130.949522627511310E-3
82.000000000000014E+0	194.090402484846050E-3
83.000000000000014E+0	176.808801686464760E-3
84.000000000000014E+0	360.888499768943600E-3
85.000000000000014E+0	420.113431178754770E-3
86.000000000000014E+0	24.037052943724276E-3
87.000000000000014E+0	192.487047819181630E-3
88.000000000000014E+0	346.203513272901550E-3
89.000000000000014E+0	10.973113487328476E-3
90.000000000000014E+0	351.336625944746960E-3
91.000000000000014E+0	170.044196098612490E-3
92.000000000000014E+0	46.482945289865664E-3
93.000000000000014E+0	11.946995299953208E-3
94.000000000000014E+0	309.142791545375940E-3
95.000000000000014E+0	60.484895890706450E-3
96.000000000000014E+0	162.285330137691920E-3
97.000000000000014E+0	19.689271453171675E-3
98.000000000000014E+0	23.924983958199517E-3
99.000000000000014E+0	247.366990517550400E-3
100.000000000000010E+0	622.903819711231880E-3
101.000000000000010E+0	57.359394420124638E-3
102.000000000000010E+0	585.048790905491890E-3
103.000000000000010E+0	192.572976840510530E-3
104.000000000000010E+0	164.097489687493160E-3
105.000000000000010E+0	81.983232764344049E-3
106.000000000000010E+0	119.579088137753770E-3
107.000000000000010E+0	313.225291029935680E-3
108.000000000000010E+0	200.406796219650820E-3
109.000000000000010E+0	84.120247008979188E-3
110.000000000000010E+0	124.740998768528830E-3
111.000000000000010E+0	129.770436079907600E-3
112.000000000000010E+0	340.273147985453940E-3
113.000000000000010E+0	482.454327417393300E-3
114.000000000000010E+0	365.187845718377760E-3
115.000000000000010E+0	355.628662517608770E-3
116.000000000000010E+0	178.163445141836880E-3
117.000000000000010E+0	451.908731102829590E-3
118.000000000000010E+0	561.851670477876430E-3
119.000000000000010E+0	481.250970258046750E-3
120.000000000000010E+0	904.493008466525030E-3
121.000000000000010E+0	20.733989788232762E-3
122.000000000000010E+0	60.974427680783087E-3
123.000000000000010E+0	435.461745258720110E-3
124.000000000000010E+0	599.778565090545170E-3
125.000000000000010E+0	408.533054833416340E-3
126.000000000000010E+0	639.779831958826710E-3
127.000000000000010E+0	556.252268454418220E-3
128.000000000000030E+0	759.405830522319250E-3
129.000000000000030E+0	578.553270380123610E-3
