t 	tachy 		t 	palier1 	t 	palier2
0	-0.0837718	0	-0.00101588	0	0.00426847
0.001	-0.0530485	0.001	-0.00139361	0.001	0.00346483
0.002	0.0210458	0.002	-0.00173382	0.002	0.00260309
0.003	-0.0845647	0.003	-0.0020322	0.003	0.0016757
0.004	-0.0380889	0.004	-0.00228613	0.004	0.000677229
0.005	-0.0291622	0.005	-0.00249045	0.005	-0.000347594
0.006	0.00149436	0.006	-0.0026361	0.006	-0.00132869
0.007	-0.0103926	0.007	-0.0027152	0.007	-0.00223511
0.008	-0.00815846	0.008	-0.0027265	0.008	-0.00309163
0.009	0.0298403	0.009	-0.00267303	0.009	-0.00392208
0.01	0.0349693	0.01	-0.00255575	0.01	-0.00470464
0.011	0.0111818	0.011	-0.002372	0.011	-0.00537248
0.012	-0.00574032	0.012	-0.00212221	0.012	-0.00586722
0.013	-0.0506996	0.013	-0.00181638	0.013	-0.00621393
0.014	-0.0187882	0.014	-0.00147093	0.014	-0.00646365
0.015	-0.00759654	0.015	-0.00109717	0.015	-0.00659261
0.016	0.00830667	0.016	-0.000699898	0.016	-0.00652606
0.017	-0.0115251	0.017	-0.000287196	0.017	-0.00622796
0.018	0.0441355	0.018	0.000128121	0.018	-0.00572917
0.019	0.0192575	0.019	0.00053207	0.019	-0.00506963
0.02	0.0541996	0.02	0.000914228	0.02	-0.00426747
0.021	0.0631954	0.021	0.00126961	0.021	-0.00333756
0.022	0.00661964	0.022	0.00159465	0.022	-0.00230781
0.023	0.0211372	0.023	0.00188567	0.023	-0.00122597
0.024	-0.0541761	0.024	0.00213572	0.024	-0.000161496
0.025	-0.04294	0.025	0.00233993	0.025	0.000834552
0.026	-0.0199269	0.026	0.00249848	0.026	0.00176499
0.027	-0.028998	0.027	0.00260336	0.027	0.00264803
0.028	-0.0420891	0.028	0.00264377	0.028	0.00349554
0.029	-0.0644242	0.029	0.00261641	0.029	0.00428469
0.03	-0.122668	0.03	0.00252151	0.03	0.00496812
0.031	-0.0938582	0.031	0.0023602	0.031	0.00553096
0.032	-0.147482	0.032	0.00213616	0.032	0.00597097
0.033	-0.100945	0.033	0.00185801	0.033	0.00631936
0.034	-0.0275765	0.034	0.0015341	0.034	0.00657264
0.035	0.758766	0.035	0.0011697	0.035	0.00658315
0.036	0.327558	0.036	0.000772034	0.036	0.00633723
0.037	-0.151045	0.037	0.000353073	0.037	0.0059613
0.038	-0.0101913	0.038	-7.58874E-5	0.038	0.00549456
0.039	-0.0958996	0.039	-0.000505395	0.039	0.00496015
0.04	-0.0353793	0.04	-0.000928183	0.04	0.00434288
0.041	-0.111773	0.041	-0.00133646	0.041	0.00362678
0.042	0.0353682	0.042	-0.00171437	0.042	0.00282191
0.043	-0.0601721	0.043	-0.00204851	0.043	0.00192536
0.044	-0.0564349	0.044	-0.00233266	0.044	0.000917052
0.045	-0.0312358	0.045	-0.00256087	0.045	-0.000210377
0.046	-0.00737917	0.046	-0.00272705	0.046	-0.00136907
0.047	-0.00234899	0.047	-0.00282708	0.047	-0.00243761
0.048	-0.0144669	0.048	-0.00286241	0.048	-0.00339635
0.049	0.011288	0.049	-0.0028346	0.049	-0.00428999
0.05	0.0410714	0.05	-0.00274316	0.05	-0.00511108
0.051	0.0144941	0.051	-0.00258685	0.051	-0.00578708
0.052	0.00789047	0.052	-0.00236397	0.052	-0.00625207
0.053	-0.04006	0.053	-0.00207848	0.053	-0.0065137
0.054	-0.0331217	0.054	-0.00174029	0.054	-0.00663586
0.055	-0.00907978	0.055	-0.00136441	0.055	-0.00668943
0.056	0.00760271	0.056	-0.00096443	0.056	-0.00667163
0.057	-0.00667892	0.057	-0.000545596	0.057	-0.00648143
0.058	0.0196638	0.058	-0.00011539	0.058	-0.00604324
0.059	0.0399291	0.059	0.00030987	0.059	-0.00539654
0.06	0.0218078	0.06	0.000714837	0.06	-0.00462879
0.061	0.0821268	0.061	0.0010911	0.061	-0.00377132
0.062	0.0113436	0.062	0.00143582	0.062	-0.0027981
0.063	0.024342	0.063	0.00174696	0.063	-0.00169385
0.064	-0.0269553	0.064	0.00201983	0.064	-0.000513052
0.065	-0.0568203	0.065	0.00224662	0.065	0.000639019
0.066	-0.0265453	0.066	0.00242161	0.066	0.00168245
0.067	-0.0170999	0.067	0.00254573	0.067	0.00261605
0.068	-0.0436526	0.068	0.00261913	0.068	0.00348292
0.069	-0.0370935	0.069	0.00263326	0.069	0.004255
0.07	-0.119163	0.07	0.00257763	0.07	0.00489587
0.071	-0.0892318	0.071	0.00245496	0.071	0.00543616
0.072	-0.147609	0.072	0.00227462	0.072	0.00590806
0.073	-0.0972149	0.073	0.00203573	0.073	0.00625939
0.074	-0.142815	0.074	0.00173383	0.074	0.00644273
0.075	0.458599	0.075	0.00137959	0.075	0.00655004
0.076	0.681232	0.076	0.000996758	0.076	0.00656017
0.077	-0.119664	0.077	0.00059925	0.077	0.00637873
0.078	-0.0169134	0.078	0.00018507	0.078	0.00601223
0.079	-0.0901074	0.079	-0.000243818	0.079	0.00543026
0.08	-0.0287423	0.08	-0.000671039	0.08	0.00466947
0.081	-0.108286	0.081	-0.00107558	0.081	0.00386957
0.082	-0.0132356	0.082	-0.00144606	0.082	0.00310311
0.083	-0.00574649	0.083	-0.0017831	0.083	0.00231556
0.084	-0.0806744	0.084	-0.00208604	0.084	0.0014199
0.085	-0.0343727	0.085	-0.00234693	0.085	0.000423495
0.086	-0.0234602	0.086	-0.00255226	0.086	-0.00056642
0.087	0.0026812	0.087	-0.00268996	0.087	-0.00146629
