Freq (Hz)	micro/hp_Real	micro/hp_Imag
49.000000000000007E+0	-188.477995733736140E-3	198.666281311762310E-3
50.000000000000007E+0	-39.058725722105218E-3	212.980811841222390E-3
51.000000000000007E+0	-93.961335097856258E-3	-68.028798833372275E-3
52.000000000000007E+0	-146.884709520054530E-3	-286.376534869329740E-3
53.000000000000007E+0	-39.727186939630947E-3	151.704240801060990E-3
54.000000000000007E+0	70.955215561009990E-3	-83.579238261806549E-3
55.000000000000007E+0	-125.177568754669340E-3	66.332007889408337E-3
56.000000000000007E+0	63.456183558243603E-3	16.309957915945500E-3
57.000000000000007E+0	-30.452341777208940E-3	-29.460070605387852E-3
58.000000000000007E+0	61.812038270715138E-3	82.728549862654363E-3
59.000000000000007E+0	-14.306456349220564E-3	-61.650986057717863E-3
60.000000000000007E+0	-55.930242750513795E-3	-6.117944961931701E-3
61.000000000000007E+0	28.166976886110130E-3	84.311833273262277E-3
62.000000000000007E+0	53.708986545513891E-3	-32.184751055064652E-3
63.000000000000007E+0	-24.918784243049826E-3	6.717669170512905E-3
64.000000000000014E+0	11.880096436344773E-3	-11.068223102856834E-3
65.000000000000014E+0	-3.574785652722185E-3	1.717131759349401E-3
66.000000000000014E+0	1.521137946200915E-3	-11.906653033079681E-3
67.000000000000014E+0	-5.294342060246897E-3	20.587499916757283E-3
68.000000000000014E+0	4.513378313442118E-3	-13.011019472887094E-3
69.000000000000014E+0	1.423429199925171E-3	17.094275818347313E-3
70.000000000000014E+0	74.356223767213585E-6	-1.669139440719099E-3
71.000000000000014E+0	28.218287326992587E-3	-13.324028072046001E-3
72.000000000000014E+0	-22.799240139137946E-3	5.447330338248668E-3
73.000000000000014E+0	3.403047075087533E-3	-13.239168114855324E-3
74.000000000000014E+0	2.603775579020819E-3	12.164496846285467E-3
75.000000000000014E+0	-14.962450708289434E-3	-11.574132271343433E-3
76.000000000000014E+0	14.968348956168540E-3	18.099488103798411E-3
77.000000000000014E+0	5.849459782542065E-3	-18.524480138326783E-3
78.000000000000014E+0	-16.893287632830194E-3	1.147121549864315E-3
79.000000000000014E+0	3.776666172573701E-3	4.720030128535800E-3
80.000000000000014E+0	3.118088061500191E-3	5.745336996550354E-3
81.000000000000014E+0	5.067812125434411E-3	-9.442842534241609E-3
82.000000000000014E+0	-7.994464320641048E-3	3.188160917112485E-3
83.000000000000014E+0	9.563211483655149E-3	-3.450835587053194E-3
84.000000000000014E+0	-8.757651753962075E-3	-2.693146404246346E-3
85.000000000000014E+0	-1.867783555291873E-3	1.231780646825502E-3
86.000000000000014E+0	721.344901962089830E-6	1.962604582335529E-3
87.000000000000014E+0	-3.258500273184708E-3	2.153340056035335E-3
88.000000000000014E+0	5.093817100776659E-3	14.708027537796976E-6
89.000000000000014E+0	-1.952490264831783E-3	-4.134053479159052E-3
90.000000000000014E+0	-2.502726092862737E-3	1.745023388324908E-3
