Freq (Hz)	Gxymic2/mic1_Real	Gxymic2/mic1_Imag	Gxymic3/mic1_Real	Gxymic3/mic1_Imag	Gxymic4/mic1_Real	Gxymic4/mic1_Imag
939.000000000000110E+0	15.729294480278126E-6	1.475518059047559E-6	8.776891334754235E-6	1.550597240545923E-6	16.906175807227121E-6	884.422917332388610E-9
940.000000000000110E+0	15.107251544289738E-6	1.448708735285503E-6	8.390090100965283E-6	1.494564073750639E-6	16.297187031779184E-6	814.425600901276830E-9
941.000000000000110E+0	14.511941581175326E-6	1.404542681062108E-6	8.008057436672536E-6	1.419772471865894E-6	15.678734020642209E-6	755.596056188289180E-9
942.000000000000110E+0	13.975649627920436E-6	1.361240086843663E-6	7.668409152051158E-6	1.359512052077416E-6	15.132438897238792E-6	723.165759277052520E-9
943.000000000000110E+0	13.519678590003878E-6	1.335103403548056E-6	7.393736318608701E-6	1.310166595919626E-6	14.686744080705196E-6	682.399117757093610E-9
944.000000000000110E+0	13.197550517481861E-6	1.331876608086638E-6	7.181094302079189E-6	1.263716250156512E-6	14.375682014378599E-6	663.262243489395110E-9
945.000000000000110E+0	13.049851318184574E-6	1.346081223411775E-6	7.056278931586315E-6	1.241799241505163E-6	14.277140300311954E-6	656.014852724249840E-9
946.000000000000110E+0	13.097838504527593E-6	1.365137064825732E-6	7.055185265640897E-6	1.250183149472006E-6	14.399318965087262E-6	610.821066492709660E-9
947.000000000000110E+0	13.350097316839206E-6	1.408334247796724E-6	7.184226081429233E-6	1.275340654813475E-6	14.748037336926350E-6	575.043577711059380E-9
948.000000000000110E+0	13.837209692566177E-6	1.503574681568162E-6	7.453247050509917E-6	1.296686950393302E-6	15.376349356742147E-6	579.751224433420120E-9
949.000000000000110E+0	14.589353301565629E-6	1.626485628477082E-6	7.843832583943435E-6	1.312438999078346E-6	16.292898265431539E-6	588.238025811772990E-9
950.000000000000110E+0	15.562806184812570E-6	1.758478666374992E-6	8.322165876525824E-6	1.379283778015135E-6	17.418903524765603E-6	555.222082518847330E-9
951.000000000000110E+0	16.704844754265811E-6	1.916858490927478E-6	8.912948677553058E-6	1.455154667909173E-6	18.727057738398893E-6	486.433128370128110E-9
952.000000000000110E+0	17.996505682623259E-6	2.114601798848911E-6	9.579413135816836E-6	1.488490347526780E-6	20.232101490141271E-6	389.938570739704510E-9
953.000000000000110E+0	19.430938858392856E-6	2.332508616581670E-6	10.300389136979670E-6	1.544845008067445E-6	21.877873026219965E-6	324.669371850695940E-9
954.000000000000110E+0	20.913385528049244E-6	2.536026711780249E-6	11.046331064263518E-6	1.600936154813216E-6	23.572177867496225E-6	218.723987623745400E-9
955.000000000000110E+0	22.397318082730107E-6	2.778120383445064E-6	11.782645870577595E-6	1.634571522439057E-6	25.240599686059703E-6	82.670763087496306E-9
956.000000000000110E+0	23.796356581431344E-6	3.073221829213829E-6	12.479310602588382E-6	1.675714264151279E-6	26.837982838044183E-6	-35.535908238326549E-9
957.000000000000110E+0	25.098545510071206E-6	3.344723680163902E-6	13.131619618135571E-6	1.696133825250519E-6	28.274704826044169E-6	-212.227933155611710E-9
958.000000000000110E+0	26.199125817651932E-6	3.485665198270188E-6	13.691805608935200E-6	1.649040250632431E-6	29.454050035373634E-6	-428.208001945946910E-9
959.000000000000110E+0	27.003412482431368E-6	3.569686030835612E-6	14.111079983298336E-6	1.546880914014523E-6	30.328915137787756E-6	-650.225216554741070E-9
960.000000000000110E+0	27.504841850832798E-6	3.655919735496009E-6	14.311148239965566E-6	1.397833899339144E-6	30.807154819865714E-6	-863.525041889481970E-9
961.000000000000110E+0	27.735680522202288E-6	3.686977222501886E-6	14.340889149610625E-6	1.213035999474877E-6	30.939901205336834E-6	-1.098334323623160E-6
962.000000000000110E+0	27.713727433918945E-6	3.628082049468162E-6	14.304442854372823E-6	999.542789417152100E-9	30.783551686434545E-6	-1.358608949918258E-6
963.000000000000110E+0	27.464898490814312E-6	3.476183343675385E-6	14.213942365484330E-6	737.052756722583630E-9	30.408224552791486E-6	-1.608743302734187E-6
964.000000000000110E+0	27.091816730113860E-6	3.314295176790408E-6	14.052722617731537E-6	395.623602711511150E-9	29.903232209193285E-6	-1.850622507592388E-6
965.000000000000110E+0	26.701480353211991E-6	3.147394429607150E-6	13.842481599207407E-6	11.896527403102876E-9	29.361359433333051E-6	-2.080888598425017E-6
966.000000000000110E+0	26.399898853709721E-6	2.995192951161886E-6	13.672963617705685E-6	-356.528886833437980E-9	29.015496307113502E-6	-2.335542224844676E-6
967.000000000000110E+0	26.452158756517515E-6	2.901888945930603E-6	13.689267847425058E-6	-729.317303384252820E-9	29.050124629945925E-6	-2.680701575276803E-6
968.000000000000110E+0	27.016793402847080E-6	2.833893980927130E-6	14.017764822461419E-6	-1.171173113440900E-6	29.579575401174860E-6	-3.133537563951021E-6
969.000000000000110E+0	28.168187844058469E-6	2.765890102806774E-6	14.702940367433920E-6	-1.746111864046076E-6	30.751731816746001E-6	-3.715277445232094E-6
970.000000000000110E+0	29.962786403451028E-6	2.687966192472933E-6	15.733402596343646E-6	-2.542234270452837E-6	32.640596027539450E-6	-4.465976150456520E-6
971.000000000000110E+0	32.381939804321076E-6	2.596992678368152E-6	17.074297819267382E-6	-3.614911156930500E-6	35.186241064374495E-6	-5.445035516199802E-6
972.000000000000110E+0	35.301443410367044E-6	2.428420040295523E-6	18.683049921324328E-6	-4.988132427948987E-6	38.227609563066437E-6	-6.747994547781375E-6
973.000000000000110E+0	38.337694646095828E-6	2.122355116439171E-6	20.394042376531397E-6	-6.685451878904149E-6	41.430204936011176E-6	-8.322617115442963E-6
974.000000000000110E+0	41.104251305691878E-6	1.712577871413379E-6	21.963475749965999E-6	-8.673661862195973E-6	44.395118837892622E-6	-10.121645489779557E-6
975.000000000000110E+0	43.292081818074171E-6	1.178739563440047E-6	23.201148432578024E-6	-10.915780446640985E-6	46.575174257036637E-6	-12.110309484792742E-6
976.000000000000110E+0	44.382410497063787E-6	462.149353702947800E-9	23.805453628116942E-6	-13.357004915575087E-6	47.425164217060740E-6	-14.034685931313253E-6
977.000000000000110E+0	43.934387640764665E-6	-453.511565850656450E-9	23.412176234145846E-6	-15.754405408673996E-6	46.560007446677262E-6	-15.681677687690139E-6
978.000000000000110E+0	41.753179132327656E-6	-1.441441075848822E-6	21.891709616634108E-6	-17.729328515264941E-6	43.778979974680370E-6	-16.840622203735737E-6
979.000000000000110E+0	37.982411440753792E-6	-2.319848719232462E-6	19.350130379511403E-6	-18.983967504963960E-6	39.258182079609049E-6	-17.292889679390726E-6
980.000000000000110E+0	33.057305086452390E-6	-3.041525935542218E-6	16.061822531432181E-6	-19.382439085058059E-6	33.569111387307469E-6	-17.000835936517554E-6
981.000000000000110E+0	27.553599520774850E-6	-3.534647582665431E-6	12.426400550442636E-6	-18.953046939552803E-6	27.391093042143037E-6	-16.077839510246566E-6
982.000000000000110E+0	22.145615549801159E-6	-3.735439687465068E-6	8.817485680196934E-6	-17.861418294062667E-6	21.404825967062114E-6	-14.729695100760715E-6
983.000000000000110E+0	17.434229986531538E-6	-3.668712055986109E-6	5.565547304773909E-6	-16.403328999344216E-6	16.158031513704800E-6	-13.221815868218834E-6
984.000000000000110E+0	13.694857525687055E-6	-3.460972736947407E-6	2.797574734654841E-6	-14.910815523657077E-6	11.887171388071812E-6	-11.750428242385890E-6
985.000000000000110E+0	10.878117013267917E-6	-3.233135885806227E-6	443.721881366328940E-9	-13.548277164905728E-6	8.574117432864143E-6	-10.466354037607940E-6
986.000000000000110E+0	8.869268733957919E-6	-3.020490296007387E-6	-1.568938746003455E-6	-12.410345921670082E-6	6.052324324509208E-6	-9.430513857793206E-6
987.000000000000110E+0	7.527241487475411E-6	-2.833343543798278E-6	-3.379798750770917E-6	-11.525189357248921E-6	4.142341971798928E-6	-8.597382872961797E-6
988.000000000000110E+0	6.642651313977581E-6	-2.644993633195993E-6	-5.123653633004708E-6	-10.753660524982653E-6	2.659413848930692E-6	-7.894608459141259E-6
989.000000000000110E+0	6.073296766402822E-6	-2.393207830564684E-6	-6.811885569621217E-6	-9.965807001805327E-6	1.477061480876701E-6	-7.205475598297589E-6
990.000000000000110E+0	5.773947827672671E-6	-2.083806248491922E-6	-8.417406803699431E-6	-9.121805079794300E-6	566.939143278997860E-9	-6.473711369307921E-6
991.000000000000110E+0	5.659715628351103E-6	-1.797008247552757E-6	-9.910261686678398E-6	-8.159716055390964E-6	-121.741085509205150E-9	-5.699967399679218E-6
992.000000000000110E+0	5.638954780821199E-6	-1.510559462227533E-6	-11.185687708518423E-6	-7.059507404681345E-6	-585.966276253080990E-9	-4.873334263524161E-6
993.000000000000110E+0	5.692874062508064E-6	-1.167789815231769E-6	-12.128636555683469E-6	-5.899818307193231E-6	-818.058489255600800E-9	-3.998570767902725E-6
994.000000000000110E+0	5.771654040707526E-6	-817.543478265285600E-9	-12.747170761897944E-6	-4.737455978259779E-6	-881.121237448422930E-9	-3.131443153667599E-6
995.000000000000110E+0	5.816522160873953E-6	-466.472123198520380E-9	-13.037810140324540E-6	-3.625900591478776E-6	-825.988483954430530E-9	-2.320023688454187E-6
996.000000000000110E+0	5.882563889679512E-6	-129.669306106017810E-9	-13.134757357673513E-6	-2.662387374823145E-6	-661.870994265863730E-9	-1.603872362482717E-6
997.000000000000110E+0	6.006729111721359E-6	164.396529209368150E-9	-13.222168225795900E-6	-1.832489918310544E-6	-458.920015567619310E-9	-1.015878535252688E-6
998.000000000000110E+0	6.229190392334923E-6	436.484122933888150E-9	-13.441835731625270E-6	-1.108961434089804E-6	-247.487844386017650E-9	-520.005868234837350E-9
999.000000000000110E+0	6.610502399798664E-6	692.814739995955480E-9	-13.937243878076768E-6	-456.596217881882040E-9	-21.510616126890224E-9	-85.133379847429858E-9
1.000000000000000E+3	7.217556135063346E-6	958.450080559654980E-9	-14.807267127214612E-6	142.952449144870860E-9	204.836845205047000E-9	336.647768044000490E-9
1.001000000000000E+3	8.095473027547604E-6	1.247185486518696E-6	-16.156381025759422E-6	682.818571983964800E-9	484.828912426256050E-9	797.233985800181860E-9
