Freq (Hz)	mic2/mic1_Real	mic2/mic1_Imag	mic3/mic1_Real	mic3/mic1_Imag	mic4/mic1_Real	mic4/mic1_Imag
949.000000000000110E+0	604.930636598775660E-3	67.440342715383669E-3	325.242428224124910E-3	54.419933417507976E-3	675.565675700055100E-3	24.390591097174032E-3
950.000000000000110E+0	601.997883698074830E-3	68.021179671248821E-3	321.930364250169020E-3	53.355500917524140E-3	673.793798322503520E-3	21.476965835479516E-3
951.000000000000110E+0	599.857264454545900E-3	68.832815128114136E-3	320.069049755718930E-3	52.255430683479896E-3	672.474244018614440E-3	17.467439617894761E-3
952.000000000000110E+0	596.576640000317070E-3	70.098165629674802E-3	317.558487733633040E-3	49.343601436228152E-3	670.688703385613370E-3	12.926358368501117E-3
953.000000000000110E+0	593.513486670408370E-3	71.245930616378905E-3	314.630133219960690E-3	47.188002727727510E-3	668.258080508701950E-3	9.917002945070964E-3
954.000000000000110E+0	591.225860884864060E-3	71.694015007198408E-3	312.287139876665070E-3	45.259531875627153E-3	666.391640619516390E-3	6.183384402355682E-3
955.000000000000110E+0	588.698602236842450E-3	73.021045668894433E-3	309.697792649944790E-3	42.963456424666376E-3	663.427402465265330E-3	2.172929736104902E-3
956.000000000000110E+0	586.222598874327590E-3	75.708736397270798E-3	307.428742341258330E-3	41.281345192616885E-3	661.149232159804150E-3	-875.421174074455400E-6
957.000000000000110E+0	585.352061522867780E-3	78.006149823410170E-3	306.264071062071870E-3	39.558323001520387E-3	659.424921082679250E-3	-4.949596783898912E-3
958.000000000000110E+0	584.827997853538340E-3	77.808496866664162E-3	305.639065992052760E-3	36.811150872437283E-3	657.483240481359200E-3	-9.558603464764505E-3
959.000000000000110E+0	583.592528536143520E-3	77.147364177430469E-3	304.968247376618430E-3	33.431145015527255E-3	655.458709618396360E-3	-14.052457183781772E-3
960.000000000000110E+0	583.351349134308420E-3	77.538555633024517E-3	303.526750763102430E-3	29.646816206408660E-3	653.386536553389190E-3	-18.314435060502877E-3
961.000000000000110E+0	584.103814259172900E-3	77.646461821122947E-3	302.014188065040430E-3	25.546120512689202E-3	651.576871511497350E-3	-23.130301474157022E-3
962.000000000000110E+0	584.646399061489960E-3	76.537705394515543E-3	301.768386260265360E-3	21.086484641957996E-3	649.400711571390120E-3	-28.660813015054812E-3
963.000000000000110E+0	584.228258664500120E-3	73.944731394264690E-3	302.358070335477960E-3	15.678538967432439E-3	646.830205611424900E-3	-34.220470829429944E-3
