Freq (Hz)	micro/hp_Mod	micro/hp_Phase(rad)
49.000000000000007E+0	859.224158363173340E-3	9.596689504424656E+0
50.000000000000007E+0	56.172728698333854E-3	6.615263000053216E+0
51.000000000000007E+0	322.457446833113390E-3	5.426319488770284E+0
52.000000000000007E+0	55.039548829716713E-3	3.998776919052032E+0
53.000000000000007E+0	225.691557222803430E-3	2.027924510386301E+0
54.000000000000007E+0	91.532803793776471E-3	4.272803698612277E+0
55.000000000000007E+0	155.122397193461270E-3	6.270351580418747E+0
56.000000000000007E+0	120.917538823469030E-3	4.618653322656981E+0
57.000000000000007E+0	140.304480654358050E-3	3.101969796459986E+0
58.000000000000007E+0	35.988011271006676E-3	2.290410681798936E+0
59.000000000000007E+0	118.554677774546810E-3	1.072305910423317E+0
60.000000000000007E+0	102.467166119323220E-3	-1.195010051601446E+0
61.000000000000007E+0	63.732299623092944E-3	-2.907601910456822E+0
62.000000000000007E+0	78.860119898104555E-3	-4.631338893676424E+0
63.000000000000007E+0	31.877722439499920E-3	-6.785688512653974E+0
64.000000000000014E+0	30.425757293188371E-3	-6.755615686211245E+0
65.000000000000014E+0	9.414047423206220E-3	-3.867557608329175E+0
66.000000000000014E+0	48.696983169471734E-3	-1.137576169747000E+0
67.000000000000014E+0	38.808473083914538E-3	-3.749820596673326E+0
68.000000000000014E+0	22.339401950246578E-3	-2.131661301255315E+0
69.000000000000014E+0	31.949920136763253E-3	673.317774428921930E-3
70.000000000000014E+0	10.969729478633212E-3	3.048057367348829E+0
71.000000000000014E+0	18.657136848495091E-3	4.778425272528668E+0
72.000000000000014E+0	15.629387663562991E-3	7.728427657266343E+0
73.000000000000014E+0	8.212244711254747E-3	5.270117465790055E+0
74.000000000000014E+0	15.355863934016440E-3	3.219178823914624E+0
75.000000000000014E+0	27.617912974689029E-3	447.799682338373640E-3
76.000000000000014E+0	26.569214295998202E-3	-2.282120734106083E+0
77.000000000000014E+0	18.112932030335309E-3	-5.282923246096455E+0
78.000000000000014E+0	19.014405664212267E-3	-7.555695635183486E+0
79.000000000000014E+0	25.472213761061589E-3	-8.785326769351357E+0
80.000000000000014E+0	34.079580319905739E-3	-10.479109143686987E+0
81.000000000000014E+0	19.926847773474848E-3	-12.476312814171449E+0
82.000000000000014E+0	12.178174413810578E-3	-13.549004839776746E+0
83.000000000000014E+0	20.313188247595471E-3	-15.736760724199756E+0
84.000000000000014E+0	17.551869912578469E-3	-17.958075794720028E+0
85.000000000000014E+0	7.753942915115836E-3	-19.671032130051312E+0
86.000000000000014E+0	9.129630360829248E-3	-19.938066913272380E+0
87.000000000000014E+0	12.617484802510306E-3	-21.996347670503599E+0
88.000000000000014E+0	8.092803045044668E-3	-24.373432569925512E+0
89.000000000000014E+0	7.667924098834570E-3	-26.479584455742263E+0
90.000000000000014E+0	9.867674909982757E-3	-28.287160082501575E+0
91.000000000000014E+0	4.611793933299468E-3	-29.620213566070390E+0
92.000000000000014E+0	10.162780422969244E-3	-30.205352141556943E+0
93.000000000000014E+0	17.045497269981513E-3	-32.314108857666518E+0
94.000000000000014E+0	13.278043928921152E-3	-34.541863477174097E+0
95.000000000000014E+0	1.175982394448628E-3	-32.905641885859687E+0
96.000000000000014E+0	6.588977475002127E-3	-35.413815624188928E+0
97.000000000000014E+0	5.815062280540769E-3	-36.629413117280286E+0
98.000000000000014E+0	9.211503714910647E-3	-38.829770777832408E+0
99.000000000000014E+0	2.847626618715926E-3	-39.090031437998512E+0
100.000000000000010E+0	17.443440335347032E-3	-40.387756464561860E+0
101.000000000000010E+0	11.166463937267937E-3	-42.222550496832405E+0
102.000000000000010E+0	5.672054669438949E-3	-43.188062196545509E+0
103.000000000000010E+0	2.843424929873527E-3	-45.117433483829870E+0
104.000000000000010E+0	1.384967536868758E-3	-43.613081270026107E+0
105.000000000000010E+0	1.547122052791870E-3	-46.416856050324696E+0
106.000000000000010E+0	2.332167035025386E-3	-48.734384606047094E+0
107.000000000000010E+0	2.209091382200431E-3	-50.642772742122801E+0
108.000000000000010E+0	1.113519778169984E-3	-52.228560962942069E+0
109.000000000000010E+0	2.834660492097215E-3	-52.887997487068247E+0
110.000000000000010E+0	3.540616156844735E-3	-55.469966879988135E+0
111.000000000000010E+0	3.063605570786463E-3	-58.053358657318171E+0
112.000000000000010E+0	3.739817729638613E-3	-56.216418445245367E+0
113.000000000000010E+0	11.851173531375126E-3	-57.947983678309477E+0
114.000000000000010E+0	10.250683679074691E-3	-59.831881933163537E+0
115.000000000000010E+0	3.229810820416511E-3	-62.542577741943120E+0
116.000000000000010E+0	1.341109378845176E-3	-62.912794367681627E+0
117.000000000000010E+0	4.156793522910383E-3	-64.377655496180310E+0
118.000000000000010E+0	650.684530494736900E-6	-64.386569453952134E+0
119.000000000000010E+0	3.142151638032585E-3	-64.766998889515804E+0
120.000000000000010E+0	3.253110888453500E-3	-66.046461638186642E+0
121.000000000000010E+0	4.159848346450157E-3	-67.783850866315760E+0
122.000000000000010E+0	4.604927395994727E-3	-69.523417417936869E+0
123.000000000000010E+0	2.525979871957993E-3	-70.996945330562966E+0
124.000000000000010E+0	1.811737503005337E-3	-70.828799349738844E+0
125.000000000000010E+0	1.862969374532701E-3	-72.395945222754236E+0
126.000000000000010E+0	491.473570839306570E-6	-74.855641771019037E+0
127.000000000000010E+0	815.217058199338170E-6	-74.385277016233090E+0
128.000000000000030E+0	1.832464539595566E-3	-75.830512133783287E+0
129.000000000000030E+0	1.333359209074354E-3	-77.687176623842603E+0
130.000000000000030E+0	927.980755734111920E-6	-80.076118594967951E+0
131.000000000000030E+0	761.555844847030250E-6	-82.023904287097480E+0
132.000000000000030E+0	937.552472082295050E-6	-84.018842473101571E+0
133.000000000000030E+0	1.213827819543327E-3	-85.686161717620436E+0
134.000000000000030E+0	555.503835396719190E-6	-86.934698718455252E+0
135.000000000000030E+0	826.133818963500910E-6	-86.908463298027271E+0
136.000000000000030E+0	1.206636329770099E-3	-88.360349880548284E+0
137.000000000000030E+0	885.215059606384460E-6	-88.871271006545228E+0
138.000000000000030E+0	1.502634652081274E-3	-89.446556935044356E+0
139.000000000000030E+0	1.335307401031520E-3	-90.825307516923559E+0
140.000000000000030E+0	227.131991939966250E-6	-91.868903695338332E+0
141.000000000000030E+0	1.316135789783429E-3	-90.842909950936686E+0
142.000000000000030E+0	1.675853618967349E-3	-92.234090556980945E+0
143.000000000000030E+0	870.009133192724790E-6	-93.310274293782058E+0
144.000000000000030E+0	539.515723676529580E-6	-93.717402654640523E+0
145.000000000000030E+0	609.727128263365540E-6	-93.763184885796122E+0
146.000000000000030E+0	727.252216808353780E-6	-94.868414295279024E+0
147.000000000000030E+0	332.474479032962790E-6	-96.319815542108529E+0
148.000000000000030E+0	287.823844015058840E-6	-97.180854398226927E+0
149.000000000000030E+0	985.222084107644680E-6	-97.726974949799768E+0
150.000000000000030E+0	1.386756887517497E-3	-98.915003859117988E+0
151.000000000000030E+0	640.934540293781410E-6	-100.064060548151840E+0
152.000000000000030E+0	73.547168236165049E-6	-99.119312258613959E+0
153.000000000000030E+0	485.787921526587190E-6	-98.445683835877588E+0
154.000000000000030E+0	823.919744911679320E-6	-99.405157248188672E+0
155.000000000000030E+0	465.435239986242680E-6	-100.731971615324720E+0
156.000000000000030E+0	328.265903755842840E-6	-98.005795493028614E+0
157.000000000000030E+0	541.341950641830640E-6	-99.404675416695682E+0
158.000000000000030E+0	466.358270600487270E-6	-100.090999618179740E+0
159.000000000000030E+0	469.105836092935220E-6	-101.051964331940110E+0
160.000000000000030E+0	119.535489367326090E-6	-101.591162083727850E+0
161.000000000000030E+0	359.612970111535520E-6	-101.180704726999340E+0
162.000000000000030E+0	401.207632691456240E-6	-103.296102067441010E+0
163.000000000000030E+0	411.331135487721540E-6	-105.112146347170980E+0
164.000000000000030E+0	87.151211197210063E-6	-104.688744068343100E+0
165.000000000000030E+0	204.026599292959690E-6	-105.621031238850140E+0
166.000000000000030E+0	214.467846489950130E-6	-107.913464969270050E+0
167.000000000000030E+0	243.722365494733690E-6	-109.511429529536000E+0
168.000000000000030E+0	259.533414189309040E-6	-110.229086603888020E+0
169.000000000000030E+0	305.836945192430490E-6	-111.010486802410110E+0
170.000000000000030E+0	201.229682501190960E-6	-113.206155649687080E+0
171.000000000000030E+0	271.682079406584100E-6	-114.836862940788260E+0
172.000000000000030E+0	115.701628638659080E-6	-114.784994045934230E+0
173.000000000000030E+0	153.130345188350090E-6	-113.812374339377300E+0
174.000000000000030E+0	94.260403905932174E-6	-113.861322423651000E+0
175.000000000000030E+0	205.068636481460350E-6	-112.706231321540030E+0
176.000000000000030E+0	206.084874931136970E-6	-114.041325649250370E+0
177.000000000000030E+0	59.181613984115030E-6	-111.319536639756390E+0
178.000000000000030E+0	108.568361194900550E-6	-112.970209518116860E+0
179.000000000000030E+0	95.283206379413426E-6	-110.643091717497360E+0
180.000000000000030E+0	242.982006691404900E-6	-111.735557777300030E+0
181.000000000000030E+0	112.372885523759060E-6	-113.379904327468990E+0
182.000000000000030E+0	62.631528999565266E-6	-110.614573214301290E+0
183.000000000000030E+0	42.059899407270887E-6	-109.354649594754160E+0
184.000000000000030E+0	116.641240261550260E-6	-108.974790286184570E+0
185.000000000000030E+0	264.661528883028210E-6	-109.699616214531900E+0
186.000000000000030E+0	272.672763728261140E-6	-111.338001057689210E+0
187.000000000000030E+0	130.117350902730550E-6	-111.610505862333400E+0
188.000000000000030E+0	145.594225235820750E-6	-111.652755903547100E+0
189.000000000000030E+0	174.254377389727290E-6	-108.624144421628930E+0
190.000000000000030E+0	363.811486779961460E-6	-109.614912264801650E+0
191.000000000000030E+0	400.999636950702060E-6	-110.214959391853770E+0
192.000000000000030E+0	266.001754887847090E-6	-110.597290299305900E+0
193.000000000000030E+0	207.509658515914470E-6	-111.057370259314880E+0
194.000000000000030E+0	175.617727162885170E-6	-112.597376398517140E+0
195.000000000000030E+0	208.180439100897300E-6	-114.310239515325520E+0
196.000000000000030E+0	310.721082244866430E-6	-115.363116481357720E+0
197.000000000000030E+0	271.160366713514210E-6	-116.337082587702440E+0
198.000000000000030E+0	78.849959928812860E-6	-117.368288171765040E+0
199.000000000000030E+0	41.836661236009975E-6	-119.216264202339190E+0
200.000000000000030E+0	148.263667739839130E-6	-119.536576816456910E+0
201.000000000000030E+0	84.023781167216557E-6	-119.304477735859760E+0
202.000000000000030E+0	205.507450995887100E-6	-119.034815344853310E+0
203.000000000000030E+0	123.845068193334850E-6	-119.830021117915420E+0
204.000000000000030E+0	113.249040823381730E-6	-118.901415417743070E+0
205.000000000000030E+0	194.177565587575760E-6	-116.064750196101140E+0
206.000000000000030E+0	593.248184023872630E-6	-117.048043711825440E+0
207.000000000000030E+0	185.722370465746850E-6	-117.767621618244930E+0
208.000000000000030E+0	232.343729913748210E-6	-115.824250322377000E+0
209.000000000000030E+0	257.207577912430120E-6	-116.402390537044720E+0
210.000000000000030E+0	141.392484250982230E-6	-117.097731798947860E+0
211.000000000000030E+0	195.729287395214710E-6	-114.329741892210110E+0
212.000000000000030E+0	58.003321112353213E-6	-116.950588404197160E+0
213.000000000000030E+0	594.454760192896710E-6	-118.949714987156840E+0
214.000000000000030E+0	574.740360890790250E-6	-119.921804830845690E+0
215.000000000000030E+0	203.859753720210970E-6	-121.027263749580200E+0
216.000000000000030E+0	133.896272741478700E-6	-119.544588366575340E+0
217.000000000000030E+0	117.613999705387960E-6	-120.343943754645320E+0
218.000000000000030E+0	222.892323317779540E-6	-117.274859824150620E+0
219.000000000000030E+0	309.953953687942170E-6	-118.013920451374530E+0
220.000000000000030E+0	181.453667437442130E-6	-119.243618365312510E+0
221.000000000000030E+0	236.411375228881780E-6	-120.178792182739780E+0
222.000000000000030E+0	198.445827964374500E-6	-119.365322838008480E+0
223.000000000000030E+0	442.586265579586120E-6	-119.019092033058950E+0
224.000000000000030E+0	423.585540562700480E-6	-119.351040731229350E+0
225.000000000000030E+0	372.676165017817450E-6	-119.352856215386650E+0
