Freq (Hz)	micro/hp_Mod	micro/hp_Phase(rad)
49.000000000000007E+0	455.595536947407060E-3	-36.904884756941598E+0
50.000000000000007E+0	255.816669715744680E-3	-34.659949992019108E+0
51.000000000000007E+0	44.346396770388409E-3	-36.744719495665052E+0
52.000000000000007E+0	235.934951632781280E-3	-35.204765554528613E+0
53.000000000000007E+0	131.456568838842770E-3	-36.360939274740311E+0
54.000000000000007E+0	128.208384516442670E-3	-38.153114201442158E+0
55.000000000000007E+0	103.382178490183820E-3	-40.913799701744743E+0
56.000000000000007E+0	48.021459369429788E-3	-37.947045209061663E+0
57.000000000000007E+0	49.772753359191513E-3	-34.910218846068389E+0
58.000000000000007E+0	62.273216893188557E-3	-37.773899420347234E+0
59.000000000000007E+0	46.915304919841423E-3	-40.798577189686220E+0
60.000000000000007E+0	12.536927235950330E-3	-39.250828579261189E+0
61.000000000000007E+0	27.401909047345012E-3	-36.917077965155961E+0
62.000000000000007E+0	76.280065219475002E-3	-33.988994286526591E+0
63.000000000000007E+0	77.864940081753223E-3	-36.798320933404540E+0
64.000000000000014E+0	27.983966712823972E-3	-39.441269277754486E+0
65.000000000000014E+0	20.523311393795728E-3	-41.202640223878085E+0
66.000000000000014E+0	28.449606326909876E-3	-43.729312524737743E+0
67.000000000000014E+0	24.072453568834209E-3	-46.251989110939704E+0
68.000000000000014E+0	17.416511759752732E-3	-48.614410309248349E+0
69.000000000000014E+0	8.013334440033913E-3	-49.833773219396363E+0
70.000000000000014E+0	12.508313851678273E-3	-52.621941656111744E+0
71.000000000000014E+0	24.865562956606919E-3	-49.572188858593293E+0
72.000000000000014E+0	19.774668459417982E-3	-52.306313817472102E+0
73.000000000000014E+0	2.179450996841112E-3	-55.302291833192356E+0
74.000000000000014E+0	6.080575859882444E-3	-53.983276512613386E+0
75.000000000000014E+0	7.917401676403747E-3	-55.785818035440052E+0
76.000000000000014E+0	7.851200571689003E-3	-58.114562603648117E+0
77.000000000000014E+0	5.014542917876307E-3	-60.087778291928977E+0
