Freq (Hz)	micro/hp_Mod	micro/hp_Phase(rad)
49.000000000000007E+0	308.603856496860620E-3	-22.740796099566250E+0
50.000000000000007E+0	298.998346885637140E-3	-24.291065719535467E+0
51.000000000000007E+0	356.026196238061090E-3	-27.249969968444606E+0
52.000000000000007E+0	71.756162587947758E-3	-28.270467436870216E+0
53.000000000000007E+0	98.925076733015649E-3	-30.082737723207082E+0
54.000000000000007E+0	21.046125443668934E-3	-32.401730180228128E+0
55.000000000000007E+0	40.106244144307891E-3	-32.208573288831225E+0
56.000000000000007E+0	29.668802454702891E-3	-33.372281754339056E+0
57.000000000000007E+0	71.550383397382539E-3	-34.726829831605727E+0
58.000000000000007E+0	84.964115184251884E-3	-36.316778971248453E+0
59.000000000000007E+0	30.947972844706812E-3	-38.032333400290341E+0
60.000000000000007E+0	16.804940342665015E-3	-39.086312626206023E+0
61.000000000000007E+0	37.561851554181735E-3	-37.270010022458088E+0
62.000000000000007E+0	54.902750711719704E-3	-40.250305541247059E+0
63.000000000000007E+0	34.661920647298304E-3	-43.296275000540980E+0
64.000000000000014E+0	9.078014249496252E-3	-42.953536323085828E+0
65.000000000000014E+0	37.840152193952918E-3	-45.093857388902641E+0
66.000000000000014E+0	26.475357786805254E-3	-47.919125040785993E+0
67.000000000000014E+0	11.466583465060916E-3	-44.920075091200161E+0
68.000000000000014E+0	7.724191683232581E-3	-43.173377860780917E+0
69.000000000000014E+0	20.016222738595272E-3	-46.137832787292226E+0
70.000000000000014E+0	9.440230302024960E-3	-43.652259264343492E+0
71.000000000000014E+0	23.439032165297705E-3	-40.644139818383984E+0
72.000000000000014E+0	14.565313773648432E-3	-43.034534287205403E+0
73.000000000000014E+0	6.720344794763606E-3	-40.434370433204791E+0
74.000000000000014E+0	6.698040143997433E-3	-43.308321796323803E+0
75.000000000000014E+0	6.158914917245129E-3	-44.312726100298995E+0
76.000000000000014E+0	20.722135933891914E-3	-46.463895818695470E+0
77.000000000000014E+0	19.354945525559764E-3	-48.497642875068827E+0
78.000000000000014E+0	5.255114851364869E-3	-49.524668196715446E+0
79.000000000000014E+0	9.645469765068840E-3	-49.526488083225999E+0
80.000000000000014E+0	10.417252126326831E-3	-50.717071023041740E+0
81.000000000000014E+0	6.230456370651985E-3	-51.586008042692519E+0
82.000000000000014E+0	10.661865539642646E-3	-52.814550038027221E+0
83.000000000000014E+0	11.913228238302159E-3	-55.269204845907616E+0
84.000000000000014E+0	10.237738457475644E-3	-57.507156872158340E+0
85.000000000000014E+0	6.274372234971449E-3	-59.141348360542871E+0
86.000000000000014E+0	6.010645383770346E-3	-59.894914072148921E+0
87.000000000000014E+0	4.243269049143827E-3	-61.992564971162352E+0
88.000000000000014E+0	3.034340608615428E-3	-61.575931715933308E+0
89.000000000000014E+0	10.618990107708563E-3	-63.842207399666599E+0
90.000000000000014E+0	7.895404005293757E-3	-65.501906852497072E+0
91.000000000000014E+0	8.065000508055651E-3	-65.720428213116548E+0
92.000000000000014E+0	7.822092551636886E-3	-67.081111041060012E+0
93.000000000000014E+0	5.052776804083382E-3	-68.278342661890264E+0
94.000000000000014E+0	3.710953958841363E-3	-70.313962073514901E+0
95.000000000000014E+0	7.182066512491610E-3	-72.813022887502214E+0
96.000000000000014E+0	9.458367212369062E-3	-75.142064880836855E+0
97.000000000000014E+0	4.208930880400970E-3	-77.198396859273117E+0
98.000000000000014E+0	1.039403485451475E-3	-76.939771249098825E+0
99.000000000000014E+0	10.949623084413542E-3	-78.180833363667574E+0
100.000000000000010E+0	17.620616018843929E-3	-80.333389161540666E+0
101.000000000000010E+0	4.766923829930569E-3	-82.217569882516201E+0
102.000000000000010E+0	6.527569910980199E-3	-81.741241020842509E+0
103.000000000000010E+0	4.689594358523845E-3	-83.887844825301158E+0
104.000000000000010E+0	898.147759338230500E-6	-86.030054510100612E+0
105.000000000000010E+0	2.800827930979006E-3	-85.829801768434891E+0
106.000000000000010E+0	3.813149216511887E-3	-88.302676191598834E+0
107.000000000000010E+0	3.223706455542201E-3	-90.995505580907746E+0
108.000000000000010E+0	1.976920656389899E-3	-93.582404608197265E+0
109.000000000000010E+0	891.214157267940950E-6	-96.496196650921604E+0
110.000000000000010E+0	2.083654095036122E-3	-97.403918727440754E+0
111.000000000000010E+0	5.112907025695375E-3	-99.251936444978895E+0
112.000000000000010E+0	5.226770364676702E-3	-101.268537812643370E+0
113.000000000000010E+0	9.409368959819224E-3	-98.395794535595499E+0
114.000000000000010E+0	14.956974213130624E-3	-100.492759666333780E+0
115.000000000000010E+0	4.732429376177178E-3	-102.388097553162810E+0
116.000000000000010E+0	1.279082372728216E-3	-99.820255154804400E+0
117.000000000000010E+0	2.634259771495276E-3	-100.761377512906320E+0
118.000000000000010E+0	1.999545632192825E-3	-103.550815427654580E+0
119.000000000000010E+0	2.333314328840199E-3	-106.391683636389530E+0
120.000000000000010E+0	960.190622585236820E-6	-109.253663540138520E+0
121.000000000000010E+0	847.609421255254130E-6	-108.447146840271100E+0
122.000000000000010E+0	2.031117326861645E-3	-110.685579232148090E+0
123.000000000000010E+0	184.700439983821830E-6	-107.732389454463710E+0
124.000000000000010E+0	1.502778709868284E-3	-105.246916091332990E+0
125.000000000000010E+0	847.305272501359500E-6	-106.756080687935750E+0
126.000000000000010E+0	1.103224642317534E-3	-107.282762903217660E+0
127.000000000000010E+0	1.242309615591425E-3	-108.756682856344230E+0
128.000000000000030E+0	1.100379745308851E-3	-110.113039972714470E+0
129.000000000000030E+0	760.010750629200060E-6	-110.608737127390230E+0
130.000000000000030E+0	173.667213473480150E-6	-111.490898702476220E+0
131.000000000000030E+0	313.690801641602530E-6	-110.500383120948140E+0
132.000000000000030E+0	496.813864027033330E-6	-108.511628538376410E+0
133.000000000000030E+0	444.993961269276990E-6	-110.418902719160330E+0
134.000000000000030E+0	818.594881073785070E-6	-112.285635288722760E+0
135.000000000000030E+0	1.657666170891634E-3	-113.939873802776260E+0
136.000000000000030E+0	1.244114162186368E-3	-115.416363693467670E+0
137.000000000000030E+0	1.089634871154803E-3	-115.820258091854030E+0
138.000000000000030E+0	936.845289308556880E-6	-116.895034801728370E+0
139.000000000000030E+0	516.000305828333440E-6	-115.279599097084500E+0
140.000000000000030E+0	1.052731835946143E-3	-116.438343787967370E+0
141.000000000000030E+0	195.755172892073910E-6	-118.860892368855090E+0
142.000000000000030E+0	709.229611668077320E-6	-121.764288618633760E+0
143.000000000000030E+0	462.201249570408310E-6	-122.751619991486190E+0
144.000000000000030E+0	421.148946659411550E-6	-123.371888457330290E+0
145.000000000000030E+0	574.038796885944730E-6	-124.746782479463590E+0
146.000000000000030E+0	573.684520053097790E-6	-126.748456493074570E+0
147.000000000000030E+0	406.830657628485640E-6	-128.484921322478730E+0
148.000000000000030E+0	266.678891415762340E-6	-129.410921561263310E+0
149.000000000000030E+0	450.128985396059130E-6	-132.051945327209010E+0
150.000000000000030E+0	661.978840281703070E-6	-133.893596939916250E+0
151.000000000000030E+0	497.619521848934000E-6	-135.032978254254120E+0
152.000000000000030E+0	526.421603603371390E-6	-136.386897301899010E+0
153.000000000000030E+0	332.032138067461010E-6	-138.651592474214170E+0
154.000000000000030E+0	200.313794147818150E-6	-140.244133741895840E+0
155.000000000000030E+0	405.320006062469730E-6	-140.141927909374200E+0
156.000000000000030E+0	490.206890256220280E-6	-141.022854577253440E+0
157.000000000000030E+0	188.074747820811120E-6	-140.760551320334660E+0
158.000000000000030E+0	410.021659738866070E-6	-140.854729783327710E+0
159.000000000000030E+0	262.865466459185340E-6	-141.645801116214950E+0
160.000000000000030E+0	200.596711926933710E-6	-142.481427980659420E+0
161.000000000000030E+0	197.186183383817700E-6	-143.714558905716330E+0
162.000000000000030E+0	176.341374450131950E-6	-145.014809960843280E+0
163.000000000000030E+0	46.415375998731603E-6	-145.968051983062850E+0
164.000000000000030E+0	132.792428650865570E-6	-144.830781170019010E+0
165.000000000000030E+0	98.438701593874192E-6	-144.984886042436020E+0
166.000000000000030E+0	225.699058613316910E-6	-145.304190508181900E+0
167.000000000000030E+0	215.505343422048700E-6	-146.782909901003900E+0
168.000000000000030E+0	92.737806512520712E-6	-148.932795269271930E+0
169.000000000000030E+0	161.437958687241710E-6	-150.728486897951910E+0
170.000000000000030E+0	295.587298113056260E-6	-151.896496459252260E+0
171.000000000000030E+0	363.590744231934060E-6	-153.698591561139640E+0
172.000000000000030E+0	241.714039592698070E-6	-155.375631851766000E+0
173.000000000000030E+0	103.544725283691720E-6	-154.067678561281010E+0
174.000000000000030E+0	214.508846618247190E-6	-155.377462079845800E+0
175.000000000000030E+0	83.946310390336709E-6	-156.576085298350680E+0
176.000000000000030E+0	36.499360917358599E-6	-157.806322969420140E+0
177.000000000000030E+0	120.989029050021240E-6	-157.189145442350280E+0
178.000000000000030E+0	309.175138944832220E-6	-157.998932125124440E+0
179.000000000000030E+0	201.207199235862280E-6	-159.000187832590540E+0
180.000000000000030E+0	52.275141645936113E-6	-160.058020183539700E+0
181.000000000000030E+0	75.463781324537017E-6	-158.781526570867840E+0
182.000000000000030E+0	174.251871420507340E-6	-159.870296515205610E+0
183.000000000000030E+0	160.728190383861460E-6	-160.808265070947130E+0
184.000000000000030E+0	228.924546463181240E-6	-161.549043319635640E+0
185.000000000000030E+0	84.325835456310256E-6	-162.103771519381640E+0
186.000000000000030E+0	367.402885780870820E-6	-161.255208914216130E+0
187.000000000000030E+0	398.911603787262870E-6	-162.454741166863070E+0
188.000000000000030E+0	149.337172491088530E-6	-163.480630320100260E+0
189.000000000000030E+0	113.460868871877820E-6	-163.897679008222700E+0
190.000000000000030E+0	39.709077883494456E-6	-163.806204857099260E+0
191.000000000000030E+0	88.278421544881532E-6	-164.005367880332100E+0
192.000000000000030E+0	78.895221225712387E-6	-166.378405981136780E+0
193.000000000000030E+0	98.322651763532791E-6	-169.131735275466440E+0
194.000000000000030E+0	201.645688116094950E-6	-170.433634435490800E+0
195.000000000000030E+0	163.059223956634880E-6	-171.106157785248090E+0
196.000000000000030E+0	56.642393238341748E-6	-172.473736142317650E+0
197.000000000000030E+0	104.273439072785990E-6	-174.659277343158070E+0
198.000000000000030E+0	73.541701488308609E-6	-176.381380030972420E+0
199.000000000000030E+0	150.092738812895710E-6	-179.257938160428240E+0
200.000000000000030E+0	212.643160135689120E-6	-180.425056981432360E+0
201.000000000000030E+0	25.127186944901788E-6	-179.966611571331070E+0
202.000000000000030E+0	151.739077807215440E-6	-179.026903322149820E+0
203.000000000000030E+0	57.623842444361870E-6	-179.647938121697680E+0
204.000000000000030E+0	90.503721891778381E-6	-176.764070897515320E+0
205.000000000000030E+0	270.365272384702690E-6	-177.931845407135310E+0
206.000000000000030E+0	450.789726321748130E-6	-179.012375302232070E+0
207.000000000000030E+0	338.933818725760500E-6	-180.292703000566550E+0
208.000000000000030E+0	186.309998493778440E-6	-181.990896562375180E+0
