Freq (Hz)	micro/hp_Real	micro/hp_Imag
49.000000000000007E+0	-258.337108799717160E-3	526.981382868846660E-3
50.000000000000007E+0	39.336681737545162E-3	1.190380758445472E+0
51.000000000000007E+0	-427.891958975218030E-3	254.718008977628750E-3
52.000000000000007E+0	211.782482081159270E-3	-776.555103714031670E-6
53.000000000000007E+0	117.675690349850610E-3	-41.366886854604767E-3
54.000000000000007E+0	-340.036158780416760E-3	-133.180088857871580E-3
55.000000000000007E+0	113.470232155903860E-3	335.380008601689980E-3
56.000000000000007E+0	79.431290016812553E-3	-148.040694985663910E-3
57.000000000000007E+0	-52.353886570236534E-3	-70.854669776590579E-3
58.000000000000007E+0	-154.436468049650550E-3	12.479295556343084E-3
59.000000000000007E+0	143.007374785017850E-3	149.046915803599720E-3
60.000000000000007E+0	-22.372435701882517E-3	-37.718658572316287E-3
61.000000000000007E+0	82.549321647296101E-3	-108.373363254231820E-3
62.000000000000007E+0	-99.681413035450001E-3	52.666086912489786E-3
63.000000000000007E+0	62.718004391040832E-3	-1.734434263529602E-3
64.000000000000014E+0	-42.134747279613506E-3	-21.786979187343444E-3
65.000000000000014E+0	52.407694372956996E-3	43.734535758950741E-3
66.000000000000014E+0	-20.455034734547465E-3	-36.490925222940979E-3
67.000000000000014E+0	11.138061763193501E-3	-4.815697504795289E-3
68.000000000000014E+0	-8.613388549401696E-3	-24.659673315770323E-3
69.000000000000014E+0	-22.574759343456433E-3	36.952446242973599E-3
70.000000000000014E+0	18.710430066625663E-3	-25.293664700990745E-3
71.000000000000014E+0	-8.385322502342045E-3	12.539824079904723E-3
72.000000000000014E+0	10.578215389715024E-3	1.780076587974938E-3
73.000000000000014E+0	-8.248305214382474E-3	-33.244724905708012E-3
74.000000000000014E+0	-24.135131143908382E-3	23.987807079954210E-3
75.000000000000014E+0	15.940484886267030E-3	2.886710260730660E-3
76.000000000000014E+0	-8.409802182431435E-3	2.617838662359588E-3
77.000000000000014E+0	-6.315417986502753E-3	733.161995749780130E-6
78.000000000000014E+0	25.313056229946573E-3	23.354661591774330E-3
79.000000000000014E+0	5.272642399062023E-3	-29.595447079122119E-3
80.000000000000014E+0	-20.212137890468180E-3	-2.802849853097450E-3
81.000000000000014E+0	7.874719797845540E-3	7.057634874313670E-3
82.000000000000014E+0	-7.399838773636332E-3	-1.576474076006010E-3
83.000000000000014E+0	10.663689484660514E-3	50.680157917042306E-6
84.000000000000014E+0	-14.614113426055574E-3	-16.365313791812903E-3
85.000000000000014E+0	-6.397053725410504E-3	19.446664627513273E-3
86.000000000000014E+0	9.663902907724344E-3	-1.266255928281271E-3
87.000000000000014E+0	-962.746676061915540E-6	-6.554295620941106E-3
88.000000000000014E+0	-6.544412685349635E-3	4.090876891692292E-3
89.000000000000014E+0	3.064607554986440E-3	-568.100900272134500E-6
90.000000000000014E+0	-5.292326841554779E-3	-249.976740934121790E-6
91.000000000000014E+0	696.696903409064910E-6	9.451652627240813E-3
92.000000000000014E+0	5.158810179761274E-3	-3.196141633578753E-3
93.000000000000014E+0	-1.108174951936471E-3	1.900787602928309E-3
94.000000000000014E+0	2.203355413269700E-3	-1.255998445858280E-3
95.000000000000014E+0	728.383126589808060E-6	-1.681482972634406E-3
96.000000000000014E+0	-1.717773424308925E-3	-5.262014222644243E-3
97.000000000000014E+0	-14.912599886669058E-3	7.577542925470322E-3
98.000000000000014E+0	13.187496337320909E-3	9.948240010767537E-3
99.000000000000014E+0	-5.845507925818946E-3	7.726577394288807E-3
