Freq (Hz)	Gxymicro/hp_Real	Gxymicro/hp_Imag
114.000000000000010E+0	9.232871245412382E-9	111.513625268746670E-12
115.000000000000010E+0	69.407650084050718E-9	-63.904236239275052E-9
116.000000000000010E+0	-124.884553093351070E-9	-56.684916106252852E-9
117.000000000000010E+0	11.564425410060009E-9	35.883378575370521E-9
118.000000000000010E+0	-20.874639417811754E-9	3.147205988812641E-9
119.000000000000010E+0	11.418363826087253E-9	-18.759135063848430E-9
120.000000000000010E+0	-18.653359646450837E-9	5.608444049648137E-9
121.000000000000010E+0	16.943027414053637E-9	3.124951928502455E-9
122.000000000000010E+0	10.729879330265517E-9	-50.512385493115810E-9
123.000000000000010E+0	-39.219988170300956E-9	-2.348018594250340E-9
124.000000000000010E+0	-38.175217542242794E-9	-5.376500688423087E-9
125.000000000000010E+0	23.294610682244794E-9	73.388084280069428E-9
126.000000000000010E+0	48.360067880485834E-9	-5.953816501639649E-9
127.000000000000010E+0	45.021315109782485E-9	-22.878498239149030E-9
128.000000000000030E+0	6.663856058000269E-9	10.661807687107187E-9
129.000000000000030E+0	50.255695106241187E-9	-38.520633005900210E-9
130.000000000000030E+0	-44.382223154597775E-9	-1.155434510495998E-9
131.000000000000030E+0	16.770883400226255E-9	-17.208170878122708E-9
132.000000000000030E+0	-89.203627751878291E-9	4.442944028805662E-9
133.000000000000030E+0	-14.166474001279410E-9	67.975259060177573E-9
134.000000000000030E+0	11.203826366937491E-9	34.341993497708035E-9
135.000000000000030E+0	12.463342653291361E-9	16.464199764073668E-9
136.000000000000030E+0	-4.912998215657300E-9	-21.690770310472560E-9
137.000000000000030E+0	-54.325446603931389E-9	18.589750981900365E-9
138.000000000000030E+0	-98.864914073662456E-9	59.871716036696402E-9
139.000000000000030E+0	49.456297466761339E-9	215.422278990718680E-9
140.000000000000030E+0	223.681249285631030E-9	-36.157159516235326E-9
141.000000000000030E+0	-61.848913545115612E-9	-172.705237840272400E-9
142.000000000000030E+0	-47.807001696508273E-9	57.207594909076067E-9
143.000000000000030E+0	31.253284273230859E-9	-14.464197206752569E-9
144.000000000000030E+0	-5.792822974491506E-9	-36.753869572713446E-9
145.000000000000030E+0	-405.506545226129040E-12	2.820290171938725E-9
146.000000000000030E+0	-42.177254810362008E-9	-57.361645257616234E-9
147.000000000000030E+0	-45.399631669101104E-9	85.488072693955724E-9
148.000000000000030E+0	101.207970386602700E-9	35.131222884274752E-9
149.000000000000030E+0	-58.213541187630004E-9	64.028691221974157E-9
150.000000000000030E+0	181.062475939459740E-9	215.503497521801780E-9
151.000000000000030E+0	-8.942456838907037E-9	-20.333071729902237E-9
152.000000000000030E+0	45.887147733773508E-9	147.161404983204360E-9
153.000000000000030E+0	46.944988339741498E-9	-112.143098404551780E-9
154.000000000000030E+0	-144.370951290026330E-9	-152.515404541087130E-9
155.000000000000030E+0	-151.772751817237630E-9	-1.405771629635511E-9
156.000000000000030E+0	-180.611681111950480E-9	-25.049713311036262E-9
157.000000000000030E+0	-116.326918838824880E-9	176.354333823005940E-9
158.000000000000030E+0	102.561994923681750E-9	-26.697445083035150E-9
159.000000000000030E+0	-99.472354838010768E-9	-105.014694150620580E-9
160.000000000000030E+0	91.831028283087641E-9	21.363756994265349E-9
161.000000000000030E+0	106.267145306252030E-9	-308.202438267389690E-9
162.000000000000030E+0	-213.238301916997210E-9	-215.731389423672910E-9
163.000000000000030E+0	-104.399061173667940E-9	92.608697144590845E-9
164.000000000000030E+0	35.288585463753254E-9	-20.351402196975421E-9
