Freq (Hz)	mic2/mic1_Real	mic2/mic1_Imag	mic3/mic1_Real	mic3/mic1_Imag	mic4/mic1_Real	mic4/mic1_Imag
521.000000000000110E+0	982.048338797734010E-3	28.374862114332190E-3	770.537552990695040E-3	-9.155847047835368E-3	962.220032949193670E-3	-36.078703189186954E-3
522.000000000000110E+0	964.288236359777780E-3	18.694344504265086E-3	797.999621953549450E-3	10.128542266326788E-3	1.012292822221541E+0	-33.159943821505666E-3
523.000000000000110E+0	971.966327425933580E-3	42.677812215165555E-3	735.988138799340110E-3	39.294435081765743E-3	995.775499516355130E-3	61.634690840354792E-3
524.000000000000110E+0	947.862238272254350E-3	45.767133108548075E-3	772.009213744230480E-3	18.307855602097717E-3	946.818348633723600E-3	-16.720370234439414E-3
525.000000000000110E+0	983.154763500089350E-3	2.564935474432725E-3	752.920463788841140E-3	2.881728164752442E-3	1.031575346245414E+0	-4.263307165817058E-3
526.000000000000110E+0	983.087645463166740E-3	40.926983539991330E-3	761.865096975026250E-3	32.499394791797392E-3	977.148990868128340E-3	37.339408517549945E-3
527.000000000000110E+0	966.318054676470580E-3	60.923817036930478E-3	769.012262556742380E-3	13.475882483158152E-3	953.662667979699120E-3	-4.616100081342080E-3
528.000000000000110E+0	968.190167039121090E-3	21.476212462388108E-3	775.004716172247750E-3	21.185297516320731E-3	988.177671985981160E-3	-35.481714288808856E-3
529.000000000000110E+0	972.740704916119410E-3	18.575097102578139E-3	753.054913146178340E-3	16.619296572994869E-3	1.030505934411354E+0	25.555961048934935E-3
530.000000000000110E+0	944.545556202640020E-3	65.409281679084413E-3	764.680776075835950E-3	22.053251013354855E-3	932.871831029125960E-3	-717.869716840149190E-6
531.000000000000110E+0	1.006901768591206E+0	-20.846182154031445E-3	781.894814006040440E-3	13.851652638033346E-3	1.025792918515047E+0	-20.139734940391906E-3
532.000000000000110E+0	956.064898027182860E-3	71.435052108687072E-3	737.133187864032590E-3	41.238618469475581E-3	973.485339306837780E-3	27.914895038061136E-3
533.000000000000110E+0	993.943053382811080E-3	17.763943121019136E-3	755.376880751324360E-3	-4.446431055458553E-3	1.023376324869430E+0	5.218501074044011E-3
534.000000000000110E+0	963.348882066292770E-3	45.107126116953541E-3	796.269265733388080E-3	18.752616535986678E-3	959.308522611799110E-3	2.172870310641031E-3
535.000000000000110E+0	976.962745511226420E-3	22.502479915596150E-3	740.938453823092310E-3	24.608566246030375E-3	1.000811810527829E+0	-8.164532978942627E-3
536.000000000000110E+0	951.258337811282440E-3	45.510575204548480E-3	770.481322318731900E-3	26.585270159748271E-3	964.588270228504460E-3	7.739788594907565E-3
537.000000000000110E+0	992.871361226261740E-3	17.905690909553171E-3	769.976918805675870E-3	9.055759200955651E-3	1.001462737924917E+0	8.834963223093208E-3
538.000000000000110E+0	966.529171031802470E-3	52.227181098342151E-3	756.190521002085950E-3	44.204462645507404E-3	987.240531271873940E-3	-11.481588001229420E-3
539.000000000000110E+0	971.946818191689710E-3	52.261585063654720E-3	739.846874122661480E-3	-9.031868308051633E-3	982.431232104357680E-3	7.143507721057488E-3
540.000000000000110E+0	956.928401770703710E-3	-14.868793604814131E-3	784.185317406665080E-3	-3.345701412560039E-3	1.009694133399289E+0	-38.082611443027645E-3
541.000000000000110E+0	964.577401949678670E-3	11.669039223681354E-3	755.985826759621450E-3	34.543683060349821E-3	977.017755300342400E-3	39.440015107761843E-3
542.000000000000110E+0	987.472792575471270E-3	55.361146031689235E-3	756.389021014825970E-3	8.661603259890224E-3	1.000387970365404E+0	-14.167789057252862E-3
543.000000000000110E+0	926.802087833760500E-3	41.883204323503238E-3	772.915602828742610E-3	43.016819033736747E-3	987.444872243566140E-3	7.191378753071873E-3
544.000000000000110E+0	1.048850125613046E+0	-11.347298552567301E-3	742.995325613913680E-3	1.900229308504349E-3	980.213936334802030E-3	631.248804720344340E-6
