Freq (Hz)	Gxymic2/mic1_Real	Gxymic2/mic1_Imag	Gxymic3/mic1_Real	Gxymic3/mic1_Imag	Gxymic4/mic1_Real	Gxymic4/mic1_Imag
598.000000000000110E+0	8.894115686732098E-9	920.778891297432180E-12	7.245273019307398E-9	514.980186481546760E-12	10.186710425363623E-9	19.708445810845520E-12
599.000000000000110E+0	68.557827158640118E-9	4.706145072526208E-9	55.023357289335483E-9	4.331417706906750E-9	71.553519810260013E-9	1.972394155192274E-9
600.000000000000110E+0	120.806349603833140E-9	5.595885225840068E-9	95.429792776469532E-9	5.182766080397905E-9	125.033861890954500E-9	952.738845058707780E-12
601.000000000000110E+0	23.849591450427955E-9	448.933331961855350E-12	18.113179024047847E-9	736.704029551031090E-12	23.992106130562603E-9	663.593563053049630E-12
602.000000000000110E+0	6.010768149459407E-9	244.967642458242550E-12	5.001649465445564E-9	447.008119648009930E-12	7.668662096334573E-9	602.294908479614990E-12
603.000000000000110E+0	19.761460145929048E-9	1.327953600529432E-9	14.918120081189660E-9	1.588444876861158E-9	19.673508204646396E-9	1.326544633839431E-9
604.000000000000110E+0	24.182966076240931E-9	2.062044220449525E-9	18.907295550795585E-9	1.251634751399413E-9	24.543754961241638E-9	82.142326948075617E-12
605.000000000000110E+0	9.768614088569609E-9	131.829541438022490E-12	7.388264190135254E-9	291.341816029308260E-12	9.490268983879056E-9	431.990756426600220E-12
606.000000000000110E+0	19.903052439756302E-9	1.389385271088166E-9	15.061794763593072E-9	172.527399486798820E-12	19.875802559040615E-9	388.703928003013990E-12
607.000000000000110E+0	22.221459013786264E-9	1.679350804124458E-9	17.995899063437926E-9	1.314095296882229E-9	22.575246336001206E-9	998.805086776809090E-12
608.000000000000110E+0	11.008873470009619E-9	1.327081540529950E-9	9.159305947403297E-9	671.737683446657920E-12	11.317979356573065E-9	946.559045452121280E-12
609.000000000000110E+0	18.921478039168148E-9	1.508096845129903E-9	15.735244209560365E-9	707.286872134472220E-12	20.120847056033399E-9	983.579906712978470E-12
610.000000000000110E+0	26.198355904570818E-9	-721.429298531850410E-12	21.717506020583305E-9	523.407174938342150E-12	28.050670764259622E-9	134.465451196942960E-12
611.000000000000110E+0	13.388889195265990E-9	81.968574586867706E-12	10.473524580483531E-9	649.672625397136550E-12	14.761736766887378E-9	235.318818181845570E-12
612.000000000000110E+0	17.289856958261742E-9	658.998627464608800E-12	14.353106133843858E-9	887.595726011626790E-12	18.843817187150568E-9	687.093204056388610E-12
613.000000000000110E+0	18.387244334295601E-9	109.674117674101440E-12	15.590087148701693E-9	255.935330713694410E-12	21.620713988776529E-9	401.009976942626420E-12
614.000000000000110E+0	16.145228140554685E-9	-310.113943041972110E-12	13.099927622580740E-9	279.422211972852100E-12	17.064287077653584E-9	-243.453080818638570E-12
615.000000000000110E+0	20.746957602393050E-9	576.218655382206460E-12	17.710727647196581E-9	566.217924868025390E-12	25.092528217338258E-9	455.284859359270540E-12
616.000000000000110E+0	14.888110130260458E-9	1.101001853877166E-9	13.042016595448629E-9	679.693040008924090E-12	17.887609499333525E-9	343.663016873830200E-12
617.000000000000110E+0	23.124153346294553E-9	954.074003453807680E-12	18.701937633265860E-9	974.957836843668420E-12	24.770673402587585E-9	407.478908971436040E-12
618.000000000000110E+0	12.193248718106256E-9	291.852254935702470E-12	9.809881056396818E-9	3.106111429765480E-12	12.719169016677836E-9	-15.052427830995096E-12
619.000000000000110E+0	18.531872351447412E-9	-716.765398622247740E-12	15.119018331544962E-9	-449.143882029652840E-12	19.732307702244917E-9	752.923676770642610E-12
620.000000000000110E+0	26.004441561177635E-9	-66.943386582239864E-12	20.503416286687150E-9	502.113295232719650E-12	26.068787514407746E-9	-685.815157037360990E-12
621.000000000000110E+0	29.222053746969364E-9	669.370851169653850E-12	21.874519348004179E-9	1.642877987022415E-9	30.739372118660317E-9	1.335969975742841E-9
622.000000000000110E+0	26.206724846212919E-9	633.761202180892870E-12	21.491377146224143E-9	-649.535712967764940E-12	28.687408292850380E-9	138.341844376315800E-12
623.000000000000110E+0	26.041384131188398E-9	279.488014541765030E-12	19.478293015120109E-9	1.615935029170752E-9	26.180257585407845E-9	-228.476942402495330E-12
624.000000000000110E+0	57.760789912982402E-9	1.836925514357882E-9	46.832420451236997E-9	351.274116488922310E-12	61.207187715947548E-9	712.016532890384270E-12
625.000000000000110E+0	30.971435656145294E-9	1.216305846497446E-9	24.237841522890684E-9	865.264987290335880E-12	32.785732814638179E-9	14.297361367366661E-12
626.000000000000110E+0	81.233009114897243E-9	132.376992891103970E-12	65.179044045851367E-9	2.620037863816924E-9	83.276952869053656E-9	744.675980442283690E-12
627.000000000000110E+0	41.604815277213732E-9	735.347345729137280E-12	33.223033509240621E-9	1.180531631393028E-9	43.412544957669002E-9	-1.292912771463191E-9
628.000000000000110E+0	54.269354482538584E-9	-260.636482750809370E-12	43.204094794787119E-9	1.434019864598803E-9	57.773068062986110E-9	1.248206726239317E-9
629.000000000000110E+0	73.829963173050768E-9	4.650428186850102E-9	61.136984185952579E-9	3.946938177482839E-9	79.861965383725495E-9	740.302788807387990E-12
630.000000000000110E+0	47.361265424966208E-9	219.615625714507740E-12	38.615083193766915E-9	1.912785662724947E-9	48.296232912550078E-9	-371.729863082816750E-12
631.000000000000110E+0	75.512337009004489E-9	1.780455682165970E-9	59.829247076051060E-9	1.689550036370358E-9	78.386840576788926E-9	827.122315939061970E-12
