Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
534.000000000000110E+0	174.282190283529300E-9	162.092729464808340E-9	110.563409181109580E-9	160.383235535023910E-9
535.000000000000110E+0	179.084820070291270E-9	171.016988710150050E-9	98.423345487862987E-9	179.386051393627690E-9
536.000000000000110E+0	160.639464816510140E-9	145.690740115120790E-9	95.474302792313198E-9	149.471882299009560E-9
537.000000000000110E+0	159.065154451732180E-9	156.842634966142050E-9	94.315006264998694E-9	159.541445337935080E-9
538.000000000000110E+0	146.900561317183950E-9	137.624443447292350E-9	84.282850060438738E-9	143.192678487220820E-9
539.000000000000110E+0	145.445595372460380E-9	137.755703424970450E-9	79.622990952330923E-9	140.385000405033100E-9
540.000000000000110E+0	127.987764759245490E-9	117.147823226683460E-9	78.704627037554886E-9	130.665356809731580E-9
541.000000000000110E+0	112.456188126277030E-9	104.624982345335320E-9	64.402789104970914E-9	107.521047638397610E-9
542.000000000000110E+0	97.542964846775294E-9	95.374138193911148E-9	55.812726083721858E-9	97.633023649638948E-9
543.000000000000110E+0	88.380808011837001E-9	76.020720758026837E-9	52.960970100062970E-9	86.174743138949968E-9
544.000000000000110E+0	72.918748172666136E-9	80.196696219833818E-9	40.253411311087612E-9	70.060282604375356E-9
545.000000000000110E+0	69.392225836456522E-9	64.128447165515899E-9	40.609552369032919E-9	65.844642751402229E-9
546.000000000000110E+0	71.665161657682426E-9	65.806859733761553E-9	39.373065934816347E-9	73.306779446753805E-9
547.000000000000110E+0	43.154454947427054E-9	41.089159523887799E-9	27.730511221723435E-9	43.509379399630595E-9
548.000000000000110E+0	40.254493410674136E-9	37.819593802943846E-9	24.499820417415530E-9	40.691317301417106E-9
549.000000000000110E+0	31.421639431097573E-9	32.049359136220087E-9	16.571598746642091E-9	31.192368439960001E-9
550.000000000000110E+0	30.246426236560640E-9	25.619156381846551E-9	17.701193259816570E-9	27.129356973195846E-9
551.000000000000110E+0	21.828618974331700E-9	20.453611835908990E-9	10.993904799358106E-9	23.059210537340098E-9
552.000000000000110E+0	20.594722507075150E-9	22.686159703557745E-9	13.053411702244791E-9	21.744351362648221E-9
553.000000000000110E+0	17.461983530531820E-9	15.319520034680192E-9	11.027124336770102E-9	16.688729838905617E-9
554.000000000000110E+0	15.270812842198713E-9	14.272636792011568E-9	7.686225539460632E-9	17.140113457486763E-9
555.000000000000110E+0	21.606519757261542E-9	21.754618541268905E-9	13.084504338207271E-9	20.719430024922277E-9
556.000000000000110E+0	16.115437982113499E-9	13.646841663606828E-9	9.023867601137080E-9	16.062358851935369E-9
557.000000000000110E+0	24.992152167072274E-9	23.715185018706313E-9	12.519477403034885E-9	25.126685230046664E-9
558.000000000000110E+0	26.860115982119615E-9	30.894250396141241E-9	18.699712129058333E-9	28.234726465339456E-9
559.000000000000110E+0	25.465912252913066E-9	19.497188422123213E-9	13.681384744905240E-9	22.184352665269396E-9
560.000000000000110E+0	36.386450315050388E-9	34.712612087282904E-9	20.473270531711143E-9	37.469041615003755E-9
561.000000000000110E+0	39.479316332340729E-9	37.818497799122478E-9	24.637570419653488E-9	38.165328244332725E-9
562.000000000000110E+0	39.477685862467714E-9	35.030061841698135E-9	20.658121918526294E-9	36.996858728235059E-9
