Freq (Hz)	micro(Pa^2 )
49.000000000000007E+0	503.246465128252040E-12
50.000000000000007E+0	2.294441734736569E-9
51.000000000000007E+0	450.853363953134380E-12
52.000000000000007E+0	69.534727205304069E-12
53.000000000000007E+0	172.729154434873170E-12
54.000000000000007E+0	831.853293501742100E-12
55.000000000000007E+0	328.789284687949350E-12
56.000000000000007E+0	33.607022464495357E-12
57.000000000000007E+0	173.046654433214290E-12
58.000000000000007E+0	238.507453865613220E-12
59.000000000000007E+0	88.719164353529123E-12
60.000000000000007E+0	35.479664966087460E-12
61.000000000000007E+0	386.068895962416510E-12
62.000000000000007E+0	405.991330235573530E-12
63.000000000000007E+0	45.532918446141209E-12
64.000000000000014E+0	460.283389561603880E-12
65.000000000000014E+0	309.978765498971500E-12
66.000000000000014E+0	10.147885375280458E-12
67.000000000000014E+0	101.866910644062700E-12
68.000000000000014E+0	30.452879135388777E-12
69.000000000000014E+0	331.829328077165150E-12
70.000000000000014E+0	685.085544384607570E-12
71.000000000000014E+0	389.682551325912290E-12
72.000000000000014E+0	204.832076500777840E-12
73.000000000000014E+0	35.122287740304662E-12
74.000000000000014E+0	35.620155048133124E-12
75.000000000000014E+0	6.796613775731274E-12
76.000000000000014E+0	14.256608113105927E-12
77.000000000000014E+0	1.289764820913311E-9
78.000000000000014E+0	1.441011403935894E-9
79.000000000000014E+0	56.517913485973895E-12
80.000000000000014E+0	130.412038445795830E-12
81.000000000000014E+0	242.412797066856850E-12
82.000000000000014E+0	101.851932252116900E-12
83.000000000000014E+0	180.582174819296200E-12
84.000000000000014E+0	152.469514538953310E-12
85.000000000000014E+0	361.213290952207210E-12
86.000000000000014E+0	903.162304824625340E-12
87.000000000000014E+0	150.418973508816010E-12
88.000000000000014E+0	51.920094409658590E-12
89.000000000000014E+0	59.681654952711209E-12
90.000000000000014E+0	102.998590513882050E-12
91.000000000000014E+0	50.437584542806817E-12
92.000000000000014E+0	75.867379736532291E-12
93.000000000000014E+0	159.362144714568970E-12
94.000000000000014E+0	37.293759135066464E-12
95.000000000000014E+0	53.360101212676398E-12
96.000000000000014E+0	24.225365775086018E-12
97.000000000000014E+0	430.533832685285890E-12
98.000000000000014E+0	334.155393841991680E-12
99.000000000000014E+0	6.148318053596429E-9
100.000000000000010E+0	18.917643769305925E-9
101.000000000000010E+0	3.899078690101198E-9
102.000000000000010E+0	288.455353860633870E-12
103.000000000000010E+0	134.164562726056690E-12
104.000000000000010E+0	223.559287453760140E-12
105.000000000000010E+0	38.624651257650341E-12
106.000000000000010E+0	52.268740473296785E-12
107.000000000000010E+0	362.618643147164070E-12
108.000000000000010E+0	475.430990627102010E-12
109.000000000000010E+0	50.759868898168822E-12
110.000000000000010E+0	68.265339957873357E-12
111.000000000000010E+0	76.972460143452781E-12
112.000000000000010E+0	22.325045117335351E-12
113.000000000000010E+0	5.602770589447039E-9
114.000000000000010E+0	14.185873557730482E-9
115.000000000000010E+0	1.839650776399239E-9
116.000000000000010E+0	393.880857302844890E-12
117.000000000000010E+0	132.243652447802200E-12
118.000000000000010E+0	125.918859865788300E-12
119.000000000000010E+0	33.255792205730860E-12
120.000000000000010E+0	63.954854557107196E-12
121.000000000000010E+0	214.466828658670780E-12
122.000000000000010E+0	590.423975629901800E-12
123.000000000000010E+0	351.490503586469950E-12
124.000000000000010E+0	314.007506168336560E-12
125.000000000000010E+0	692.256559241527410E-12
126.000000000000010E+0	335.693044087019170E-12
127.000000000000010E+0	211.472039575767220E-12
128.000000000000030E+0	125.323737551113550E-12
129.000000000000030E+0	50.989875886942346E-12
130.000000000000030E+0	126.670432041075470E-12
131.000000000000030E+0	733.262375558763440E-12
132.000000000000030E+0	854.604576860186030E-12
133.000000000000030E+0	145.265884362128330E-12
134.000000000000030E+0	24.649113418085169E-12
135.000000000000030E+0	45.855202851975519E-12
136.000000000000030E+0	28.597329306314228E-12
137.000000000000030E+0	273.410117059889710E-12
138.000000000000030E+0	1.571263454599819E-9
139.000000000000030E+0	670.460500322196700E-12
140.000000000000030E+0	307.699309730179430E-12
141.000000000000030E+0	420.884933662451800E-12
142.000000000000030E+0	451.052858313693920E-12
143.000000000000030E+0	49.764832119306304E-12
144.000000000000030E+0	12.125122256266859E-12
145.000000000000030E+0	37.164547183324813E-12
146.000000000000030E+0	311.824216111274370E-12
147.000000000000030E+0	687.506612188127770E-12
148.000000000000030E+0	424.613056136671380E-12
149.000000000000030E+0	1.054713822325200E-9
150.000000000000030E+0	5.703190567352245E-9
151.000000000000030E+0	994.718965182127690E-12
152.000000000000030E+0	214.356295668334080E-12
153.000000000000030E+0	23.049269673719553E-12
154.000000000000030E+0	82.162284989564235E-12
155.000000000000030E+0	89.030111956154854E-12
156.000000000000030E+0	357.867679755036180E-12
157.000000000000030E+0	530.448147528975130E-12
158.000000000000030E+0	209.502110332468640E-12
159.000000000000030E+0	80.998459025479877E-12
160.000000000000030E+0	63.659114880818153E-12
161.000000000000030E+0	212.874763076300950E-12
162.000000000000030E+0	687.568658720045910E-12
163.000000000000030E+0	6.329837338600196E-12
164.000000000000030E+0	81.240568660537853E-12
165.000000000000030E+0	24.165807585103998E-12
166.000000000000030E+0	3.976993664630987E-12
167.000000000000030E+0	19.527575692967713E-12
168.000000000000030E+0	250.736543662200040E-12
169.000000000000030E+0	263.744026480004320E-12
170.000000000000030E+0	125.859249938041190E-12
171.000000000000030E+0	97.801564619657229E-12
172.000000000000030E+0	57.712648180181810E-12
173.000000000000030E+0	84.720372450411644E-12
174.000000000000030E+0	412.667691856404100E-12
175.000000000000030E+0	972.556212586991510E-12
176.000000000000030E+0	577.648403744477440E-12
177.000000000000030E+0	150.118859316294980E-12
178.000000000000030E+0	353.950081666422860E-12
179.000000000000030E+0	39.956367087307608E-12
180.000000000000030E+0	72.649119967117772E-12
181.000000000000030E+0	13.596919603549930E-12
182.000000000000030E+0	65.426875206413241E-12
183.000000000000030E+0	214.007927097724970E-12
184.000000000000030E+0	139.916960706221440E-12
185.000000000000030E+0	168.324380957908300E-12
186.000000000000030E+0	606.970997849467850E-12
187.000000000000030E+0	336.238803927881300E-12
188.000000000000030E+0	152.622634919003520E-12
189.000000000000030E+0	101.151578029865860E-12
190.000000000000030E+0	77.875417422000953E-12
191.000000000000030E+0	5.716085657821881E-12
192.000000000000030E+0	62.417926014558541E-12
193.000000000000030E+0	259.877442936017260E-12
194.000000000000030E+0	133.052499658623120E-12
195.000000000000030E+0	13.121806918106576E-12
196.000000000000030E+0	78.687248353021081E-12
197.000000000000030E+0	284.249138207719770E-12
198.000000000000030E+0	508.160381147599430E-12
199.000000000000030E+0	1.312269151512465E-9
200.000000000000030E+0	2.028716872695215E-9
201.000000000000030E+0	199.559418340506410E-12
202.000000000000030E+0	62.833239600650061E-12
203.000000000000030E+0	72.638998991392996E-12
204.000000000000030E+0	27.086847193373029E-12
205.000000000000030E+0	334.653351428215120E-12
206.000000000000030E+0	1.021815966001169E-9
207.000000000000030E+0	1.943302159919580E-9
208.000000000000030E+0	1.049154260484084E-9
209.000000000000030E+0	330.085381235080940E-12
210.000000000000030E+0	225.258864744969140E-12
211.000000000000030E+0	20.830292809742267E-12
212.000000000000030E+0	10.551131464625455E-12
213.000000000000030E+0	2.393974918008130E-9
214.000000000000030E+0	6.287504340275823E-9
215.000000000000030E+0	1.983712071193291E-9
216.000000000000030E+0	147.266916562056850E-12
217.000000000000030E+0	138.608076197086460E-12
218.000000000000030E+0	179.422797319073000E-12
219.000000000000030E+0	243.277953610809870E-12
220.000000000000030E+0	95.048206903888595E-12
221.000000000000030E+0	12.304987894182286E-12
222.000000000000030E+0	322.548684283694800E-12
223.000000000000030E+0	512.780542389120830E-12
224.000000000000030E+0	14.133438109271576E-12
225.000000000000030E+0	35.837671900129996E-12
