Freq (Hz)	micro/hp_Mod	micro/hp_Phase(rad)
49.000000000000007E+0	425.965759438171830E-3	3.461075529946732E+0
50.000000000000007E+0	327.030665038288040E-3	1.369142641296478E+0
51.000000000000007E+0	274.159180465778360E-3	-988.411012127550890E-3
52.000000000000007E+0	137.760650777359880E-3	-1.576833133085029E+0
53.000000000000007E+0	87.218986340706559E-3	-4.081375986438509E+0
54.000000000000007E+0	99.825216307742423E-3	-1.390865558390374E+0
55.000000000000007E+0	73.238350304753813E-3	-4.486246455087768E+0
56.000000000000007E+0	28.831074774630927E-3	-2.004414510159254E+0
57.000000000000007E+0	24.979116324986613E-3	-1.057207479811519E+0
58.000000000000007E+0	50.991587943186527E-3	-3.741783724536908E+0
59.000000000000007E+0	39.950373649849505E-3	-5.835262618317898E+0
60.000000000000007E+0	23.419860066692597E-3	-8.063222509045445E+0
61.000000000000007E+0	21.953932276751218E-3	-10.681271840388318E+0
62.000000000000007E+0	20.792648576956025E-3	-13.683363285909342E+0
63.000000000000007E+0	43.827200422754863E-3	-16.664621660890017E+0
64.000000000000014E+0	36.674829873448014E-3	-19.101473139273239E+0
65.000000000000014E+0	1.232187233726674E-3	-16.254844526311743E+0
66.000000000000014E+0	15.717374968747401E-3	-14.642824050552287E+0
67.000000000000014E+0	12.202592494038005E-3	-16.131359122901095E+0
68.000000000000014E+0	18.503237495663936E-3	-18.011605442698904E+0
69.000000000000014E+0	10.787397491404125E-3	-20.863318385298633E+0
70.000000000000014E+0	14.946339380498058E-3	-18.651572728316591E+0
71.000000000000014E+0	11.042531619967441E-3	-21.168824294139462E+0
72.000000000000014E+0	6.215059361937530E-3	-21.111681419782791E+0
73.000000000000014E+0	3.206834243405930E-3	-22.148321819885862E+0
74.000000000000014E+0	11.720631285620627E-3	-22.907006991955136E+0
75.000000000000014E+0	6.411446623499157E-3	-25.323408790588633E+0
76.000000000000014E+0	8.650760623924380E-3	-24.801919345416763E+0
77.000000000000014E+0	18.802283550048354E-3	-27.499685450045050E+0
78.000000000000014E+0	11.385640323905650E-3	-29.934936708495176E+0
79.000000000000014E+0	2.234608399891124E-3	-29.671055962432188E+0
80.000000000000014E+0	9.388351740947053E-3	-32.492441151199898E+0
81.000000000000014E+0	14.504920213396751E-3	-35.501945092291834E+0
82.000000000000014E+0	13.937537019648309E-3	-38.306890801046833E+0
83.000000000000014E+0	15.296885783192538E-3	-40.249435993843186E+0
84.000000000000014E+0	20.854825326228212E-3	-42.103501019276550E+0
85.000000000000014E+0	12.306247395252549E-3	-44.183949569128195E+0
86.000000000000014E+0	3.852396352877005E-3	-46.194893371922973E+0
87.000000000000014E+0	5.334071933766614E-3	-48.687630096146833E+0
88.000000000000014E+0	3.197924113498104E-3	-51.748522426663897E+0
89.000000000000014E+0	4.731336757430251E-3	-49.658508910683430E+0
90.000000000000014E+0	7.066876804374502E-3	-46.882046906418566E+0
91.000000000000014E+0	10.587803102346555E-3	-49.686050291466294E+0
