Freq (Hz)	mic1/mic2_Real	mic1/mic2_Imag	mic3/mic2_Real	mic3/mic2_Imag	mic4/mic2_Real	mic4/mic2_Imag
926.000000000000110E+0	1.384466675893612E+0	-38.700383001187236E-3	548.604013697177590E-3	72.792287513821857E-3	984.260230102575460E-3	-79.540865189100488E-3
927.000000000000110E+0	1.499898042323368E+0	-44.643913315516349E-3	653.607612672140180E-3	85.898338942467303E-3	1.070481448700451E+0	16.222427112465500E-3
928.000000000000110E+0	1.471290276130046E+0	-94.831332981125699E-3	651.594276165169520E-3	29.521085421578708E-3	1.084050180297033E+0	35.163058465551414E-3
929.000000000000110E+0	1.477563105062442E+0	-98.997124423780516E-3	663.561772821021130E-3	23.785021839798425E-3	1.094421714304946E+0	5.675593932054458E-3
930.000000000000110E+0	1.552621334985617E+0	-249.074669330932220E-3	767.002367932587910E-3	-61.148476069571120E-3	1.050536161032114E+0	-212.471169652813680E-3
931.000000000000110E+0	1.484610101161161E+0	-180.163789593470650E-3	660.995175638661500E-3	49.774737757795534E-3	1.033411890539927E+0	-75.461002935405475E-3
932.000000000000110E+0	1.447104802627924E+0	51.793537285531169E-3	494.114261236478560E-3	188.392205750625680E-3	1.105835432850005E+0	93.911001603154853E-3
933.000000000000110E+0	1.437417369524951E+0	49.022560523409850E-3	562.943623423929560E-3	145.462547344415020E-3	1.069005496549611E+0	42.032286981796597E-3
934.000000000000110E+0	1.457641009997768E+0	-82.992350277693194E-3	622.226421865729630E-3	103.173264184294030E-3	1.011213208894320E+0	-97.229607635722873E-3
935.000000000000110E+0	1.539014151091887E+0	-80.847910242904761E-3	569.702219085754800E-3	39.283964085982462E-3	1.006310397695894E+0	20.953478675446401E-3
936.000000000000110E+0	1.501896280000272E+0	-91.193446752638574E-3	561.294472091087070E-3	59.363784674419037E-3	1.018032367446837E+0	16.440713152155364E-3
937.000000000000110E+0	1.467489241071359E+0	-163.823703164796360E-3	564.684370661695520E-3	39.273794284511054E-3	1.009688247085606E+0	9.458844872210373E-3
938.000000000000110E+0	1.482213994762782E+0	-218.207864947706030E-3	539.445695538818050E-3	-19.571429894873652E-3	1.000225165481058E+0	-25.998194982247501E-3
939.000000000000110E+0	1.504747037280500E+0	-94.083975162529032E-3	550.288932004740160E-3	43.638962404720705E-3	1.130547064525877E+0	-12.198077961831675E-3
940.000000000000110E+0	1.582376558066108E+0	-52.297859605976264E-3	582.529559531822620E-3	46.066532926689843E-3	1.184951416921030E+0	27.656427418314797E-3
941.000000000000110E+0	1.624199579251980E+0	-31.757210815988236E-3	627.177196083320340E-3	61.964890509308403E-3	1.233928008655147E+0	-21.306635377743802E-3
942.000000000000110E+0	1.570088783317672E+0	-24.880105467160213E-3	638.065656481194070E-3	121.155676487789650E-3	1.112024845534273E+0	18.550148024236334E-3
943.000000000000110E+0	1.461914364354502E+0	-106.524900569940130E-3	568.203333386722580E-3	39.227920563361787E-3	1.007829128361304E+0	-37.504927812221867E-3
944.000000000000110E+0	1.537851794546487E+0	-56.301450624090088E-3	548.446674916537760E-3	46.762662519719993E-3	999.661946388387570E-3	-9.863442509508243E-3
945.000000000000110E+0	1.617328046933064E+0	-200.324144237172070E-3	776.926715515337760E-3	-138.006513613695730E-3	1.055628747451657E+0	-48.117857988559325E-3
946.000000000000110E+0	1.578651395335618E+0	-381.311022298994000E-3	594.508605812682280E-3	-64.411615632873828E-3	1.023561769186806E+0	-21.899543286730092E-3
947.000000000000110E+0	1.738138541767058E+0	-219.834892509699010E-3	580.017181792225610E-3	97.653017627552574E-3	1.128466583627851E+0	-7.704122554770245E-3
948.000000000000110E+0	1.707790717557815E+0	-222.909668761585360E-3	614.134457231932160E-3	78.080010849329098E-3	1.153906714634430E+0	-154.858464334661020E-3
949.000000000000110E+0	1.641773137135216E+0	-271.798534541142280E-3	516.532560550290060E-3	-15.854718579436270E-3	1.081161478680865E+0	-158.071248061639770E-3
950.000000000000110E+0	1.577003916188791E+0	-263.664622724245840E-3	491.548607609409490E-3	-18.610523907410116E-3	1.039563708048983E+0	-143.251599492843630E-3
951.000000000000110E+0	1.625139981279596E+0	-148.357391343610590E-3	557.700920302430680E-3	-81.582711138882352E-3	1.159861648100176E+0	-154.559996284124700E-3
952.000000000000110E+0	1.714956673330463E+0	313.527465148583650E-3	638.689374837843490E-3	105.871014196255190E-3	1.177785163488115E+0	111.890741360059870E-3
953.000000000000110E+0	1.574011007062184E+0	-162.289912952477330E-3	501.153464192716890E-3	-40.163187501142936E-3	1.158488323412441E+0	-258.067068097933780E-3
954.000000000000110E+0	1.531409123894264E+0	-197.369916106486490E-3	475.856381742208230E-3	28.675299204339900E-3	912.225723529817010E-3	-223.912263337174040E-3
955.000000000000110E+0	1.607933067415830E+0	-341.174880908576450E-3	535.101881041574860E-3	39.875912623940711E-3	988.345735455451230E-3	-204.052156722338920E-3
956.000000000000110E+0	1.632854940446818E+0	72.211655756361418E-3	522.607085120633810E-3	24.060744455920706E-3	1.018431416013651E+0	106.068678557688800E-3
957.000000000000110E+0	1.705980212647780E+0	-163.698893536989600E-3	538.932882710680290E-3	-53.436962657144108E-3	1.164532495527314E+0	-7.544231986310267E-3
958.000000000000110E+0	1.676876025833534E+0	-255.697464014572270E-3	551.638754852384340E-3	14.673777385103507E-3	1.201856831958085E+0	-129.672463951258450E-3
959.000000000000110E+0	1.736148641674507E+0	-233.336453618323360E-3	555.879319306531010E-3	-43.286225115622724E-3	1.214193826344320E+0	-217.786602365213770E-3
960.000000000000110E+0	1.643150504916441E+0	-206.818222692009420E-3	530.787632603766160E-3	-21.318434732227783E-3	1.066207763784147E+0	-202.915553563067590E-3
961.000000000000110E+0	1.602102762802927E+0	-181.295584357931030E-3	508.472232874366710E-3	-10.859037061938148E-3	1.054995670223068E+0	-166.318604195752010E-3
962.000000000000110E+0	1.540266062019466E+0	-115.360538273850940E-3	496.532860733553460E-3	-13.241247519548360E-3	1.030925770517127E+0	-126.803028505928450E-3
963.000000000000110E+0	1.554146128578820E+0	-151.272697487563530E-3	552.170253404336230E-3	24.599998510880391E-3	964.452140664530000E-3	-115.683701475562670E-3
964.000000000000110E+0	1.633799908278550E+0	-253.666726325936900E-3	513.130627792584230E-3	-6.984921958734076E-3	1.008574772081071E+0	-208.570645506342440E-3
965.000000000000110E+0	1.731042150210728E+0	-151.413771532846600E-3	498.298094601517750E-3	-21.555344232303035E-3	1.089783262465683E+0	-197.231102681002610E-3
966.000000000000110E+0	1.704221023651669E+0	-176.671136439687210E-3	467.454221091684550E-3	-38.766076914863418E-3	1.057493335003112E+0	-227.163251180464650E-3
967.000000000000110E+0	1.717875419572707E+0	-150.305845565841370E-3	527.789388453775760E-3	-65.341597878552427E-3	1.035512043566423E+0	-247.466093630934970E-3
968.000000000000110E+0	1.661115336379745E+0	-137.209036237946890E-3	502.981789106995980E-3	-107.937070797397160E-3	1.009797076865278E+0	-208.594680423452310E-3
969.000000000000110E+0	1.654133897380186E+0	-205.536835702658850E-3	505.390039522718100E-3	-127.639843117286130E-3	1.037136594950690E+0	-274.499397374736940E-3
970.000000000000110E+0	1.691757517671609E+0	-182.818776060163500E-3	502.908674812829530E-3	-125.542257287594220E-3	1.085241523930757E+0	-308.163007296218820E-3
971.000000000000110E+0	1.707586875285933E+0	-205.060913984171980E-3	561.623076570088250E-3	-83.544965890588171E-3	1.051819309738603E+0	-273.722715079949660E-3
972.000000000000110E+0	1.693091263537980E+0	-163.450161033892430E-3	555.179169178190550E-3	-109.528108988593210E-3	1.077816978344702E+0	-314.659115811435020E-3
973.000000000000110E+0	1.622747214587630E+0	-116.842853957429410E-3	575.672817118640270E-3	-191.575488470679040E-3	1.034285173139729E+0	-297.668153395158170E-3
974.000000000000110E+0	1.663624266505725E+0	8.987766669386440E-3	510.577704782312350E-3	-207.972355791927990E-3	1.049766251891912E+0	-304.714317529191540E-3
975.000000000000110E+0	1.669991821948248E+0	-56.235464963199859E-3	513.003924859570800E-3	-273.962941256817860E-3	1.064150707081309E+0	-383.387301574086680E-3
976.000000000000110E+0	1.738868512611524E+0	28.995228204956834E-3	545.309017196195400E-3	-333.105503309393810E-3	1.059605223981151E+0	-327.378780645125270E-3
977.000000000000110E+0	1.750487910574394E+0	133.332849205017150E-3	533.513162889041490E-3	-322.956475607614980E-3	1.083072178537056E+0	-317.080499485145110E-3
978.000000000000110E+0	1.780078807717967E+0	79.156693868582567E-3	589.647088089329970E-3	-444.342766056243010E-3	1.081370810510201E+0	-408.548289500020370E-3
979.000000000000110E+0	1.854473628048909E+0	19.865623747453830E-3	543.122557007437390E-3	-535.658962886190750E-3	1.067874602314268E+0	-463.687693211076890E-3
980.000000000000110E+0	1.722634937653551E+0	24.008168937871600E-3	524.645097923823630E-3	-579.686018166150170E-3	1.035243914537660E+0	-505.694246059952280E-3
981.000000000000110E+0	1.819828506876715E+0	220.614912347310090E-3	550.054505792129220E-3	-638.578536321752100E-3	1.069581407325892E+0	-427.757625203421200E-3
982.000000000000110E+0	1.804083431384284E+0	254.635926316241990E-3	494.762356231722320E-3	-691.804473801121200E-3	1.046234088553939E+0	-463.108770704894980E-3
983.000000000000110E+0	1.898760614242635E+0	318.130897306864610E-3	476.305935166598190E-3	-792.647069139350240E-3	1.043422007505970E+0	-563.724757482248820E-3
984.000000000000110E+0	1.885022837152233E+0	202.378104665075530E-3	429.572256176403320E-3	-849.719502970377460E-3	985.568680706701120E-3	-591.380613735888680E-3
985.000000000000110E+0	1.805437733151586E+0	219.032240436502160E-3	468.987632240396910E-3	-904.762775524437180E-3	932.012614411907410E-3	-785.950577207318090E-3
986.000000000000110E+0	2.194750612606787E+0	625.615604517968160E-3	39.835141557060756E-3	-1.339311232391112E+0	897.516133486281670E-3	-828.209937738043410E-3
987.000000000000110E+0	2.458433092936289E+0	495.706838633479640E-3	-147.670205928061130E-3	-1.597356813636756E+0	788.438639361829900E-3	-865.664077099640880E-3
988.000000000000110E+0	2.425803225667796E+0	766.040373961864530E-3	-124.557703106755070E-3	-1.558790295961253E+0	839.103417493018530E-3	-870.392503730609720E-3
989.000000000000110E+0	2.553693708022684E+0	647.019957829993770E-3	-496.228010016801560E-3	-1.494699559142388E+0	631.774939775202710E-3	-931.538391288728510E-3
990.000000000000110E+0	2.974707683673783E+0	569.703829476244760E-3	-788.786787658726450E-3	-1.615119651682008E+0	362.094843523144310E-3	-1.168265740122682E+0
991.000000000000110E+0	2.376431347707901E+0	841.564728062592300E-3	-966.803824593138850E-3	-1.448434096591502E+0	19.185552022685255E-3	-1.137365843953150E+0
992.000000000000110E+0	2.040687248655734E+0	-161.970366156712810E-3	-1.316160170374581E+0	-642.710029325062830E-3	-193.299995646864120E-3	-784.817419655526090E-3
993.000000000000110E+0	2.832732888213371E+0	88.097422257835151E-3	-1.467460853256825E+0	-827.651903318040730E-3	-128.123307202214570E-3	-813.848324076330790E-3
994.000000000000110E+0	3.252989502606910E+0	-146.865343465520940E-3	-1.818226116405997E+0	-566.396368446222210E-3	102.788038009127310E-3	-583.716942722431690E-3
995.000000000000110E+0	3.376373493278650E+0	-153.879497217647270E-3	-1.870881921504795E+0	-448.140242881119640E-3	83.992074637453132E-3	-534.448621903253370E-3
996.000000000000110E+0	3.000728589897906E+0	955.988802283136320E-3	-1.456122252836807E+0	-760.252272238410300E-3	654.254438571848510E-3	372.415937566458740E-3
997.000000000000110E+0	3.361540550006452E+0	559.669504165936640E-3	-1.643851192733347E+0	-554.262623928210910E-3	313.159693706675620E-3	-675.808642366561680E-3
998.000000000000110E+0	3.286732692687974E+0	-185.866294495107550E-3	-1.825401701410936E+0	-275.926242675942620E-3	40.464350687423441E-3	-566.215035961691430E-3
999.000000000000110E+0	3.379184642858930E+0	-505.358783792538400E-3	-2.121324798985941E+0	-32.012951972394593E-3	442.055124765413140E-3	-1.037953915271682E+0
1.000000000000000E+3	3.460972076058218E+0	-1.429748337546374E+0	-1.954616297924754E+0	1.004236483516996E+0	367.069850036793490E-3	1.380604402064251E+0
1.001000000000000E+3	3.063214217056425E+0	-516.923878183879410E-3	-1.762570122370953E+0	377.515110269841910E-3	-512.292626149290940E-3	492.098939937320960E-3
1.002000000000000E+3	2.365520991173870E+0	-122.604840849558620E-3	-1.229268514421204E+0	107.886771973943520E-3	750.387644283479930E-3	191.233876952299760E-3
1.003000000000000E+3	2.853988558755514E+0	-602.923424902058080E-3	-1.522796537788847E+0	451.584236755276040E-3	507.908137097421440E-3	128.671098710699730E-3
1.004000000000000E+3	3.733286461108404E+0	-1.256036725621781E+0	-1.899190336577881E+0	866.343468391020170E-3	549.168845328822600E-3	4.222697528718137E-3
1.005000000000000E+3	3.835725115193912E+0	-854.314703546334650E-3	-1.782374325560436E+0	728.578415014957680E-3	205.690681643900530E-3	273.829549274223980E-3
1.006000000000000E+3	3.702814780660960E+0	-847.696168054628220E-3	-1.698275527827719E+0	667.688474405210060E-3	208.136636137607940E-3	215.073726728081090E-3
1.007000000000000E+3	3.667568068844555E+0	-856.177170761775460E-3	-1.650414456767948E+0	643.271541192878660E-3	223.688004918307540E-3	196.760747563716560E-3
1.008000000000000E+3	3.843941605390023E+0	-709.391746714571720E-3	-1.671240603886418E+0	618.850587153029540E-3	185.679448627754600E-3	184.186442299575930E-3
1.009000000000000E+3	4.279616201534885E+0	-687.901092608852460E-3	-1.941174019105108E+0	713.649782151935640E-3	138.451904062486750E-3	397.359245555715280E-3
1.010000000000000E+3	4.019736259041645E+0	-753.079091825741950E-3	-1.933025251542630E+0	742.027052514977250E-3	280.345171696982200E-3	506.178558004176100E-3
1.011000000000000E+3	3.891387626571589E+0	-1.005254099241607E+0	-1.579088843255348E+0	726.646912250605400E-3	326.158683598425420E-3	206.931868594974120E-3
1.012000000000000E+3	3.945279409642479E+0	-1.090718327208384E+0	-1.652868184535401E+0	849.655055832896800E-3	316.822920782963700E-3	231.364736203473280E-3
1.013000000000000E+3	4.337116324303124E+0	-1.275093832339798E+0	-1.909016196396111E+0	880.009204461358880E-3	434.906193190362830E-3	233.956429581699130E-3
1.014000000000000E+3	4.276304449316857E+0	-971.731608717131050E-3	-1.867937540154950E+0	806.039204695643380E-3	252.905062975028070E-3	239.693756923401000E-3
1.015000000000000E+3	4.295400791834140E+0	-925.005719951889960E-3	-1.861993893751270E+0	803.933775275004760E-3	243.249434743430030E-3	258.409351408135810E-3
1.016000000000000E+3	4.531576233592124E+0	-643.878318803000170E-3	-2.011689528730169E+0	671.254775417263970E-3	298.111407387258610E-3	224.458909012105800E-3
1.017000000000000E+3	3.834056930068634E+0	-1.009717431728517E+0	-1.776431991466575E+0	516.755640496358250E-3	422.595664924024620E-3	145.430314261028540E-3
1.018000000000000E+3	3.728757682853185E+0	-643.533544274840000E-3	-1.842938674017767E+0	350.164717083677190E-3	-54.562305202497649E-3	746.632538410217820E-3
1.019000000000000E+3	4.058285510691913E+0	-1.095521856459114E+0	-1.761649035616215E+0	721.747449383670190E-3	58.196690359735542E-3	418.658663522802570E-3
1.020000000000000E+3	4.297902597226582E+0	-1.669068472398737E+0	-1.897354518281221E+0	1.045690144686146E+0	143.914016085017280E-3	347.891171958552740E-3
1.021000000000000E+3	4.375379678964346E+0	-1.423414655418048E+0	-1.960891168323048E+0	970.720249842940590E-3	173.509473023977820E-3	352.103509872084050E-3
1.022000000000000E+3	4.586925046543157E+0	-1.467006646846801E+0	-2.089295935812830E+0	1.038991045858459E+0	343.725258876027560E-3	313.778472176159840E-3
1.023000000000000E+3	4.742917809930477E+0	-1.229022218487102E+0	-2.225767774311946E+0	987.278281720097680E-3	295.428941925173830E-3	320.150684893935280E-3
1.024000000000000E+3	4.356536715213515E+0	-1.198869874467813E+0	-2.111950343773828E+0	915.558355768267940E-3	239.740121561712570E-3	388.891455135498610E-3
1.025000000000000E+3	4.550537311014532E+0	-1.345175702981890E+0	-2.132195478945706E+0	1.023607216210833E+0	236.011403289889480E-3	320.436168553622220E-3
1.026000000000000E+3	4.739039083810336E+0	-1.507423839267638E+0	-2.238166121232851E+0	1.039114414443619E+0	214.499079371739150E-3	279.266761141108040E-3
1.027000000000000E+3	4.685109049570766E+0	-1.465367710849274E+0	-2.215756804554292E+0	1.026241519444568E+0	165.700909075480600E-3	318.098165932137580E-3
1.028000000000000E+3	4.592284407167607E+0	-1.784092092211350E+0	-2.122950953669453E+0	1.128508477743928E+0	132.313085568602990E-3	345.379687136515460E-3
1.029000000000000E+3	5.021702412300682E+0	-1.576971178165283E+0	-2.387489371687109E+0	1.070380411662679E+0	142.683121545017190E-3	263.535045998527840E-3
1.030000000000000E+3	5.140611708598287E+0	-1.764984154474922E+0	-2.483761457552526E+0	1.235210120711259E+0	124.674714480064540E-3	297.765966014552240E-3
1.031000000000000E+3	5.099903317778744E+0	-1.578425625280015E+0	-2.465249932028700E+0	1.113916881188553E+0	57.205928175228675E-3	326.615335567198240E-3
1.032000000000000E+3	5.075599482039204E+0	-1.501311283796884E+0	-2.451130191653687E+0	1.062673295552682E+0	-23.598782496252774E-3	374.741299418447080E-3
1.033000000000000E+3	5.349273659587010E+0	-1.825227247525826E+0	-2.644941653956154E+0	1.260361408483160E+0	-18.377409050249427E-3	367.443960975317670E-3
1.034000000000000E+3	5.419396914388794E+0	-1.871481579183297E+0	-2.721855523108506E+0	1.267393031978643E+0	-29.182366620209801E-3	367.352504671198120E-3
1.035000000000000E+3	5.191075181831440E+0	-1.818228264324928E+0	-2.676592378556181E+0	1.202282125779500E+0	-21.724292873044782E-3	410.222875318125290E-3
1.036000000000000E+3	5.000986996015591E+0	-2.176895862690091E+0	-2.589588430070119E+0	1.293295488141341E+0	-189.281551623855100E-3	518.161085015006570E-3
1.037000000000000E+3	4.853823225702843E+0	-1.434262880062246E+0	-2.515931822552441E+0	986.025167017001160E-3	-245.830764051319760E-3	349.923753355081470E-3
1.038000000000000E+3	4.748582720514243E+0	-1.791013622852004E+0	-2.330291075554017E+0	1.086537132631531E+0	-78.116254063269511E-3	450.980625064742510E-3
1.039000000000000E+3	5.931135498829546E+0	-1.046761733894508E+0	-3.101140008738992E+0	706.547175435722100E-3	-214.140910540277450E-3	354.722988599958430E-3
1.040000000000000E+3	5.786241194507276E+0	-1.273293474687065E+0	-3.143002979696305E+0	883.910895415051080E-3	-251.693105246475870E-3	409.462547980400050E-3
1.041000000000000E+3	5.829469382412070E+0	-1.714257501823984E+0	-3.187234338824484E+0	1.170597556534875E+0	-310.347990004668340E-3	434.501940333538280E-3
1.042000000000000E+3	6.024205321747975E+0	-1.801455004119936E+0	-3.247619495803427E+0	1.232092184378376E+0	-343.483473162448930E-3	416.703657971569940E-3
1.043000000000000E+3	6.080961160330967E+0	-1.525003587851945E+0	-3.293507362752006E+0	1.064614334864008E+0	-375.835104559153140E-3	429.192333299386720E-3
1.044000000000000E+3	5.696417382793274E+0	-1.685133230080017E+0	-3.136313468826250E+0	1.163113780159007E+0	-407.315430044106310E-3	490.800102636788470E-3
1.045000000000000E+3	5.710841722657401E+0	-1.580917603825873E+0	-3.147596800953463E+0	1.086946502526431E+0	-448.997918095075670E-3	475.302624055236880E-3
1.046000000000000E+3	6.347255250350152E+0	-1.867823842888976E+0	-3.578806342246723E+0	1.262293852309797E+0	-494.845723600177030E-3	394.147897108847730E-3
1.047000000000000E+3	6.169449727314086E+0	-1.835722637999353E+0	-3.531160131811065E+0	1.237429037874027E+0	-516.091997108581780E-3	428.633944690630260E-3
1.048000000000000E+3	6.046633778867914E+0	-1.835357067494641E+0	-3.479764685261269E+0	1.228498178633615E+0	-548.053632617827250E-3	435.663654267185900E-3
1.049000000000000E+3	5.974243106186947E+0	-1.753371515775194E+0	-3.527433778090348E+0	1.209651611056760E+0	-630.547817595923490E-3	497.959099234608070E-3
1.050000000000000E+3	6.208384206586407E+0	-1.632361942419922E+0	-3.609777164742264E+0	1.106810528880559E+0	-651.498438862814330E-3	565.661923596698200E-3
1.051000000000000E+3	6.600837224789295E+0	-1.112242415547050E+0	-3.918772751058272E+0	778.297735009332860E-3	-818.327647987340030E-3	506.615594413601380E-3
1.052000000000000E+3	6.297960039908627E+0	-1.451676162372736E+0	-3.756411805568062E+0	977.054679427159180E-3	-754.014362053090250E-3	477.958331767274370E-3
1.053000000000000E+3	6.288351001050299E+0	-1.437111283396834E+0	-3.754927315856959E+0	962.279020276905820E-3	-774.208443429601040E-3	470.403314045240440E-3
1.054000000000000E+3	6.349135777718062E+0	-1.419815489008939E+0	-3.822474825860136E+0	952.745113285802030E-3	-825.694893604501770E-3	468.464980184186420E-3
1.055000000000000E+3	6.400353815150006E+0	-1.389449234090933E+0	-3.896831663511610E+0	915.079952072625490E-3	-877.527381251248740E-3	482.645330700907760E-3
1.056000000000000E+3	6.326528691636883E+0	-1.173653667697342E+0	-3.881647652812614E+0	785.279452439588300E-3	-927.533560952752410E-3	459.475254906785310E-3
1.057000000000000E+3	6.107650478828745E+0	-1.099447367828455E+0	-3.762937495462065E+0	718.758901885569350E-3	-927.758217767976960E-3	428.982258752615970E-3
1.058000000000000E+3	5.990339501220400E+0	-1.042106391748805E+0	-3.693080050951801E+0	679.010364987569280E-3	-953.929241589357210E-3	427.122852274711860E-3
1.059000000000000E+3	5.863992706475159E+0	-799.808081477276780E-3	-3.669749776312520E+0	522.415805583784750E-3	-1.045059847174449E+0	370.367614746013320E-3
1.060000000000000E+3	5.848208411468414E+0	-770.899274172526350E-3	-3.669047204467706E+0	496.572269522448260E-3	-1.089638744557239E+0	392.305923956732310E-3
1.061000000000000E+3	5.831334334464955E+0	-764.471255709552990E-3	-3.661189033886072E+0	490.163308000818860E-3	-1.096327016295493E+0	395.837622737092780E-3
1.062000000000000E+3	5.705562119932599E+0	-690.788961586364600E-3	-3.608528411182500E+0	432.041149246373660E-3	-1.128574105024113E+0	375.585868862148620E-3
1.063000000000000E+3	5.431324004881683E+0	-579.750445431989950E-3	-3.465371518983248E+0	367.614092708759170E-3	-1.186760901643777E+0	330.587290321951110E-3
1.064000000000000E+3	5.334464437145692E+0	-482.058501015561140E-3	-3.412893184669950E+0	298.508918642804600E-3	-1.200686288029372E+0	328.518649076600390E-3
1.065000000000000E+3	5.042090336055346E+0	-275.043507330591800E-3	-3.231447438425059E+0	147.870973749524020E-3	-1.215875026638318E+0	309.648209580326790E-3
1.066000000000000E+3	4.781054778214222E+0	-220.555511785386570E-3	-3.070440840925914E+0	112.063831557305830E-3	-1.235336474846113E+0	298.797268731284200E-3
1.067000000000000E+3	4.489058345038428E+0	-81.984079563274206E-3	-2.894497805092889E+0	12.957165060335779E-3	-1.260319089961578E+0	274.486128548783240E-3
1.068000000000000E+3	4.201329388634475E+0	140.869762533979150E-3	-2.728816929765410E+0	-141.395798011482050E-3	-1.287931468782439E+0	229.012300147509980E-3
1.069000000000000E+3	3.925461435590901E+0	257.425319784280240E-3	-2.558695075833310E+0	-222.778608682398790E-3	-1.305642762979227E+0	193.258506195800710E-3
1.070000000000000E+3	3.557335509067547E+0	392.708859193761310E-3	-2.326158032644837E+0	-311.668213333240570E-3	-1.305229661483762E+0	159.223970022987990E-3
1.071000000000000E+3	3.310360965883180E+0	424.196465313954880E-3	-2.170942418625176E+0	-333.884744298964700E-3	-1.304454956474438E+0	145.630207604880070E-3
1.072000000000000E+3	2.986158057475975E+0	513.593537253689950E-3	-1.958364145979179E+0	-392.655674953138080E-3	-1.299847184289808E+0	124.029268057981770E-3
