Freq (Hz)	mic1/mic2_Mod	mic1/mic2_Phase(rad)	mic3/mic2_Mod	mic3/mic2_Phase(rad)	mic4/mic2_Mod	mic4/mic2_Phase(rad)
927.000000000000110E+0	1.500562300060079E+0	-29.755846875103135E-3	659.227908978411990E-3	130.672995147409650E-3	1.070604361635630E+0	15.153168190496587E-3
928.000000000000110E+0	1.474343263405711E+0	-64.365502075746317E-3	652.262673480308310E-3	45.274970551683211E-3	1.084620317937425E+0	32.425375413783306E-3
929.000000000000110E+0	1.480875808461311E+0	-66.900281899149858E-3	663.987916767538880E-3	35.829133200919142E-3	1.094436430821205E+0	5.185883082488544E-3
930.000000000000110E+0	1.572472957082198E+0	-159.066732635311100E-3	769.436006786677450E-3	-79.555708036481723E-3	1.071806989886578E+0	-199.558293632561220E-3
931.000000000000110E+0	1.495501970426797E+0	-120.763766371937210E-3	662.866613080220100E-3	75.160872331773987E-3	1.036163355110247E+0	-72.891853898482462E-3
932.000000000000110E+0	1.448031380976721E+0	35.775873474939920E-3	528.810482446081090E-3	364.258522328125940E-3	1.109815876967285E+0	84.719851282775746E-3
933.000000000000110E+0	1.438253074271806E+0	34.091397786268324E-3	581.433466385956500E-3	252.865314983503670E-3	1.069831512343042E+0	39.298812508071712E-3
934.000000000000110E+0	1.460001727475666E+0	-56.874665657589529E-3	630.722159520553880E-3	164.318021969298870E-3	1.015876838225651E+0	-95.856764422298762E-3
935.000000000000110E+0	1.541136250255546E+0	-52.484028635631903E-3	571.055030855645350E-3	68.846279640237762E-3	1.006528521592643E+0	20.819074631607041E-3
936.000000000000110E+0	1.504662314477664E+0	-60.644416743495605E-3	564.424966962733590E-3	105.370568052750040E-3	1.018165113436108E+0	16.148095699847473E-3
937.000000000000110E+0	1.476605187035052E+0	-111.175055988813410E-3	566.048469114701520E-3	69.438175363226551E-3	1.009732551742847E+0	9.367810517910346E-3
938.000000000000110E+0	1.498189907386804E+0	-146.167588973980660E-3	539.800610692030560E-3	-36.264724409882286E-3	1.000562985425678E+0	-25.986491283943567E-3
939.000000000000110E+0	1.507685458106838E+0	-62.443492015700063E-3	552.016546605876850E-3	79.136294968529017E-3	1.130612868409891E+0	-10.789117087598365E-3
940.000000000000110E+0	1.583240549517511E+0	-33.038172795500004E-3	584.348195157839980E-3	78.915932345580808E-3	1.185274119535519E+0	23.335477547243626E-3
941.000000000000110E+0	1.624510016491471E+0	-19.550038805165523E-3	630.230817195387760E-3	98.480051255955173E-3	1.234111949239118E+0	-17.265608696830345E-3
942.000000000000110E+0	1.570285899811886E+0	-15.844978663483333E-3	649.466303918833860E-3	187.645776556643550E-3	1.112179556131673E+0	16.679868024954945E-3
943.000000000000110E+0	1.465790286209955E+0	-72.738163134186448E-3	569.555842585701580E-3	68.929152018346040E-3	1.008526733202301E+0	-37.196413780862497E-3
944.000000000000110E+0	1.538882060241209E+0	-36.594109359336824E-3	550.436646520686910E-3	85.058103409357683E-3	999.710605402962530E-3	-9.866457840323702E-3
945.000000000000110E+0	1.629687017240020E+0	-123.233528332299900E-3	789.088663637526720E-3	-175.797645572434800E-3	1.056724836797054E+0	-45.550648560912725E-3
946.000000000000110E+0	1.624049975746374E+0	-237.002731408239880E-3	597.987741190215580E-3	-107.923323090594340E-3	1.023796017445366E+0	-21.392165331936139E-3
947.000000000000110E+0	1.751985436680586E+0	-125.809201016958280E-3	588.180281058420680E-3	166.798012484866170E-3	1.128492881620905E+0	-6.826965881224226E-3
948.000000000000110E+0	1.722276939230168E+0	-129.791408597346220E-3	619.078040035172970E-3	126.459840547445330E-3	1.164251626605912E+0	-133.406524945876430E-3
949.000000000000110E+0	1.664119429968150E+0	-164.063768198398850E-3	516.775829746198730E-3	-30.684884961469424E-3	1.092655784063380E+0	-145.176436665051480E-3
950.000000000000110E+0	1.598893487681747E+0	-165.661116191094390E-3	491.900788007965610E-3	-37.842929074151030E-3	1.049387308790139E+0	-136.937320101984170E-3
951.000000000000110E+0	1.631897629852966E+0	-91.036661786968578E-3	563.636456648209050E-3	-145.253733523725280E-3	1.170114453882613E+0	-132.476796395941480E-3
952.000000000000110E+0	1.743380584612317E+0	180.822572883130560E-3	647.404656438072770E-3	164.269225312093150E-3	1.183088090268358E+0	94.716714361391119E-3
953.000000000000110E+0	1.582355417154766E+0	-102.742903453205340E-3	502.760257282347970E-3	-79.970578639325052E-3	1.186884074844562E+0	-219.183174854867600E-3
