Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
928.000000000000110E+0	115.005374201007410E-6	77.338323156275499E-6	46.278716346353688E-6	86.385167794555249E-6
929.000000000000110E+0	117.441750995452960E-6	78.616588363387274E-6	47.053532979531797E-6	88.061302907030658E-6
930.000000000000110E+0	119.418187562636650E-6	79.547187905529138E-6	47.635470580668081E-6	89.733688354838478E-6
931.000000000000110E+0	121.071516564710830E-6	79.960300164679977E-6	47.939886085715662E-6	91.344452952381669E-6
932.000000000000110E+0	121.403802102830220E-6	79.717327281569043E-6	47.852211789638116E-6	91.789961131895207E-6
933.000000000000110E+0	120.867679951891780E-6	79.237164405366464E-6	47.530062248699834E-6	91.376187781616890E-6
934.000000000000110E+0	120.094716786110320E-6	78.431695448495051E-6	46.946679792010017E-6	90.676919144524690E-6
935.000000000000110E+0	118.771438066304440E-6	77.329039642664129E-6	46.132242996851087E-6	89.745234537674494E-6
936.000000000000110E+0	116.754517493295820E-6	75.618320159652675E-6	45.173854599176211E-6	88.308010243088843E-6
937.000000000000110E+0	114.129681662130380E-6	73.674108881083375E-6	43.944907812353175E-6	86.452132612204331E-6
938.000000000000110E+0	111.254015368238450E-6	71.260445535609537E-6	42.567822378669504E-6	84.410838862109482E-6
939.000000000000110E+0	108.154471702524760E-6	68.837953492138792E-6	41.192518378709561E-6	82.203722175932281E-6
940.000000000000110E+0	104.719852221240850E-6	66.207401265517976E-6	39.750629864224055E-6	79.835167786398311E-6
941.000000000000110E+0	101.486625529501920E-6	63.805150489865852E-6	38.306344146773757E-6	77.381161215120880E-6
942.000000000000110E+0	98.670682954224778E-6	61.597939289777481E-6	37.011343469018772E-6	75.233445927794625E-6
943.000000000000110E+0	96.391643987540546E-6	59.816619913555335E-6	35.964754319010002E-6	73.628845581128155E-6
944.000000000000110E+0	94.933945489733605E-6	58.470890687773401E-6	35.277112415535344E-6	72.648905207909877E-6
945.000000000000110E+0	94.501177467249794E-6	57.817069906078782E-6	34.976949993312150E-6	72.393515096196202E-6
946.000000000000110E+0	95.212736854921381E-6	57.889241024055194E-6	35.143215620479607E-6	72.986967262172073E-6
947.000000000000110E+0	97.271208860888272E-6	58.666157807902370E-6	35.869346584576683E-6	74.641645411007102E-6
948.000000000000110E+0	100.661943614344110E-6	60.258086595727149E-6	37.053618888828802E-6	77.570976014251412E-6
949.000000000000110E+0	105.548306464529550E-6	62.826676221798078E-6	38.792872481558941E-6	81.538567638768324E-6
950.000000000000110E+0	112.241807880422210E-6	66.313478800056569E-6	41.110873122822528E-6	86.677884156905144E-6
951.000000000000110E+0	120.239438312875240E-6	70.560504865489315E-6	43.938366175017722E-6	92.850555529675667E-6
952.000000000000110E+0	129.143440651861480E-6	75.461375176124584E-6	47.235736750885578E-6	99.854160588112669E-6
953.000000000000110E+0	138.965687000110540E-6	80.974806936499826E-6	50.839297116678671E-6	107.567046513835490E-6
954.000000000000110E+0	149.078766536875100E-6	86.592089621878929E-6	54.586022826985780E-6	115.526329291890580E-6
955.000000000000110E+0	159.015650428067340E-6	92.057610542520529E-6	58.344077086631887E-6	123.328595962804630E-6
956.000000000000110E+0	168.380593593329290E-6	97.169039413777205E-6	62.035415316311369E-6	130.762444321211450E-6
957.000000000000110E+0	177.142003746288960E-6	101.855476722301610E-6	65.464612547260604E-6	137.973460525324200E-6
958.000000000000110E+0	184.618430210927750E-6	105.558519852156000E-6	68.253313115392770E-6	144.030839251501100E-6
959.000000000000110E+0	189.974108779467100E-6	108.025298606066100E-6	70.252128988554407E-6	148.330124138966720E-6
960.000000000000110E+0	193.448645426526770E-6	109.719805536885580E-6	71.561565769239619E-6	151.212104868750910E-6
961.000000000000110E+0	195.053963453507750E-6	110.593515082460890E-6	72.358708665909416E-6	152.298068087327370E-6
962.000000000000110E+0	195.167036548204180E-6	110.682035812648280E-6	72.676103086334194E-6	152.399670415716050E-6
963.000000000000110E+0	193.950460257496470E-6	110.162209084682720E-6	72.676314978743398E-6	151.792012362801140E-6
964.000000000000110E+0	192.340413872252890E-6	109.416511472159060E-6	72.674643454668985E-6	150.992582044720410E-6
965.000000000000110E+0	190.794459045040870E-6	108.470086005317870E-6	72.631093075676672E-6	150.038342675985040E-6
966.000000000000110E+0	190.348765791974720E-6	108.075521627825010E-6	72.896414061268997E-6	149.992942901541400E-6
967.000000000000110E+0	191.984119999658540E-6	108.511510631210610E-6	73.944962981251525E-6	151.739748715014650E-6
968.000000000000110E+0	196.726636962617210E-6	111.184547285123290E-6	76.309019848551517E-6	155.541658058179650E-6
969.000000000000110E+0	205.158434397799680E-6	116.107637980543530E-6	80.144893052199259E-6	161.906361466088610E-6
970.000000000000110E+0	217.630374229168670E-6	123.341852779264860E-6	85.734576533722743E-6	171.923831862299270E-6
971.000000000000110E+0	234.472454443065540E-6	132.999618985680600E-6	93.208164766396686E-6	185.266701386433160E-6
972.000000000000110E+0	254.493959545364180E-6	144.581761463148220E-6	102.273942616878240E-6	200.886070641511090E-6
973.000000000000110E+0	275.565787176684260E-6	157.110956394606410E-6	112.325504978475710E-6	217.768055654767460E-6
974.000000000000110E+0	295.904738591683630E-6	168.474180901346370E-6	122.591748955674380E-6	235.118047240229120E-6
975.000000000000110E+0	312.312174545166050E-6	177.330521294107390E-6	131.420154645061910E-6	249.605479043424790E-6
