Freq (Hz)	Coh_mic2/mic1	Coh_mic3/mic1	Coh_mic4/mic1
933.000000000000110E+0	999.991248579068180E-3	999.995606118741720E-3	999.993217034931940E-3
934.000000000000110E+0	999.993625758315410E-3	999.995261024364870E-3	999.987735224948550E-3
935.000000000000110E+0	999.995020887992190E-3	999.996621501612390E-3	999.990621390909110E-3
936.000000000000110E+0	999.993753404259110E-3	999.995546705894080E-3	999.993602600043000E-3
937.000000000000110E+0	999.990965472328460E-3	999.994206813865530E-3	999.992093858615200E-3
938.000000000000110E+0	999.993109642586140E-3	999.994313413114620E-3	999.991579618159210E-3
939.000000000000110E+0	999.990342640685200E-3	999.996586067659510E-3	999.992782412478690E-3
940.000000000000110E+0	999.992281141821810E-3	999.994624803522190E-3	999.990919472711130E-3
941.000000000000110E+0	999.990558281102500E-3	999.996125918938830E-3	999.991422566496650E-3
942.000000000000110E+0	999.988067120493370E-3	999.993319990234110E-3	999.992277175000170E-3
943.000000000000110E+0	999.991894424962610E-3	999.993895092379570E-3	999.985426970042110E-3
944.000000000000110E+0	999.993327107501880E-3	999.994936811666180E-3	999.989096004950670E-3
945.000000000000110E+0	999.989934929430560E-3	999.992058165712460E-3	999.988726267222350E-3
946.000000000000110E+0	999.988620568542870E-3	999.992201667263210E-3	999.984358580461970E-3
947.000000000000110E+0	999.993645605232410E-3	999.992865494974130E-3	999.988601114843560E-3
948.000000000000110E+0	999.991492033968860E-3	999.994584753431950E-3	999.992164156446210E-3
949.000000000000110E+0	999.990058094297200E-3	999.993208617276360E-3	999.988063558546300E-3
950.000000000000110E+0	999.992896449852790E-3	999.991732043745810E-3	999.993230335383010E-3
951.000000000000110E+0	999.996704394742860E-3	999.993313953875700E-3	999.993875117908600E-3
952.000000000000110E+0	999.995035933937790E-3	999.995208276410200E-3	999.991672526788110E-3
953.000000000000110E+0	999.993462344246020E-3	999.995085671570580E-3	999.995118287232420E-3
954.000000000000110E+0	999.994251842321160E-3	999.994945216067800E-3	999.995754112175340E-3
955.000000000000110E+0	999.995405917797120E-3	999.995583764890500E-3	999.996118720477110E-3
956.000000000000110E+0	999.995230556074310E-3	999.994560217002610E-3	999.995681320021920E-3
957.000000000000110E+0	999.994515658426560E-3	999.993439339097790E-3	999.996031181472400E-3
958.000000000000110E+0	999.997594697926820E-3	999.994419917615510E-3	999.996486378166400E-3
959.000000000000110E+0	999.997882527133730E-3	999.997425319432480E-3	999.996511025183050E-3
960.000000000000110E+0	999.995610771612030E-3	999.995652336082230E-3	999.996576118599490E-3
961.000000000000110E+0	999.993223756250770E-3	999.994483401985380E-3	999.996555923768680E-3
962.000000000000110E+0	999.994205568985110E-3	999.995416137432370E-3	999.996303216117770E-3
963.000000000000110E+0	999.993897568312580E-3	999.995388312883590E-3	999.996954888024980E-3
964.000000000000110E+0	999.995488233847980E-3	999.995481352594310E-3	999.993307017150060E-3
965.000000000000110E+0	999.997402577538550E-3	999.995838150651850E-3	999.992788596450470E-3
966.000000000000110E+0	999.994685977056650E-3	999.995956215027680E-3	999.994671224466390E-3
967.000000000000110E+0	999.990906594976690E-3	999.995443590559140E-3	999.994661248851500E-3
968.000000000000110E+0	999.994904034437250E-3	999.994497496488830E-3	999.993792935505830E-3
969.000000000000110E+0	999.995901633755510E-3	999.994120494686280E-3	999.994435739009040E-3
970.000000000000110E+0	999.993357964781280E-3	999.993364551449380E-3	999.996667976408180E-3
971.000000000000110E+0	999.993324380508140E-3	999.992581442319950E-3	999.996180155926620E-3
972.000000000000110E+0	999.994069006386430E-3	999.992469894820930E-3	999.993462309791910E-3
973.000000000000110E+0	999.994149188179080E-3	999.988649179821660E-3	999.993004732948160E-3
974.000000000000110E+0	999.995697895735170E-3	999.988547940007800E-3	999.992681049026610E-3
975.000000000000110E+0	999.992674542404370E-3	999.985333237932040E-3	999.992162058597870E-3
976.000000000000110E+0	999.991337406365370E-3	999.977744723890000E-3	999.991034265693250E-3
977.000000000000110E+0	999.989199930827580E-3	999.969573042115420E-3	999.991626779546450E-3
978.000000000000110E+0	999.986129434113690E-3	999.965901532561260E-3	999.991857270301820E-3
979.000000000000110E+0	999.987056982897910E-3	999.968758912012980E-3	999.990930493398380E-3
980.000000000000110E+0	999.989318914571210E-3	999.971975030206180E-3	999.990065349483980E-3
981.000000000000110E+0	999.985860483838530E-3	999.966849087407740E-3	999.987418912626320E-3
982.000000000000110E+0	999.982171987992660E-3	999.958720154072390E-3	999.987866665522080E-3
983.000000000000110E+0	999.975915450759140E-3	999.962318731680180E-3	999.985891524289290E-3
984.000000000000110E+0	999.974155851356960E-3	999.965669734880660E-3	999.979766249910580E-3
985.000000000000110E+0	999.981527916282480E-3	999.966525682378320E-3	999.974497840083630E-3
986.000000000000110E+0	999.982060006599280E-3	999.953759780775500E-3	999.964622638112140E-3
987.000000000000110E+0	999.976265147803240E-3	999.940132299855570E-3	999.955571164397700E-3
988.000000000000110E+0	999.972869919262490E-3	999.941042469466360E-3	999.955979781444900E-3
989.000000000000110E+0	999.971826862539710E-3	999.906849996977430E-3	999.934633598015820E-3
990.000000000000110E+0	999.953848656546350E-3	999.898948170268920E-3	999.929437582673270E-3
991.000000000000110E+0	999.946617982210630E-3	999.920260511079740E-3	999.942199525775790E-3
992.000000000000110E+0	999.937539585112890E-3	999.856392233723800E-3	999.917149489427000E-3
993.000000000000110E+0	999.956131149030920E-3	999.858545647546170E-3	999.915835023767240E-3
994.000000000000110E+0	999.951546959528260E-3	999.852258272598490E-3	999.861107535124470E-3
995.000000000000110E+0	999.937892949855020E-3	999.747890050557640E-3	999.759087776267210E-3
996.000000000000110E+0	999.926913052296420E-3	999.657189266076940E-3	999.635250775826820E-3
997.000000000000110E+0	999.936846587787140E-3	999.682720722013030E-3	999.449909478831170E-3
998.000000000000110E+0	999.957003920519560E-3	999.287108481555110E-3	999.286353005254810E-3
999.000000000000110E+0	999.951187293356190E-3	999.367893526758700E-3	999.455792612768620E-3
1.000000000000000E+3	999.942356608686020E-3	999.276073830711040E-3	999.743797433289000E-3
1.001000000000000E+3	999.936282352814400E-3	999.411351491328200E-3	999.816661489621230E-3
1.002000000000000E+3	999.950131612359790E-3	999.564078865788570E-3	999.754093436817090E-3
1.003000000000000E+3	999.972487206970850E-3	999.536495528469460E-3	999.861700487117530E-3
1.004000000000000E+3	999.964213356177690E-3	999.635943262849550E-3	999.868426421892770E-3
1.005000000000000E+3	999.964851100936140E-3	999.778950159327610E-3	999.893559924963870E-3
1.006000000000000E+3	999.980923915350430E-3	999.735387573633230E-3	999.876061865977770E-3
1.007000000000000E+3	999.989302120274590E-3	999.689719847702720E-3	999.881851930124470E-3
1.008000000000000E+3	999.976598934001480E-3	999.765236445579800E-3	999.906393307579020E-3
1.009000000000000E+3	999.969617157815630E-3	999.801093213411370E-3	999.942274794767270E-3
