Freq (Hz)	mic2/mic1_Real	mic2/mic1_Imag	mic3/mic1_Real	mic3/mic1_Imag	mic4/mic1_Real	mic4/mic1_Imag
927.000000000000110E+0	819.052049392120950E-3	50.595667377528984E-3	634.629491875565830E-3	28.282849116982318E-3	866.620143040445540E-3	11.503927105530222E-3
928.000000000000110E+0	818.589339875823160E-3	48.859229110529145E-3	633.748440670721780E-3	27.707924808052457E-3	866.595552025505530E-3	12.345805783877751E-3
929.000000000000110E+0	816.817091534060900E-3	47.106656995697979E-3	632.401977602827240E-3	26.869264113654048E-3	865.825081855230220E-3	13.286926396435561E-3
930.000000000000110E+0	814.884658669185360E-3	45.671440263876324E-3	631.044462444343980E-3	26.060789034611828E-3	866.713836525067060E-3	15.201764073301651E-3
931.000000000000110E+0	811.433440918747920E-3	44.881492551642838E-3	628.734005366432540E-3	25.630520870998284E-3	868.465014911114050E-3	15.343649164432581E-3
932.000000000000110E+0	809.005603853425790E-3	46.254842305781918E-3	627.271199125503220E-3	26.235135000264261E-3	869.399285637388330E-3	14.711717058235881E-3
933.000000000000110E+0	808.355081080706080E-3	46.168842518401969E-3	626.551753371940020E-3	25.949217356289821E-3	869.372670793590600E-3	13.892222192314041E-3
934.000000000000110E+0	806.852182034104910E-3	45.514135595241083E-3	624.728557459051090E-3	25.060133467072438E-3	868.816113717672420E-3	14.268547748105910E-3
935.000000000000110E+0	805.663525993938310E-3	44.504567232027815E-3	622.709555571449140E-3	25.391637680832805E-3	869.134875894251980E-3	14.747859976129202E-3
936.000000000000110E+0	803.575894501453060E-3	43.989909384383255E-3	621.494697912659320E-3	25.640985565396159E-3	869.557517034280520E-3	15.032798719024748E-3
937.000000000000110E+0	802.287972126761390E-3	43.171691311263645E-3	619.999565536177740E-3	25.380633858794615E-3	870.205934959389250E-3	15.230945128876860E-3
938.000000000000110E+0	799.201702109685110E-3	42.389286230493262E-3	618.030807340890660E-3	25.616840781500609E-3	870.911495460167990E-3	15.326309495283677E-3
939.000000000000110E+0	796.658285479033610E-3	42.587368149983616E-3	616.587305044735470E-3	26.221178614279375E-3	871.674389211645860E-3	15.563681628360894E-3
940.000000000000110E+0	793.990150796693220E-3	42.581275792743789E-3	615.554469028025800E-3	26.132311821282558E-3	873.009308237926110E-3	14.957806798047783E-3
941.000000000000110E+0	791.767579959139710E-3	42.533692182638347E-3	613.828778830746050E-3	25.814179244841435E-3	873.089881855678600E-3	13.802206812321105E-3
942.000000000000110E+0	788.967374791110120E-3	42.526564202026322E-3	611.910614048279950E-3	25.789520079151983E-3	873.087676494490260E-3	13.711801805451829E-3
943.000000000000110E+0	786.590982607729970E-3	42.810891248173853E-3	610.266818311597350E-3	26.174725335343738E-3	873.880483841133260E-3	13.557886157388187E-3
944.000000000000110E+0	783.627774250832410E-3	42.881476003184572E-3	609.026738944398400E-3	26.131046834878126E-3	874.698456711038520E-3	12.649879169523559E-3
945.000000000000110E+0	780.964523445245360E-3	43.676487123637614E-3	607.809361129576950E-3	26.260688821512897E-3	875.170251848606750E-3	11.680241550471548E-3
946.000000000000110E+0	778.517665838769800E-3	43.693962734034683E-3	606.967099755197030E-3	26.324552438642547E-3	875.471093707815620E-3	10.845685742939879E-3
