Freq (Hz)	Gxymic2/mic1_Real	Gxymic2/mic1_Imag	Gxymic3/mic1_Real	Gxymic3/mic1_Imag	Gxymic4/mic1_Real	Gxymic4/mic1_Imag
912.000000000000110E+0	41.169793065124631E-6	2.903318019708209E-6	31.920542038322937E-6	1.612735517462351E-6	42.857640420046001E-6	209.048184789120420E-9
913.000000000000110E+0	44.319235194990505E-6	3.056703712824234E-6	34.381393628281671E-6	1.705221423129939E-6	46.168661749634320E-6	266.356978096500990E-9
914.000000000000110E+0	47.633685951546937E-6	3.218211746700541E-6	36.949739728874483E-6	1.829040561654413E-6	49.650060949693034E-6	241.803183031221860E-9
915.000000000000110E+0	51.092170407246410E-6	3.416612469836785E-6	39.666413967433828E-6	1.930448875036080E-6	53.252179060692270E-6	299.578171755372200E-9
916.000000000000110E+0	54.659632784327595E-6	3.624903683560366E-6	42.414265297893697E-6	2.023247594326228E-6	56.971629571707023E-6	412.650728236002410E-9
917.000000000000110E+0	58.326816658240798E-6	3.731174206396692E-6	45.230620552423452E-6	2.083790358698965E-6	60.895360583073429E-6	505.987905981398700E-9
918.000000000000110E+0	62.109230316032831E-6	3.914415738794514E-6	48.192254507798166E-6	2.222454940397961E-6	65.061787082748931E-6	576.304570542739270E-9
919.000000000000110E+0	65.948557537414226E-6	4.168738644399645E-6	51.196499781449701E-6	2.342401369210831E-6	69.207876136118940E-6	603.683455714674680E-9
920.000000000000110E+0	69.549322639272444E-6	4.422593947494505E-6	53.966504032193767E-6	2.516175852103289E-6	73.016228595339686E-6	740.033264244579680E-9
921.000000000000110E+0	73.006248414894475E-6	4.611758331457594E-6	56.700553621074015E-6	2.595357705885185E-6	76.769345047871199E-6	871.921150759453370E-9
922.000000000000110E+0	76.637045942247055E-6	4.788633818508193E-6	59.472888390893594E-6	2.642199846937444E-6	80.695715663704919E-6	948.383743101910870E-9
923.000000000000110E+0	80.313151719723592E-6	4.993494549496412E-6	62.306809510362507E-6	2.735990664862477E-6	84.772900886795414E-6	1.095783587422596E-6
924.000000000000110E+0	83.792308267336557E-6	5.240136924807059E-6	64.933455162789576E-6	2.900775374328799E-6	88.634352882117684E-6	1.100933886216407E-6
925.000000000000110E+0	86.815461450208490E-6	5.455431924541376E-6	67.295122254286351E-6	3.071695536751550E-6	91.871855090448944E-6	1.130537358881822E-6
926.000000000000110E+0	89.529929923175372E-6	5.591696282609519E-6	69.410762251616401E-6	3.154574343126227E-6	94.762838347603467E-6	1.176865805831933E-6
927.000000000000110E+0	92.038072277727669E-6	5.685508869050486E-6	71.314240205819606E-6	3.178184943269078E-6	97.383095341524605E-6	1.292709428827014E-6
