Freq (Hz)	mic1(Pa^2 )	mic2(Pa^2 )	mic3(Pa^2 )	mic4(Pa^2 )
973.000000000000110E+0	1.891082970411356E-9	134.098423425033270E-12	865.391686379781420E-12	157.898139090232620E-12
974.000000000000110E+0	2.619127179556993E-9	255.833110639381330E-12	1.195246444696765E-9	268.921213913779990E-12
975.000000000000110E+0	3.683782795343909E-9	303.605910823798560E-12	756.342324143316760E-12	146.871295864727820E-12
976.000000000000110E+0	2.957216674803593E-9	430.084447731136120E-12	1.126770061359258E-9	562.604546457905600E-12
977.000000000000110E+0	4.043401864597887E-9	400.412072100404910E-12	1.255554042329351E-9	482.864525941331970E-12
978.000000000000110E+0	4.731155733571546E-9	606.053310683904400E-12	994.822655463257560E-12	375.368768806039040E-12
979.000000000000110E+0	4.384863300441917E-9	614.382368519935980E-12	728.820758472769240E-12	326.297440993328960E-12
980.000000000000110E+0	3.626250789999585E-9	248.677287074898000E-12	1.281711238355184E-9	434.680269618810670E-12
981.000000000000110E+0	2.813560758197509E-9	384.793181423597240E-12	1.191185654521396E-9	146.936285613013840E-12
982.000000000000110E+0	2.409026283645870E-9	299.503839866618670E-12	808.476052032797250E-12	186.629283671687340E-12
983.000000000000110E+0	2.212063515886294E-9	359.901615658238720E-12	1.676006661207448E-9	149.619579262527990E-12
984.000000000000110E+0	1.939132314688631E-9	440.124598427593240E-12	1.177066739325054E-9	292.857413912657770E-12
985.000000000000110E+0	1.884978770785466E-9	332.248370949188560E-12	776.776465209782460E-12	221.573088284177470E-12
986.000000000000110E+0	2.145597679406582E-9	340.094002141040120E-12	834.077287325074920E-12	152.460173838603280E-12
987.000000000000110E+0	1.852948068412712E-9	221.661766764900280E-12	574.419516254075060E-12	108.024130662902230E-12
988.000000000000110E+0	2.124272390775720E-9	287.153565050652550E-12	829.623779737816170E-12	165.771903369381230E-12
989.000000000000110E+0	1.246964220545513E-9	339.526382887058100E-12	712.393866202387990E-12	93.131322370189761E-12
990.000000000000110E+0	1.987232708955932E-9	236.681676727067990E-12	866.339420046628610E-12	221.360335363064630E-12
991.000000000000110E+0	1.858891109475404E-9	177.349637218568810E-12	924.831980555574960E-12	107.536511806827840E-12
992.000000000000110E+0	2.656866907337404E-9	373.249076048369940E-12	1.073456917827836E-9	146.728414499138100E-12
993.000000000000110E+0	3.573833048090740E-9	269.803872383807000E-12	1.618621302207517E-9	108.800523406902780E-12
994.000000000000110E+0	4.097260741129156E-9	155.795956586405430E-12	2.227823426316017E-9	106.486222000656930E-12
995.000000000000110E+0	6.200217918485799E-9	220.673026062864380E-12	2.177290510086729E-9	127.918036251132540E-12
996.000000000000110E+0	6.075342922051082E-9	309.233475227505430E-12	2.697772782840683E-9	275.297221114039660E-12
997.000000000000110E+0	7.740533612470611E-9	124.065146550989110E-12	2.956202569141727E-9	127.192679943077310E-12
