Freq (Hz)	mic2/mic1_Mod	mic2/mic1_Phase(rad)	mic3/mic1_Mod	mic3/mic1_Phase(rad)	mic4/mic1_Mod	mic4/mic1_Phase(rad)
923.000000000000110E+0	340.563026664779390E-3	38.209580294842084E+0	401.816620759709140E-3	8.708965350613356E+0	294.679375233382170E-3	729.441241284993990E-3
924.000000000000110E+0	351.677923029739710E-3	38.258530214973348E+0	414.735097547701940E-3	8.774210829500651E+0	275.475629319327670E-3	823.642470118196910E-3
925.000000000000110E+0	307.345241553415470E-3	38.308988329501538E+0	409.748163627441650E-3	8.797216009893427E+0	256.676718633717770E-3	743.450533167706480E-3
926.000000000000110E+0	329.149807910283360E-3	38.292115364719947E+0	426.328551614006230E-3	8.794844329906349E+0	283.961375741000720E-3	815.529262288924530E-3
927.000000000000110E+0	317.796167495412120E-3	38.241073574633212E+0	405.547440941442630E-3	8.799383949896038E+0	234.842669731748830E-3	776.624059007820280E-3
928.000000000000110E+0	346.459266570100680E-3	38.232920104257687E+0	428.625151968171140E-3	8.752874321246965E+0	273.270241811314760E-3	785.712835145359940E-3
929.000000000000110E+0	305.956543808842570E-3	38.385164460704942E+0	434.927248690218930E-3	8.880857306771311E+0	275.067862376891510E-3	823.430173582265000E-3
930.000000000000110E+0	303.362595861065730E-3	38.295985482403424E+0	393.103016694026420E-3	8.868640995140499E+0	233.283324150493710E-3	1.012560027456035E+0
931.000000000000110E+0	348.615014712011560E-3	38.090626963441352E+0	446.321370370664270E-3	8.670920126806514E+0	256.448785702952430E-3	713.600292449754870E-3
932.000000000000110E+0	340.454836926369460E-3	38.330145526431174E+0	415.678718676430860E-3	8.931675303693297E+0	316.835654374569230E-3	837.233283713790130E-3
933.000000000000110E+0	252.822253969148260E-3	38.204892985223282E+0	421.086976282427310E-3	8.885871499604407E+0	194.867121206129590E-3	722.707588744971760E-3
934.000000000000110E+0	350.897698061015120E-3	38.281510890044878E+0	426.146827529535090E-3	8.841019950212836E+0	276.691916078812050E-3	977.422502455807080E-3
935.000000000000110E+0	304.419223463593850E-3	38.211927230049355E+0	458.205223428426730E-3	8.867186130494936E+0	263.589166305690460E-3	861.108036270047730E-3
936.000000000000110E+0	314.472663266823220E-3	38.266931876924865E+0	410.293442699147030E-3	8.794666196953891E+0	279.918344802443540E-3	790.333719338779610E-3
937.000000000000110E+0	292.045688903859960E-3	38.256629983837271E+0	471.903037268610940E-3	8.948360390942153E+0	204.118202397701310E-3	976.809739655591480E-3
938.000000000000110E+0	335.747753900608180E-3	38.383277898682067E+0	445.762825021123020E-3	8.918346783976897E+0	253.609120856967520E-3	998.116351241185580E-3
939.000000000000110E+0	296.442441155216730E-3	38.043174368895045E+0	429.641000522441530E-3	8.917850135284787E+0	244.083333440041930E-3	930.347698578546270E-3
940.000000000000110E+0	293.830942504587360E-3	38.440968891930026E+0	418.660469955387910E-3	8.768312323424659E+0	239.620033593518440E-3	637.648913743631860E-3
941.000000000000110E+0	340.254491718570420E-3	38.186677467597192E+0	587.071168531243530E-3	8.972651714110880E+0	304.830484508554930E-3	1.002871471023935E+0
942.000000000000110E+0	305.401975158511470E-3	38.481059044315707E+0	393.629961854001730E-3	9.018044415058769E+0	213.740602410951890E-3	1.084694827143534E+0
943.000000000000110E+0	384.724194934004670E-3	38.036799555787539E+0	476.323760990236380E-3	8.845843048650833E+0	337.074929600176650E-3	615.404359563650250E-3
