Freq (Hz)	micro(Pa^2 )	hp(V^2 )
49.000000000000007E+0	975.510728156847850E-12	1.076500972584942E-9
50.000000000000007E+0	2.520930352500416E-9	2.690701276002759E-9
51.000000000000007E+0	296.749334266636680E-12	650.824154274863010E-12
52.000000000000007E+0	125.635598882214120E-12	1.992472332695745E-9
53.000000000000007E+0	75.129322379867393E-12	1.684647365529084E-9
54.000000000000007E+0	15.004043505589471E-12	2.483984912542938E-9
55.000000000000007E+0	28.326781405009642E-12	4.285326682958756E-9
56.000000000000007E+0	77.792576419062285E-12	5.456334517311463E-9
57.000000000000007E+0	42.687145232332393E-12	6.635850455869560E-9
58.000000000000007E+0	150.027729282946640E-12	8.982922847411482E-9
59.000000000000007E+0	58.518845864736325E-12	11.891713025326574E-9
60.000000000000007E+0	1.350106705853207E-12	15.607391728829365E-9
61.000000000000007E+0	24.701897609805492E-12	19.834067030343396E-9
62.000000000000007E+0	76.564664308785937E-12	29.918261971579802E-9
63.000000000000007E+0	108.456701052187650E-12	30.034065729630621E-9
64.000000000000014E+0	90.165010202499823E-12	43.166755954040542E-9
65.000000000000014E+0	40.056200044948993E-12	55.175196181216405E-9
66.000000000000014E+0	19.044295368132852E-12	60.801523092803041E-9
67.000000000000014E+0	53.099319964800432E-12	82.440282637112023E-9
68.000000000000014E+0	144.091284942411430E-12	91.887837614936205E-9
69.000000000000014E+0	125.632666206561690E-12	118.209856062140470E-9
70.000000000000014E+0	185.623815448121670E-12	138.034513074511750E-9
71.000000000000014E+0	95.775631891392494E-12	160.717209074925290E-9
72.000000000000014E+0	62.413870165023416E-12	176.016106575269570E-9
73.000000000000014E+0	189.361830076692630E-12	200.649006492267840E-9
74.000000000000014E+0	166.487777429661410E-12	234.135160748492120E-9
75.000000000000014E+0	221.580448407751240E-12	242.779635835245330E-9
76.000000000000014E+0	52.508995541265042E-12	283.688386532062250E-9
77.000000000000014E+0	81.563312343711277E-12	325.711911901682840E-9
78.000000000000014E+0	106.301718327910620E-12	328.817698331108320E-9
79.000000000000014E+0	118.004232820419770E-12	364.686866353473820E-9
80.000000000000014E+0	65.190778414196972E-12	431.799433817619460E-9
81.000000000000014E+0	25.895502137940859E-12	490.538390745785970E-9
82.000000000000014E+0	289.252222103205800E-15	545.508165033734020E-9
83.000000000000014E+0	66.042557806898888E-12	641.744170140059720E-9
84.000000000000014E+0	140.477288939519110E-12	750.596021896099690E-9
85.000000000000014E+0	28.045879259665247E-12	844.962705184180950E-9
86.000000000000014E+0	4.640332687136861E-12	933.261471723287490E-9
87.000000000000014E+0	94.338324102925627E-12	1.063896910903798E-6
88.000000000000014E+0	144.523387521638380E-12	1.126575973403578E-6
89.000000000000014E+0	56.530151438697836E-12	1.229378920587169E-6
90.000000000000014E+0	126.113994894154330E-12	1.199406965598947E-6
91.000000000000014E+0	364.624612935685540E-12	1.252134141989925E-6
92.000000000000014E+0	183.854016196130550E-12	1.398266838352446E-6
93.000000000000014E+0	45.441554764221323E-12	1.427791397981365E-6
94.000000000000014E+0	134.496190829937200E-12	1.555977954960351E-6
95.000000000000014E+0	78.661032273676716E-12	1.748234591586364E-6
96.000000000000014E+0	1.312219082222363E-12	1.990809431365679E-6
97.000000000000014E+0	36.221887372278569E-12	2.154290671353517E-6
98.000000000000014E+0	71.466892797506518E-12	2.382015853114440E-6
99.000000000000014E+0	465.756049792516560E-12	2.583019821923791E-6
100.000000000000010E+0	2.097058763163473E-9	2.530225300368213E-6
101.000000000000010E+0	908.927849979631010E-12	2.594540752672465E-6
102.000000000000010E+0	84.562107531452995E-12	2.717859140613294E-6
103.000000000000010E+0	50.609302609035408E-12	2.815503797214892E-6
104.000000000000010E+0	4.366215945262184E-12	3.064992766556004E-6
105.000000000000010E+0	43.685436940497838E-12	3.426160310618186E-6
106.000000000000010E+0	134.217293353463280E-12	3.912584688724919E-6
107.000000000000010E+0	84.374604922299271E-12	4.271022266676803E-6
108.000000000000010E+0	46.011916427329853E-12	4.523790006330438E-6
109.000000000000010E+0	25.934782531202628E-12	4.704299057246522E-6
110.000000000000010E+0	32.842819563889449E-12	4.774156927740737E-6
111.000000000000010E+0	16.618795219480859E-12	4.950752913444120E-6
112.000000000000010E+0	21.519672276725595E-12	5.385320098421056E-6
113.000000000000010E+0	20.641106592957618E-12	6.308264951995606E-6
114.000000000000010E+0	14.594628785342383E-12	7.233453754161193E-6
115.000000000000010E+0	816.658329411447090E-12	8.014081099826480E-6
116.000000000000010E+0	2.508547035796474E-9	8.569392954677221E-6
117.000000000000010E+0	868.107480773166600E-12	8.990766018962768E-6
118.000000000000010E+0	191.720711919607690E-12	9.591205980277279E-6
119.000000000000010E+0	147.232018379082740E-12	10.231094124793105E-6
120.000000000000010E+0	200.507013656676010E-12	11.676190454615062E-6
121.000000000000010E+0	139.620135122033010E-12	13.919910338787879E-6
122.000000000000010E+0	256.830810995773330E-12	15.697265075771536E-6
123.000000000000010E+0	243.749074333181250E-12	16.816046511846129E-6
124.000000000000010E+0	18.181455421210616E-12	18.011685518769406E-6
125.000000000000010E+0	57.466819277881635E-12	19.683902738244032E-6
126.000000000000010E+0	322.634881604173930E-12	21.909531874960575E-6
127.000000000000010E+0	305.968163353509530E-12	24.817658123681182E-6
128.000000000000030E+0	163.725723328496820E-12	28.432883784297944E-6
129.000000000000030E+0	164.497257759920940E-12	32.075116758710414E-6
130.000000000000030E+0	184.404375651684550E-12	34.667161683212370E-6
131.000000000000030E+0	42.767430572475599E-12	37.127443754033186E-6
132.000000000000030E+0	29.465806166868126E-12	41.071778507799608E-6
133.000000000000030E+0	66.060240344222990E-12	46.541693355727034E-6
134.000000000000030E+0	218.741563641492850E-12	52.456373977141227E-6
135.000000000000030E+0	83.721443765602065E-12	58.088321247888842E-6
136.000000000000030E+0	10.925616974080238E-12	63.051524784356802E-6
137.000000000000030E+0	556.178586811491240E-15	68.512528515689571E-6
138.000000000000030E+0	68.504360067076973E-12	75.706371485767938E-6
139.000000000000030E+0	241.746993200605290E-12	85.217950838285705E-6
140.000000000000030E+0	90.911279415101637E-12	94.809689469971790E-6
141.000000000000030E+0	97.080764608528604E-12	102.140067865529380E-6
142.000000000000030E+0	87.132572291288666E-12	108.332481612416190E-6
143.000000000000030E+0	19.069238205533313E-12	117.499467798028250E-6
144.000000000000030E+0	32.255330314292507E-12	131.104116145430460E-6
145.000000000000030E+0	5.670301141724892E-12	145.981165517880460E-6
146.000000000000030E+0	3.965250793799926E-12	158.749691401109940E-6
147.000000000000030E+0	81.660022366893096E-12	168.449630891706400E-6
148.000000000000030E+0	196.805103940478680E-12	178.275446104462060E-6
149.000000000000030E+0	437.453174938652980E-12	194.438262970692220E-6
150.000000000000030E+0	1.540464350535088E-9	214.105074901659090E-6
151.000000000000030E+0	502.800991036526090E-12	232.877587880913150E-6
152.000000000000030E+0	63.996466814550547E-12	247.305525216596740E-6
153.000000000000030E+0	38.084269356465053E-12	261.443631001849390E-6
154.000000000000030E+0	525.211963386654980E-15	281.327317181913000E-6
155.000000000000030E+0	1.975941810570773E-12	303.406811558512980E-6
156.000000000000030E+0	50.765143491395215E-12	323.843068207744390E-6
157.000000000000030E+0	85.131497721040608E-12	343.219603212448440E-6
158.000000000000030E+0	119.574155716198990E-12	365.142724398475720E-6
159.000000000000030E+0	79.613425359251768E-12	393.326399726771430E-6
160.000000000000030E+0	7.586093710674443E-12	420.907120828617390E-6
161.000000000000030E+0	135.888579293298780E-12	438.102061578927720E-6
162.000000000000030E+0	49.243285437626597E-12	454.341296110356700E-6
163.000000000000030E+0	127.814437593256410E-12	484.266838571300740E-6
164.000000000000030E+0	157.843072504823760E-12	521.513128889310610E-6
165.000000000000030E+0	8.461405023230363E-12	553.307499974553570E-6
166.000000000000030E+0	28.645890671940171E-12	575.840594644272510E-6
167.000000000000030E+0	15.089840824204156E-12	594.985439603662420E-6
168.000000000000030E+0	25.683133140789734E-12	622.637552935334230E-6
169.000000000000030E+0	37.220558517823304E-12	658.233231047390130E-6
170.000000000000030E+0	67.136289013082272E-12	688.083496568998410E-6
171.000000000000030E+0	18.860438630403335E-12	718.920891919088340E-6
172.000000000000030E+0	86.889634703584169E-12	755.215832263685540E-6
173.000000000000030E+0	79.877623626971139E-12	780.073161412771000E-6
174.000000000000030E+0	60.369117753505246E-12	798.229929083550240E-6
175.000000000000030E+0	71.208372663190850E-12	829.410173661628310E-6
176.000000000000030E+0	34.303912739386341E-12	873.991051545901840E-6
177.000000000000030E+0	39.100478848737286E-12	915.101988429402430E-6
178.000000000000030E+0	141.496915060187120E-12	936.663277006394070E-6
179.000000000000030E+0	446.664099321622510E-12	949.970383543056870E-6
180.000000000000030E+0	536.785444067107810E-12	983.228602374416240E-6
181.000000000000030E+0	518.361540249369820E-12	1.020563963683777E-3
182.000000000000030E+0	291.963311128749370E-12	1.049613559949411E-3
183.000000000000030E+0	139.877963913913790E-12	1.087820145686782E-3
184.000000000000030E+0	36.115268697952579E-12	1.118197475393390E-3
185.000000000000030E+0	14.843131473108868E-12	1.127203769936366E-3
186.000000000000030E+0	2.053970969521535E-12	1.141617697275260E-3
187.000000000000030E+0	8.388877276761845E-12	1.183452807514380E-3
188.000000000000030E+0	27.153137389376315E-12	1.234814284973671E-3
189.000000000000030E+0	68.855213091245393E-12	1.248463626008202E-3
190.000000000000030E+0	18.463822714449281E-12	1.241293368223536E-3
191.000000000000030E+0	4.569529756119272E-12	1.268354663767047E-3
192.000000000000030E+0	25.097909759196144E-12	1.302841334605872E-3
193.000000000000030E+0	20.323979209216792E-12	1.323345126287867E-3
194.000000000000030E+0	30.652303124820550E-12	1.348700345585026E-3
195.000000000000030E+0	31.070704082440453E-12	1.363900148631609E-3
196.000000000000030E+0	143.062869163267810E-12	1.359014645860140E-3
197.000000000000030E+0	119.471516840662210E-12	1.359978877537400E-3
198.000000000000030E+0	92.533597933476647E-12	1.402568538932270E-3
199.000000000000030E+0	59.354841313210882E-12	1.442324602341602E-3
200.000000000000030E+0	522.513616917506260E-12	1.423470553907414E-3
201.000000000000030E+0	276.744466871263700E-12	1.406201879441175E-3
202.000000000000030E+0	31.612017894458251E-12	1.420822402043661E-3
203.000000000000030E+0	36.742574826313734E-12	1.446950214362641E-3
204.000000000000030E+0	65.438596341568181E-12	1.467733589799033E-3
205.000000000000030E+0	79.842964377901764E-12	1.457260920833211E-3
206.000000000000030E+0	76.989802984006779E-12	1.433831816405035E-3
207.000000000000030E+0	102.389482499733920E-12	1.429338441249291E-3
208.000000000000030E+0	113.931146494657070E-12	1.456895815146535E-3
209.000000000000030E+0	187.808476118583030E-12	1.469771855146890E-3
210.000000000000030E+0	222.117572992712690E-12	1.445536614923953E-3
211.000000000000030E+0	80.484453238134307E-12	1.424418393047726E-3
212.000000000000030E+0	601.741858877600740E-12	1.404598050444428E-3
213.000000000000030E+0	369.959939826898880E-12	1.420180074892946E-3
214.000000000000030E+0	22.283033001135922E-12	1.444485674556022E-3
215.000000000000030E+0	214.002337485874290E-12	1.405033071913303E-3
216.000000000000030E+0	637.252826406127750E-12	1.350114585239426E-3
217.000000000000030E+0	100.519530253743250E-12	1.359180690954555E-3
218.000000000000030E+0	59.100534918192471E-12	1.386609672642923E-3
219.000000000000030E+0	124.093687636417920E-12	1.350633488178126E-3
220.000000000000030E+0	198.595925140394090E-12	1.312460776986495E-3
221.000000000000030E+0	358.648371818651110E-12	1.286361409364701E-3
222.000000000000030E+0	73.954043608690303E-12	1.273726307750103E-3
223.000000000000030E+0	6.441771490861180E-12	1.285017323319464E-3
224.000000000000030E+0	25.524009292208999E-12	1.263983369759634E-3
225.000000000000030E+0	18.667395256456874E-12	1.207620265641165E-3
226.000000000000030E+0	60.493818585858885E-12	1.174981090784186E-3
227.000000000000030E+0	6.330237205676429E-12	1.191684403456113E-3
228.000000000000030E+0	74.708737108844038E-12	1.185675412349977E-3
229.000000000000030E+0	65.882576779074435E-12	1.132417505839533E-3
230.000000000000030E+0	26.710942252017264E-12	1.074330924076755E-3
231.000000000000030E+0	41.822403280356139E-12	1.084520210833441E-3
232.000000000000030E+0	40.748335705616589E-12	1.088679866925855E-3
233.000000000000030E+0	13.097324256505918E-12	1.033501053840191E-3
234.000000000000030E+0	7.593864123437388E-12	992.097100751297220E-6
235.000000000000030E+0	41.389124954660296E-12	971.740331748414020E-6
236.000000000000030E+0	46.119143298874560E-12	960.899578725132900E-6
237.000000000000030E+0	22.225917721383371E-12	953.078972329712510E-6
238.000000000000030E+0	283.932467117702140E-12	902.266296965642270E-6
239.000000000000030E+0	152.160305526384820E-12	843.249711566434910E-6
240.000000000000030E+0	33.449076298844659E-12	857.382100508529630E-6
241.000000000000030E+0	145.607079631354680E-12	851.944369030958990E-6
242.000000000000030E+0	58.428330948799819E-12	792.457519747674360E-6
243.000000000000030E+0	10.101852071098263E-12	744.085614256942090E-6
244.000000000000030E+0	35.390167484273639E-12	750.334108731810080E-6
245.000000000000030E+0	24.244354691347683E-12	739.817624073448120E-6
246.000000000000030E+0	4.024336615994145E-12	691.974698923580290E-6
247.000000000000030E+0	11.973413567953950E-12	652.875330237189620E-6
248.000000000000030E+0	46.928801302744148E-12	636.649011086761050E-6
249.000000000000030E+0	323.558158750252920E-12	625.894787395558040E-6
250.000000000000030E+0	585.603974180308110E-12	611.081414097225990E-6
251.000000000000030E+0	309.264935434060580E-12	549.849367116637590E-6
252.000000000000030E+0	11.615643696191874E-12	529.582745822168250E-6
253.000000000000030E+0	29.132197510229522E-12	546.422416549546130E-6
254.000000000000030E+0	56.529491240285300E-12	508.176238915221420E-6
255.000000000000030E+0	5.392204387132761E-12	455.562563004733720E-6
256.000000000000060E+0	19.881768499491255E-12	453.505914830610780E-6
257.000000000000060E+0	24.330130720441154E-12	448.386763352896570E-6
258.000000000000060E+0	23.081069394862242E-12	415.986992878262330E-6
259.000000000000060E+0	114.965136534594270E-12	382.822103598534700E-6
260.000000000000060E+0	5.255788609457560E-12	368.022953427760590E-6
261.000000000000060E+0	104.377662226685940E-12	362.047829448332280E-6
262.000000000000060E+0	310.856755201155970E-12	351.374132928533900E-6
263.000000000000060E+0	109.980677410722160E-12	303.729503005588490E-6
264.000000000000060E+0	9.443857702151809E-12	294.642012309296990E-6
265.000000000000060E+0	11.492898808658681E-12	306.828215352663800E-6
266.000000000000060E+0	1.009029570590477E-12	267.555745622375090E-6
267.000000000000060E+0	4.989513493027914E-12	240.732304320169990E-6
268.000000000000060E+0	44.506145830308713E-12	244.597718959279800E-6
269.000000000000060E+0	106.142726502543670E-12	233.203321424668590E-6
270.000000000000060E+0	145.301768066880150E-12	209.637543676653980E-6
271.000000000000060E+0	294.329259274139100E-12	191.598962200831450E-6
272.000000000000060E+0	239.771980893779680E-12	182.561050603687450E-6
273.000000000000060E+0	58.245206151026757E-12	182.472957029967090E-6
274.000000000000060E+0	60.160537045287281E-12	156.603094943463660E-6
275.000000000000060E+0	103.842991362484050E-12	135.409357745181940E-6
276.000000000000060E+0	27.844974039500598E-12	147.555427016448030E-6
277.000000000000060E+0	29.638215595735171E-12	131.115002457205320E-6
278.000000000000060E+0	135.141101824183060E-12	106.710903413933070E-6
279.000000000000060E+0	176.759031277707730E-12	109.043303950906230E-6
280.000000000000060E+0	237.062791219983640E-12	103.086067650008730E-6
281.000000000000060E+0	68.884924147959474E-12	89.495948368659682E-6
282.000000000000060E+0	3.578459344495306E-12	78.712773057116925E-6
283.000000000000060E+0	118.677086522866120E-12	72.623396711209550E-6
284.000000000000060E+0	160.273091204616060E-12	75.115445285003330E-6
285.000000000000060E+0	792.054859199692360E-18	59.219579728684210E-6
286.000000000000060E+0	27.977902427457146E-12	49.136342092394145E-6
287.000000000000060E+0	143.451422457562340E-12	57.264045297336865E-6
288.000000000000060E+0	163.454397636625770E-12	44.007036979471969E-6
289.000000000000060E+0	25.936760794378110E-12	34.834835877098968E-6
290.000000000000060E+0	164.860551807021140E-12	36.605218714045795E-6
291.000000000000060E+0	37.948326502640195E-12	31.719941966414475E-6
292.000000000000060E+0	77.422188181475555E-15	26.213494442928256E-6
293.000000000000060E+0	3.485830656100767E-12	20.573637300599576E-6
294.000000000000060E+0	52.616335074888027E-12	20.768912729202007E-6
295.000000000000060E+0	131.696018047189060E-12	19.432187142818331E-6
296.000000000000060E+0	59.097055667609156E-12	10.667994006096149E-6
297.000000000000060E+0	11.232177504173501E-12	12.662305961536106E-6
298.000000000000060E+0	79.735978094144765E-12	11.861901462208497E-6
299.000000000000060E+0	119.172693510487130E-12	5.680374876312601E-6
300.000000000000060E+0	154.573701911280970E-12	6.025481970738550E-6
301.000000000000060E+0	25.106302596556165E-12	5.252642750388552E-6
302.000000000000060E+0	28.357922458355882E-12	3.354727523360343E-6
303.000000000000060E+0	39.824573597141265E-12	1.943020214770762E-6
304.000000000000060E+0	207.959203354138670E-12	1.413543578086426E-6
305.000000000000060E+0	239.395254314733420E-12	1.788609481930011E-6
306.000000000000060E+0	72.903920771888929E-12	173.075113348109650E-9
307.000000000000060E+0	3.471265001866210E-12	291.748135404280790E-9
308.000000000000060E+0	58.523148079047916E-12	264.559051422886790E-9
309.000000000000060E+0	119.951514691814850E-12	302.174487860754390E-9
310.000000000000060E+0	72.171918859133633E-12	242.602452334120900E-9
311.000000000000060E+0	22.138134433156927E-12	423.853788460685820E-9
312.000000000000060E+0	7.801072284774917E-12	937.114383990955670E-9
313.000000000000060E+0	36.540520957795850E-12	1.959838708547980E-6
314.000000000000060E+0	34.980102279624999E-12	2.190091913934249E-6
315.000000000000060E+0	55.512160499997383E-12	2.118213013159612E-6
316.000000000000060E+0	175.375514379699500E-12	5.577157378883964E-6
317.000000000000060E+0	112.147849604793920E-12	3.908878612811566E-6
318.000000000000060E+0	41.916868640274905E-12	5.199890114916598E-6
319.000000000000060E+0	53.636689596805626E-12	8.020556198951929E-6
320.000000000000060E+0	60.122409469057919E-12	7.010400030822863E-6
321.000000000000060E+0	13.559952052760847E-12	8.704291855693262E-6
322.000000000000060E+0	21.957502784693107E-12	9.706950352164926E-6
323.000000000000060E+0	42.732768328418943E-12	12.627650792448864E-6
324.000000000000060E+0	16.301287396058256E-12	10.964899410287648E-6
325.000000000000060E+0	12.897256699033617E-12	14.377714145601494E-6
326.000000000000060E+0	135.573534935440810E-12	17.142858536187698E-6
327.000000000000060E+0	73.516478563689729E-12	14.054774376160319E-6
328.000000000000060E+0	5.490286391082993E-12	19.879678163638097E-6
329.000000000000060E+0	56.135435509389241E-12	19.158289256596135E-6
330.000000000000060E+0	110.957350768729880E-12	20.652611264014457E-6
331.000000000000060E+0	149.865518157378540E-12	21.636708924123223E-6
332.000000000000060E+0	59.852959646193340E-12	25.114197072880401E-6
333.000000000000060E+0	57.982059728562339E-12	24.591057222775291E-6
334.000000000000060E+0	27.910619993792878E-12	25.339060489763164E-6
335.000000000000060E+0	49.343185136569081E-12	31.165071561903908E-6
336.000000000000060E+0	59.199082920942271E-12	26.842898951146613E-6
337.000000000000060E+0	33.701754790746701E-12	32.012105864386123E-6
338.000000000000060E+0	61.353277397976728E-12	32.158870514725923E-6
339.000000000000060E+0	141.897528164094940E-12	32.873745477300660E-6
340.000000000000060E+0	6.949368954233304E-12	33.977485278341217E-6
341.000000000000060E+0	104.348297600114970E-12	36.707080775669776E-6
342.000000000000060E+0	54.847961667968593E-12	37.090406699337143E-6
343.000000000000060E+0	112.491612754968450E-12	36.726883701440116E-6
344.000000000000060E+0	117.145522986781790E-12	42.411493291176899E-6
345.000000000000060E+0	55.139681710082753E-12	38.034333967982984E-6
346.000000000000060E+0	90.139651044854434E-12	43.288573299294691E-6
347.000000000000060E+0	21.313385311879924E-12	42.597639118588543E-6
348.000000000000060E+0	8.974451942924533E-12	43.931371121185612E-6
349.000000000000060E+0	18.463205021027563E-12	43.762210226822955E-6
350.000000000000060E+0	169.762977772319100E-12	46.751021913706215E-6
351.000000000000060E+0	188.830440928827750E-12	45.756831349276652E-6
352.000000000000060E+0	34.749528961957501E-12	46.702501807548288E-6
353.000000000000060E+0	38.894431004739893E-12	49.474197905671195E-6
354.000000000000060E+0	195.141141874011920E-12	46.685843978594712E-6
