Freq (Hz)	mic2/mic1_Real	mic2/mic1_Imag	mic3/mic1_Real	mic3/mic1_Imag	mic4/mic1_Real	mic4/mic1_Imag
900.000000000000110E+0	680.296585596547710E-3	179.204465073170700E-3	484.898510581005910E-3	93.551963349292874E-3	777.837351063543900E-3	20.746598730389112E-3
901.000000000000110E+0	824.051429409699110E-3	132.734052708166130E-3	564.234105888679170E-3	110.204666641501690E-3	772.021145830165010E-3	15.165625509652730E-3
902.000000000000110E+0	737.341136708704050E-3	62.551434397021322E-3	463.710133450122350E-3	51.571018407208929E-3	752.809232709948710E-3	36.501606923471992E-3
903.000000000000110E+0	732.464643999672590E-3	84.396911888542717E-3	476.675097468871490E-3	58.249361955227362E-3	756.695947383212660E-3	7.766449445845144E-3
904.000000000000110E+0	732.057780219416920E-3	77.505333827643658E-3	500.146003666550930E-3	54.631175850957024E-3	753.551717290089520E-3	34.282765962452263E-3
905.000000000000110E+0	708.638219354978280E-3	123.879586369645970E-3	473.946709230535780E-3	60.941108760724685E-3	744.931640188052800E-3	45.421590303269269E-3
906.000000000000110E+0	741.236361374385090E-3	80.609590322417032E-3	472.401707414988820E-3	75.993046570677153E-3	759.574938570352190E-3	27.575165046236479E-3
907.000000000000110E+0	714.687925130333410E-3	28.344528172460044E-3	486.715128057731870E-3	97.179332774022978E-3	780.760389900572390E-3	24.771224365948329E-3
908.000000000000110E+0	680.065547492305410E-3	98.068374793737798E-3	467.097256080803660E-3	70.582507091275240E-3	714.646100327407160E-3	-3.239111426312237E-3
909.000000000000110E+0	728.537124888176680E-3	101.778279835898590E-3	453.064268983214950E-3	52.432027949544283E-3	722.049621163480810E-3	49.329843114191994E-3
910.000000000000110E+0	742.512879486293960E-3	91.866428092437488E-3	446.996595646535770E-3	76.957768337816451E-3	732.160192084848390E-3	53.615135254567819E-3
911.000000000000110E+0	748.179329370506460E-3	69.441848601016584E-3	457.652921454433650E-3	85.275802771065598E-3	730.236690401960600E-3	25.976282732322057E-3
912.000000000000110E+0	749.572287726493420E-3	59.825446825516555E-3	445.409782024308360E-3	76.598133073801339E-3	717.478391014197300E-3	8.694802008294309E-3
913.000000000000110E+0	720.612741841499370E-3	79.858384539464297E-3	437.469856247965920E-3	67.511730699561207E-3	659.240150014137160E-3	-19.522790636274569E-3
914.000000000000110E+0	776.649725850615200E-3	17.803048885722303E-3	377.896161884363040E-3	-17.154935872765939E-3	698.603219993901960E-3	-42.571537916671676E-3
915.000000000000110E+0	805.125237980853890E-3	35.707497765517744E-3	450.946806197576100E-3	-4.195390477024185E-3	775.170400893651080E-3	21.707187670523449E-3
916.000000000000110E+0	716.452037111511620E-3	88.612107017437242E-3	464.548103164852010E-3	18.917149761188391E-3	763.350174319142320E-3	51.989762935730294E-3
917.000000000000110E+0	664.490735068001830E-3	63.261917473683163E-3	439.255844659852790E-3	71.168531686988029E-3	706.999014194057310E-3	7.946362522579206E-3
918.000000000000110E+0	660.414540785733250E-3	33.380646516901070E-3	434.773397292176290E-3	86.764067861549346E-3	699.082779852565840E-3	23.062663303735312E-3
919.000000000000110E+0	672.048379389051930E-3	91.735173391553126E-3	426.456333294045750E-3	107.533296411758040E-3	696.325048358430120E-3	15.076789584729524E-3
920.000000000000110E+0	672.322201235819430E-3	101.240917049255720E-3	392.169969634159680E-3	81.750365188051552E-3	705.577193691784290E-3	18.447926502257430E-3
921.000000000000110E+0	675.717501901322400E-3	41.784597525695071E-3	390.853484793325430E-3	67.758242855830972E-3	761.521460580942280E-3	-36.053751121039292E-3
922.000000000000110E+0	673.645846900035370E-3	73.451158495881103E-3	427.113712110826550E-3	71.798547937672569E-3	793.975392890660770E-3	2.979760670287037E-3
923.000000000000110E+0	738.663926141200360E-3	62.572701309403844E-3	440.659382688551700E-3	99.420399292852915E-3	762.349786631034590E-3	77.110030759284437E-3
924.000000000000110E+0	715.539842463731920E-3	30.323070790356704E-3	544.194138852319260E-3	135.800757481275650E-3	707.644569540300860E-3	22.912232704925629E-3
925.000000000000110E+0	706.066163272116240E-3	16.123224687824445E-3	487.978038060086330E-3	30.197812343452458E-3	789.631109997666280E-3	-8.323200188056611E-3
926.000000000000110E+0	687.207765477268140E-3	59.428372297536169E-3	432.639155064321100E-3	76.666951839902575E-3	788.620212863602510E-3	73.850620094169150E-3
927.000000000000110E+0	705.733434859709190E-3	73.176285985160502E-3	401.594902607101510E-3	79.058868914161098E-3	712.653652162604790E-3	139.150879357183320E-3
928.000000000000110E+0	721.372678880708880E-3	35.814851676266080E-3	392.768362929588830E-3	27.635474549550884E-3	704.235819157436720E-3	93.989188136510721E-3
929.000000000000110E+0	713.838438760640010E-3	14.219858161044411E-3	386.418438776100160E-3	41.535987572790860E-3	743.656704882140200E-3	56.034345608057347E-3
930.000000000000110E+0	749.243996873620200E-3	39.474670748114130E-3	396.283447545297540E-3	16.418083286846571E-3	708.551749834069430E-3	67.883166544317752E-3
931.000000000000110E+0	703.304537142464330E-3	95.507527437486917E-3	409.004554476181500E-3	78.404077801361730E-3	664.913027165869530E-3	51.058334828294548E-3
932.000000000000110E+0	665.023220225633760E-3	101.252470739322210E-3	403.612864303423190E-3	78.158258147795881E-3	671.615228730486400E-3	78.202625680611121E-3
933.000000000000110E+0	636.593720168020960E-3	66.945597715608873E-3	384.547771347375500E-3	34.439736053747290E-3	642.840404279377500E-3	67.757896841038445E-3
934.000000000000110E+0	667.471895628361960E-3	80.373818134647834E-3	410.502382480737840E-3	43.954015109257387E-3	652.442524791125410E-3	39.154486721607915E-3
935.000000000000110E+0	676.678093597877340E-3	126.103268049560180E-3	419.178471422375630E-3	64.537915697419554E-3	694.239466126996270E-3	45.598316690904507E-3
936.000000000000110E+0	668.548592988843610E-3	68.380012039939167E-3	394.941419559147690E-3	69.111654466572539E-3	675.712359833805620E-3	38.642618538152811E-3
937.000000000000110E+0	678.300389652224610E-3	33.415915804377520E-3	405.602026749256270E-3	70.495877187523592E-3	675.113550087657720E-3	27.570113829097929E-3
938.000000000000110E+0	662.430988302551540E-3	54.065361155121831E-3	336.287818277939580E-3	90.258317043041186E-3	661.682028918598510E-3	39.705020314956166E-3
939.000000000000110E+0	628.576527080752070E-3	59.611828281259320E-3	341.638647067611270E-3	67.698429379869376E-3	666.226975370407200E-3	52.031211175963279E-3
940.000000000000110E+0	649.682467273690830E-3	47.939261468608503E-3	357.753024849683020E-3	64.071358807750264E-3	689.169013591421690E-3	60.685524774275808E-3
941.000000000000110E+0	685.881958398006470E-3	99.603606585411730E-3	368.116749603208450E-3	77.928303379351860E-3	682.585684548467240E-3	62.559318624502161E-3
942.000000000000110E+0	708.591817031028800E-3	97.189732563664935E-3	397.279162023890300E-3	88.677032146835519E-3	741.784778850570040E-3	120.117273362435990E-3
943.000000000000110E+0	630.023856267126420E-3	45.941986294646318E-3	368.210805813140250E-3	61.680454024331026E-3	702.397895180317030E-3	56.583875176135154E-3
944.000000000000110E+0	609.155955037248060E-3	54.501078902947579E-3	333.281380899246250E-3	34.313570834782571E-3	713.034142473980230E-3	59.106002910530073E-3
945.000000000000110E+0	632.532132507271920E-3	60.437357047540399E-3	341.228384982357190E-3	40.026276066951354E-3	725.550516740565480E-3	22.512276157578639E-3
946.000000000000110E+0	675.461322508485780E-3	72.107586084118838E-3	368.853119060419680E-3	71.800839810140946E-3	730.671385015710610E-3	16.552280533990566E-3
