Freq (Hz)	micro/hp_Real	micro/hp_Imag
49.000000000000007E+0	-321.377068701324990E-3	251.481677044215260E-3
50.000000000000007E+0	286.142314304197950E-3	324.365342760658700E-3
51.000000000000007E+0	-230.585623190893680E-3	-368.565756652638630E-3
52.000000000000007E+0	-117.427827541960790E-3	73.697958760046145E-3
53.000000000000007E+0	63.968749451727300E-3	-12.237233819403146E-3
54.000000000000007E+0	-28.239647871368397E-3	28.921124418325724E-3
55.000000000000007E+0	25.930609124423427E-3	60.393774039467871E-3
56.000000000000007E+0	77.555663037048750E-3	-96.831201556188684E-3
57.000000000000007E+0	-50.113790941387813E-3	-6.516628898276723E-3
58.000000000000007E+0	-42.247439790909322E-3	25.202336414300659E-3
59.000000000000007E+0	33.541119119484562E-3	7.527307824023943E-3
60.000000000000007E+0	-15.762266448323698E-3	7.235032634957393E-3
61.000000000000007E+0	55.706648987592436E-3	10.700465511059697E-3
62.000000000000007E+0	-24.177086966414536E-3	-59.769815184694465E-3
63.000000000000007E+0	-6.596337021526653E-3	14.843887340175983E-3
64.000000000000014E+0	-27.470186002211860E-3	-4.783512997690061E-3
65.000000000000014E+0	12.061288748516152E-3	32.877648064380587E-3
66.000000000000014E+0	22.104205667786037E-3	-5.175698894025774E-3
67.000000000000014E+0	-17.655209528412655E-3	-11.541635908452466E-3
68.000000000000014E+0	23.456094933228089E-3	6.254399385479740E-3
69.000000000000014E+0	-20.835751175526745E-3	-18.022550183961216E-3
70.000000000000014E+0	9.966883448748539E-3	12.908731562840140E-3
71.000000000000014E+0	3.905807227698361E-3	-6.800976855444683E-3
72.000000000000014E+0	-4.561773771391641E-3	-12.898083668534307E-3
73.000000000000014E+0	-12.037541854294547E-3	5.339954218297637E-3
74.000000000000014E+0	9.585392311699813E-3	3.887487868357483E-3
75.000000000000014E+0	-565.993611015018300E-6	-8.274146060172174E-3
76.000000000000014E+0	-10.295494064075627E-3	-763.027709991022240E-6
77.000000000000014E+0	7.839704647286271E-3	672.024240764839610E-6
78.000000000000014E+0	-9.614850956059665E-3	1.547983467035278E-3
79.000000000000014E+0	4.057932378606502E-3	-2.190996834055971E-3
80.000000000000014E+0	-2.807476809858588E-3	-580.395712822801370E-6
81.000000000000014E+0	-5.595857477084347E-3	1.345116257156215E-3
82.000000000000014E+0	5.243704573445857E-3	12.680381411749670E-3
83.000000000000014E+0	5.344237253231814E-3	-12.495646784116413E-3
84.000000000000014E+0	-2.130373088263810E-3	5.540348771376514E-3
85.000000000000014E+0	3.726952247828005E-3	-5.623191629394265E-3
86.000000000000014E+0	-3.795275416223225E-3	199.394339435917320E-6
87.000000000000014E+0	435.765344358400040E-6	225.374358722241960E-6
88.000000000000014E+0	2.625689409881129E-3	138.530044125591600E-6
89.000000000000014E+0	-697.487134477626840E-6	-3.672292931390014E-3
90.000000000000014E+0	-170.664145199013220E-6	1.434786384629111E-3
91.000000000000014E+0	-2.063248506693386E-3	-5.497655578089030E-3
92.000000000000014E+0	-4.147450972192782E-3	7.247381765502209E-3
93.000000000000014E+0	6.518219680670609E-3	-494.189557018162520E-6
94.000000000000014E+0	-4.125143017103530E-3	-2.010273558095367E-3
95.000000000000014E+0	1.553164320824028E-3	5.059487679917853E-3
96.000000000000014E+0	1.207102411901166E-3	-2.250272646207732E-3
97.000000000000014E+0	-429.646647590395150E-6	2.027565298895649E-3
98.000000000000014E+0	482.630456377268660E-6	-446.087295536037600E-6
99.000000000000014E+0	-7.858566325408980E-3	-6.007957911632256E-3
100.000000000000010E+0	-5.603656780642828E-3	19.227822432332262E-3
101.000000000000010E+0	7.983847682568409E-3	-36.876024470480171E-6
102.000000000000010E+0	51.731366519347807E-6	1.956294419147553E-3
103.000000000000010E+0	1.914048466429406E-3	3.299692481297766E-3
104.000000000000010E+0	3.579384531262139E-3	-316.254331680183450E-6
105.000000000000010E+0	421.648998847835930E-6	-3.336196280484531E-3
106.000000000000010E+0	1.609102045642004E-3	1.233844032114357E-3
107.000000000000010E+0	-2.186997629626446E-3	-4.869114609933106E-3
108.000000000000010E+0	-513.920890138810170E-6	2.747706435263357E-3
109.000000000000010E+0	2.560258050561756E-3	-1.366086299128175E-3
110.000000000000010E+0	-1.731548966770777E-3	-4.268207603968586E-3
111.000000000000010E+0	-2.360256098798012E-3	-243.519025288538340E-6
112.000000000000010E+0	-1.783106522089534E-3	2.249719939332572E-3
113.000000000000010E+0	3.721098182995939E-3	1.006873992047950E-3
114.000000000000010E+0	-1.121249785446895E-3	80.774779406456919E-6
115.000000000000010E+0	11.264466206487250E-3	1.233900294533047E-3
116.000000000000010E+0	-2.405984847987157E-3	-11.329955807595092E-3
117.000000000000010E+0	-1.655650397328431E-3	1.247354472302150E-3
118.000000000000010E+0	264.638810382245180E-6	336.418660236648610E-6
119.000000000000010E+0	1.204685480583929E-3	-1.178608580627530E-3
120.000000000000010E+0	-1.375462217358645E-3	-528.649629379355880E-6
121.000000000000010E+0	837.235110528058690E-6	987.759204456444990E-6
122.000000000000010E+0	-690.648348886356310E-6	-1.587792079927306E-3
123.000000000000010E+0	-861.231943079840200E-6	753.491283952983540E-6
124.000000000000010E+0	428.366175633625170E-6	1.162727902681576E-3
125.000000000000010E+0	308.240136690129580E-6	-373.145689345455250E-6
126.000000000000010E+0	39.197507596846091E-6	989.920717489599020E-6
127.000000000000010E+0	1.438453754827856E-3	-58.589333514966083E-6
128.000000000000030E+0	-505.818175312177540E-6	-1.820668013167669E-3
129.000000000000030E+0	-564.960566392647830E-6	672.511593938051180E-6
130.000000000000030E+0	-172.447465578317410E-6	-1.111056453546253E-3
131.000000000000030E+0	-347.879844913956770E-6	1.274144317005276E-3
