Freq (Hz)	micro/hp_Real	micro/hp_Imag
49.000000000000007E+0	-363.129080086192770E-3	312.363716573712810E-3
50.000000000000007E+0	1.178532051698076E+0	511.714720639706020E-3
51.000000000000007E+0	-400.947736102452660E-3	-58.931831636114443E-3
52.000000000000007E+0	-83.397320806403497E-3	-127.184198067034460E-3
53.000000000000007E+0	62.928248952982380E-3	70.590251639188806E-3
54.000000000000007E+0	-91.307186834246601E-3	-40.120412145137958E-3
55.000000000000007E+0	-1.363144178507008E-3	-40.564991783732594E-3
56.000000000000007E+0	26.154424816983678E-3	118.227277464899360E-3
57.000000000000007E+0	11.163461121876632E-3	-58.614687029231206E-3
58.000000000000007E+0	8.678118686312766E-3	46.016369705744076E-3
59.000000000000007E+0	-37.001745208057366E-3	-64.654811608025817E-3
60.000000000000007E+0	21.156854082776486E-3	46.167431175181947E-3
61.000000000000007E+0	-12.722096615734277E-3	-7.301992102707023E-3
62.000000000000007E+0	-4.352104552429782E-3	3.612120810649681E-3
63.000000000000007E+0	-10.447954040460906E-3	23.048086124973874E-3
64.000000000000014E+0	57.145473331563397E-3	-1.615711379498874E-3
65.000000000000014E+0	-43.179948314125284E-3	-39.118291591977584E-3
66.000000000000014E+0	2.904051892377889E-3	18.524564255026792E-3
67.000000000000014E+0	-5.491126387069167E-3	-2.477371852314352E-3
68.000000000000014E+0	-3.496500293384249E-3	18.077961353797457E-3
69.000000000000014E+0	11.057603840847462E-3	-1.134608710376242E-3
70.000000000000014E+0	-6.470103539096990E-3	4.640899161090411E-3
71.000000000000014E+0	22.877073001685233E-3	-7.431764072876166E-6
72.000000000000014E+0	-16.593257958284067E-3	-6.973170462490450E-3
73.000000000000014E+0	8.411304731945944E-3	3.254312795154955E-3
74.000000000000014E+0	2.287682279110687E-3	-1.783580521097839E-3
75.000000000000014E+0	-5.749688832133727E-3	-8.180429214006218E-3
76.000000000000014E+0	-1.952921514283348E-3	5.379659400097410E-3
77.000000000000014E+0	1.521859109518511E-3	10.984822638127879E-3
78.000000000000014E+0	10.083157755898341E-3	-11.103825492808706E-3
79.000000000000014E+0	-2.050159002544642E-3	-326.793941993995750E-6
80.000000000000014E+0	-4.741118631701131E-3	-1.633345348623799E-3
81.000000000000014E+0	5.086520783013489E-3	1.028861739906638E-3
82.000000000000014E+0	-9.117347203468844E-3	-2.593934700572365E-3
83.000000000000014E+0	5.128742391363171E-3	8.686744555566764E-3
